,budget,company,gross,name,rating,released,score,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,title,genres_edited,production_countries_edited,keywords_edited,year_released,budget_norm,score_norm,votes_norm
11,15000000,Other,42724017,Heartbreak Ridge,R,5.12.1986 00:00,6.8,32954,James Carabatsos,1986,1,1.8482678,180,FALSE,10015,tt0091187,Heartbreak Ridge,Heartbreak Ridge,"Action, Comedy, Drama, War",US,"recruit, officer, battle assignment, marine, platoon, combat",1986,-0.622075527676419,0.613459892038604,-0.3999817129052962
12,25000000,Paramount Pictures,79817937,The Golden Child,PG-13,12.12.1986 00:00,5.9,42997,Dennis Feldman,1986,1,2.19271748,220,FALSE,10136,tt0091129,The Golden Child,The Golden Child,"Action, Adventure, Comedy",US,"monk, social worker, wretch, tibet, demon, evil, missing person, mysticism, reluctant hero",1986,-0.20050304756486861,-0.443027844211537,-0.22672526539909235
13,1900000,Other,4600000,River's Edge,R,8.05.1987 00:00,7.1,12862,Neal Jimenez,1986,1,1.421052632,140,FALSE,21309,tt0091860,River's Edge,River's Edge,"Crime, Drama",US,"sex, police, friends, murder",1987,-1.1743354766225502,0.9656224707886509,-0.7465981166984506
14,25000000,Other,39246734,¡Three Amigos!,PG,12.12.1986 00:00,6.4,57406,Steve Martin,1986,1,0.56986936,60,FALSE,8388,tt0092086,¡Three Amigos!,¡Three Amigos!,"Comedy, Western",US,"mexico, hero, village, united states–mexico barrier, confusion, spoof, western hero, western band, actor",1986,-0.20050304756486861,0.14390978703854165,0.021851071563657024
15,13800000,Touchstone Pictures,52293982,The Color of Money,R,17.10.1986 00:00,7.0,62495,Walter Tevis,1986,1,2.789418986,280,FALSE,11873,tt0090863,The Color of Money,The Color of Money,Drama,US,"bar, billard, talent, hustler, sport",1986,-0.6726642252898052,0.8482349445386357,0.10964376910015723
16,10000000,Other,37499651,The Money Pit,PG,26.03.1986 00:00,6.3,41278,David Giler,1986,1,2.7499651,270,FALSE,10466,tt0091541,The Money Pit,The Money Pit,"Comedy, Romance",US,"rock star, price, chaos, house, home ownership",1986,-0.8328617677321943,0.026522260788525286,-0.2563805310829681
17,25000000,Other,14302779,The Mosquito Coast,PG,26.11.1986 00:00,6.6,23076,Paul Theroux,1986,0,-0.42788884,-40,FALSE,11120,tt0091557,The Mosquito Coast,The Mosquito Coast,"Adventure, Drama",US,"paradise, living together, power, governance, exit, idealism, honduras, idealist, nature, emigrant",1986,-0.20050304756486861,0.3786848395385723,-0.570391668940971
18,4500000,Other,1261000,From Beyond,R,24.10.1986 00:00,6.7,16636,H.P. Lovecraft,1986,0,-0.719777778,-70,FALSE,14510,tt0091083,From Beyond,From Beyond,"Horror, Science Fiction, Fantasy",US,"human experimentation, h.p. lovecraft, parallel world",1986,-1.064726631793547,0.49607236578858865,-0.6814910936088943
19,18000000,TriStar Pictures,41382841,Peggy Sue Got Married,PG-13,10.10.1986 00:00,6.3,28529,Jerry Leichtling,1986,1,1.299046722,130,FALSE,10013,tt0091738,Peggy Sue Got Married,Peggy Sue Got Married,"Comedy, Drama, Fantasy, Romance",US,"time travel, high school reunion",1986,-0.49560378364295393,0.026522260788525286,-0.4763194387058491
20,19000000,Other,40996665,Poltergeist II: The Other Side,PG-13,23.05.1986 00:00,5.7,20669,Mark Victor,1986,1,1.157719211,120,FALSE,11133,tt0091778,Poltergeist II: The Other Side,Poltergeist II: The Other Side,"Horror, Thriller",US,"monster, poltergeist, supernatural powers, family secrets",1986,-0.4534465356317989,-0.6778028967115687,-0.6119159414837803
21,18000000,Other,9697739,SpaceCamp,PG,6.06.1986 00:00,5.6,11484,Clifford Green,1986,0,-0.461236722,-50,FALSE,13766,tt0091993,SpaceCamp,SpaceCamp,"Family, Adventure",US,"space, astronaut, space shuttle, trapped in space, space camp",1986,-0.49560378364295393,-0.795190422961585,-0.7703706333432329
22,14000000,Walt Disney Pictures,38600000,The Great Mouse Detective,G,2.07.1986 00:00,7.2,36539,Peter Young,1986,1,1.757142857,180,FALSE,9994,tt0091149,The Great Mouse Detective,The Great Mouse Detective,"Comedy, Animation, Family",US,"london england, detective, queen, sherlock holmes, cartoon mouse",1986,-0.6642327756875741,1.0830099970386673,-0.3381352164092551
23,6000000,Other,5849647,The Transformers: The Movie,PG,8.08.1986 00:00,7.3,33609,Ron Friedman,1986,0,-0.025058833,0,FALSE,1857,tt0092106,The Transformers: The Movie,The Transformers: The Movie,Animation,US,"toy, transformation, based on toy, transformers, robots, intergalactic war",1986,-1.0014907597768146,1.2003975232886828,-0.3886820043404686
24,5000000,TriStar Pictures,591366,Night of the Creeps,R,22.08.1986 00:00,6.8,16077,Fred Dekker,1986,0,-0.8817268,-90,FALSE,15762,tt0091630,Night of the Creeps,Night of the Creeps,"Comedy, Horror, Science Fiction",US,"female nudity, monster, spacecraft, experiment, nudity, brain, ax, police, murder, alien, sorority, gore, morgue, undead, serial killer, decapitation, zombie, corpse, teenager, exploding head, violence, cult film, fraternity, parasite, axe murder, space monster",1986,-1.0436480077879695,0.613459892038604,-0.6911346616817776
25,6500000,Other,2347000,At Close Range,R,18.04.1986 00:00,7.0,11607,Elliott Lewitt,1986,0,-0.638923077,-60,FALSE,13715,tt0090670,At Close Range,At Close Range,"Crime, Drama",US,"rape, 1970s, gun, sociopath, drug",1986,-0.980412135771237,0.8482349445386357,-0.7682487033379294
26,20000000,Paramount Pictures,25314289,Heartburn,R,25.07.1986 00:00,6.1,7570,Nora Ephron,1986,1,0.26571445,30,FALSE,13818,tt0091188,Heartburn,Heartburn,"Comedy, Drama, Romance",US,"journalist, wife husband relationship, infidelity",1986,-0.4112892876206439,-0.2082527917115064,-0.8378928613168743
27,15000000,Warner Bros.,1953732,The Clan of the Cave Bear,R,17.01.1986 00:00,5.3,5340,Jean M. Auel,1986,0,-0.8697512,-90,FALSE,13853,tt0090848,The Clan of the Cave Bear,The Clan of the Cave Bear,"Adventure, Drama",US,"stone age, tribe, cavemen, prehistoric adventure, prehistoric times, neanderthal, prehistoric man",1986,-0.622075527676419,-1.147353001711632,-0.8763636248276615
28,12000000,Other,17768900,The Delta Force,R,14.02.1986 00:00,5.6,15819,James Bruner,1986,1,0.480741667,50,FALSE,16113,tt0090927,The Delta Force,The Delta Force,"Action, Thriller","IL, US","terrorist, airplane hijacking, covert operation",1986,-0.7485472717098842,-0.795190422961585,-0.6955855392538777
29,18000000,Paramount Pictures,36611610,Gung Ho,PG-13,14.03.1986 00:00,6.2,9965,Edwin Blum,1986,1,1.033978333,100,FALSE,13698,tt0091159,Gung Ho,Gung Ho,"Comedy, Drama",US,"japan, usa, factory worker, factory, culture clash, worker, automobile industry, business, unemployment, auto industry, car factory",1986,-0.49560378364295393,-0.09086526546149003,-0.7965756063355582
30,8700000,Other,4865912,Band of the Hand,R,11.04.1986 00:00,6.3,2297,Leo Garen,1986,0,-0.44069977,-40,FALSE,33762,tt0090693,Band of the Hand,Band of the Hand,"Action, Crime, Drama",US,"bikini, gang, drug addict, illegal drugs, survival training",1986,-0.8876661901466959,0.026522260788525286,-0.928859828129601
31,12000000,Columbia Pictures Corporation,15945534,Armed and Dangerous,PG-13,15.08.1986 00:00,5.6,9040,Brian Grazer,1986,1,0.3287945,30,FALSE,2620,tt0090660,Armed and Dangerous,Armed and Dangerous,"Action, Comedy, Crime",US,"corruption, ex-cop, private detective, criminal defence lawyer",1986,-0.7485472717098842,-0.795190422961585,-0.8125332100339788
32,1100000,Other,1436000,Down by Law,R,30.10.1986 00:00,7.8,39456,Jim Jarmusch,1986,1,0.305454545,30,FALSE,1554,tt0090967,Down by Law,Down by Law,"Crime, Drama, Comedy","DE, US","prison, prostitute, pimp, fight, louisiana, independent film, escape, conviction",1986,-1.2080612750314743,1.7873351545387612,-0.2878126975029924
33,10000000,Other,20603715,F/X,R,7.02.1986 00:00,6.7,14502,Robert T. Megginson,1986,1,1.0603715,110,FALSE,9873,tt0089118,F/X,F/X,"Crime, Thriller, Action",US,"corruption, detective, assassin, showdown, fbi, mission of murder, witness protection, stuntman, police, mafia boss, deception, special effects, gunfight, new york city, violence, car chase, disguise, federal agent, makeup artist, manhunt, justice department",1986,-0.8328617677321943,0.49607236578858865,-0.7183057166277371
34,18000000,Other,3900000,The Manhattan Project,PG-13,13.06.1986 00:00,6.1,4666,Marshall Brickman,1986,0,-0.783333333,-80,FALSE,30194,tt0091472,The Manhattan Project,The Manhattan Project,"Science Fiction, Thriller",US,"bomb, helicopter, plutonium, laser, heist, fugitive, teenager, scientist, nuclear, science, project",1986,-0.49560378364295393,-0.2082527917115064,-0.8879911111981864
35,25000000,Other,1579260,Solarbabies,PG-13,26.11.1986 00:00,4.8,3397,Walon Green,1986,0,-0.9368296,-90,FALSE,36677,tt0091981,Solarbabies,Solarbabies,Science Fiction,US,"post-apocalyptic, roller-skating, teenager, dystopic future, drought",1986,-0.20050304756486861,-1.7342906329617107,-0.9098832183260738
36,10000000,Touchstone Pictures,21458229,Tough Guys,PG,3.10.1986 00:00,6.2,5584,James Orr,1986,1,1.1458229,110,FALSE,11038,tt0092105,Tough Guys,Tough Guys,"Comedy, Crime",US,"prison, train robbery",1986,-0.8328617677321943,-0.09086526546149003,-0.87215426774397
37,12000000,Other,7790931,The Best of Times,PG-13,31.01.1986 00:00,5.9,5523,Ron Shelton,1986,0,-0.35075575,-40,FALSE,30653,tt0090713,The Best of Times,The Best of Times,Comedy,US,sport,1986,-0.7485472717098842,-0.443027844211537,-0.8732066070148928
38,2000000,Other,7369373,Witchboard,R,13.03.1987 00:00,5.7,4744,Kevin Tenney,1986,1,2.6846865,270,FALSE,17994,tt0090327,Witchboard,Witchboard,Horror,"GB, US","ax, possession, psychic power, ouija, ouija board, evil spirit",1987,-1.1701197518214348,-0.6778028967115687,-0.8866454970484817
39,18000000,Other,1305114,8 Million Ways to Die,R,25.04.1986 00:00,5.7,3607,Lawrence Block,1986,0,-0.927493667,-90,FALSE,20858,tt0090568,8 Million Ways to Die,8 Million Ways to Die,Crime,US,"alcoholic, matt scudder",1986,-0.49560378364295393,-0.6778028967115687,-0.9062604109999458
40,8000000,Other,11834302,Firewalker,PG,21.11.1986 00:00,5.0,4752,Robert Gosnell,1986,1,0.47928775,50,FALSE,12715,tt0091055,Firewalker,Firewalker,"Action, Adventure, Comedy",US,"secret passage, martial arts, gold, treasure, temple, voodoo, wretch, treasure hunt, jungle, human sacrifice, soldier, drinking, central america, disguise, catfight, pretty woman, aztec indian, wisecrack humor, buddy comedy, bar fight, woman in peril, stranded in the desert",1986,-0.9171762637545045,-1.499515580461679,-0.8865074853408197
41,3300000,Other,4941117,Vamp,R,18.07.1986 00:00,5.9,3909,Donald P. Borchers,1986,1,0.497308182,50,FALSE,34223,tt0092147,Vamp,Vamp,"Comedy, Horror",US,"female nudity, nudity, vampire, strip club, chase, murder, independent film, gore, violence, fraternity, vixen",1986,-1.1153153294069331,-0.443027844211537,-0.9010504690357046
42,15000000,Warner Bros.,12308521,Club Paradise,PG-13,11.07.1986 00:00,4.9,5049,Harry Shearer,1986,0,-0.179431933,-20,FALSE,26555,tt0090856,Club Paradise,Club Paradise,"Comedy, Drama, Romance",US,tropical island,1986,-0.622075527676419,-1.6169031067116943,-0.8813838006938673
43,40000000,Universal Pictures,49851591,Legal Eagles,PG,20.06.1986 00:00,5.9,8374,Ivan Reitman,1986,1,0.246289775,20,FALSE,9930,tt0091396,Legal Eagles,Legal Eagles,"Comedy, Crime, Drama, Romance, Thriller",US,"court case, client, lawyer, courtroom",1986,0.4318556726024571,-0.443027844211537,-0.8240226846968417
44,13000000,Metro-Goldwyn-Mayer (MGM),8475466,Wise Guys,R,18.04.1986 00:00,5.6,4573,George Gallo,1986,0,-0.348041077,-30,FALSE,31659,tt0092226,Wise Guys,Wise Guys,"Comedy, Crime",US,"mafia, gangster, horse racing",1986,-0.7063900236987292,-0.795190422961585,-0.8895954972997573
45,16000000,Other,3800000,Power,R,31.01.1986 00:00,5.7,2287,David Himmelstein,1986,0,-0.7625,-80,FALSE,46948,tt0091786,Power,Power,Drama,US,"politics, image maker",1986,-0.579918279665264,-0.6778028967115687,-0.9290323427641786
46,20000000,Other,22905500,Crimes of the Heart,PG-13,23.01.1987 00:00,6.4,3079,Beth Henley,1986,1,0.145275,10,FALSE,48259,tt0090886,Crimes of the Heart,Crimes of the Heart,"Drama, Family",US,"sister sister relationship, reunion",1987,-0.4112892876206439,0.14390978703854165,-0.9153691837056389
47,6000000,Other,9947631,Murphy's Law,R,18.04.1986 00:00,5.9,3561,Gail Morgan Hickman,1986,1,0.6579385,70,FALSE,33055,tt0091575,Murphy's Law,Murphy's Law,"Action, Mystery, Thriller",US,uzi,1986,-1.0014907597768146,-0.443027844211537,-0.9070539783190024
48,25000000,Other,4007250,Tai-Pan,R,7.11.1986 00:00,5.5,1340,John Briley,1986,0,-0.83971,-80,FALSE,29584,tt0092042,Tai-Pan,Tai-Pan,"Adventure, Drama, History",US,"female nudity, china, interracial relationship, independent film, hong kong, historical event, british colonial",1986,-0.20050304756486861,-0.9125779492116004,-0.9453694786586697
49,27000000,Other,38122105,The Running Man,R,13.11.1987 00:00,6.6,120345,Stephen King,1987,1,0.411929815,40,FALSE,865,tt0093894,The Running Man,The Running Man,"Action, Science Fiction",US,"prison, chase, hunting human beings, game show, dystopia, dystopic future",1987,-0.11618855154255853,0.3786848395385723,1.1076409301311136
50,22700000,Other,38119483,Spaceballs,PG,24.06.1987 00:00,7.1,146748,Mel Brooks,1987,1,0.679272379,70,FALSE,957,tt0094012,Spaceballs,Spaceballs,"Comedy, Science Fiction",US,"android, lasergun, swordplay, temple, space marine, space battle, space travel, space mission, galaxy, comb, altar, magnet beam, jam, speed of light, plastic surgery, password, shield, nose, spoof",1987,-0.2974647179905252,0.9656224707886509,1.5631313198061412
51,25000000,Paramount Pictures,76270454,The Untouchables,R,3.06.1987 00:00,7.9,234254,Oscar Fraley,1987,1,2.05081816,210,FALSE,117,tt0094226,The Untouchables,The Untouchables,"Crime, Drama, History, Thriller",US,"white suit, al capone, tough cop, treasury agent, untouchable, tax evasion, jury tampering, rule of law, rooftop chase, cutting face while shaving, 1930s",1987,-0.20050304756486861,1.9047226807887776,3.0727378811401924
52,3600000,Other,5923044,Evil Dead II,R,13.03.1987 00:00,7.8,123325,Sam Raimi,1987,1,0.64529,60,FALSE,765,tt0092991,Evil Dead II,Evil Dead II,"Horror, Comedy, Fantasy",US,"deer, blood splatter, tape recorder, chainsaw, spirit, violence, over the top, shot in the arm, book of the dead, evil dead, eyeball, necronomicon, tarmac, meat cleaver, shot through a wall",1987,-1.1026681550035866,1.7873351545387612,1.1590502912352147
53,22000000,Other,17336370,Masters of the Universe,PG,7.08.1987 00:00,5.4,30370,David Odell,1987,0,-0.211983182,-20,FALSE,11649,tt0093507,Masters of the Universe,Masters of the Universe,"Action, Fantasy, Science Fiction, Adventure, Thriller",US,"saving the world, hero, key, skeleton, time travel, wretch, supernatural powers, aftercreditsstinger, sword and planet",1987,-0.32697479159833376,-1.0299654754616157,-0.44455949448012755
54,12000000,Other,3769990,The Monster Squad,PG-13,14.08.1987 00:00,7.2,21420,Shane Black,1987,0,-0.685834167,-70,FALSE,13509,tt0093560,The Monster Squad,The Monster Squad,"Horror, Comedy, Action, Fantasy, Science Fiction",US,"mummy, dracula, wolfman, sea monster, frankenstein's monster",1987,-0.7485472717098842,1.0830099970386673,-0.5989600924270084
55,30000000,Other,51185897,The Living Daylights,PG,31.07.1987 00:00,6.7,74272,Richard Maibaum,1987,1,0.706196567,70,FALSE,708,tt0093428,The Living Daylights,The Living Daylights,"Action, Adventure, Thriller","GB, US","london england, smuggling of arms, prison, england, assassination, spy, falsely accused, secret identity, country estate, arms deal, russia, drug traffic, secret mission, secret intelligence service, kgb, villain, renegade, special car, tangier morocco, big wheel, pipeline, cello, orchestra, freedom fighter, czechoslovakia, bratislava, afghanistan, airplane, schloss schönbrunn, escape, moscow, vienna",1987,0.010283192490906621,0.49607236578858865,0.3128142542421032
56,15000000,Twentieth Century Fox Film Corporation,43848100,Wall Street,R,11.12.1987 00:00,7.4,126195,Stanley Weiser,1987,1,1.923206667,190,FALSE,10673,tt0094291,Wall Street,Wall Street,"Crime, Drama",US,"power, fraud, broker, wall street, finances, lawyer, union, millionaire, stock broker",1987,-0.622075527676419,1.3177850495386991,1.2085619913589631
57,35000000,Other,22238696,Empire of the Sun,PG,25.12.1987 00:00,7.8,96566,Tom Stoppard,1987,0,-0.364608686,-40,FALSE,10110,tt0092965,Empire of the Sun,Empire of the Sun,"Drama, History, War",US,"japan, stadium, harmonica, bravery, peasant, pow, japanese occupation, sergeant, photograph, chinese, japanese army, japanese soldier, japanese surrender, footprint, wreath, potato, salt mine, oxen, boy soprano, aircraft explosion, pick axe",1987,0.22106943254668185,1.7873351545387612,0.6974183805692276
58,22000000,Warner Bros.,63766510,The Witches of Eastwick,R,12.06.1987 00:00,6.5,51642,John Updike,1987,1,1.898477727,190,FALSE,6069,tt0094332,The Witches of Eastwick,The Witches of Eastwick,"Fantasy, Horror, Comedy",US,"witch, new england",1987,-0.32697479159833376,0.261297313288557,-0.07758636380682582
59,25000000,Other,16057580,Over the Top,PG,13.02.1987 00:00,5.7,40916,Gary Conway,1987,0,-0.3576968,-40,FALSE,1825,tt0093692,Over the Top,Over the Top,"Action, Drama",US,"sport, bad father-in-law,  armwrestling",1987,-0.20050304756486861,-0.6778028967115687,-0.26262556085467437
60,6000000,Other,22847564,Raising Arizona,PG-13,17.04.1987 00:00,7.4,107669,Ethan Coen,1987,1,2.807927333,280,FALSE,378,tt0093822,Raising Arizona,Raising Arizona,"Comedy, Crime",US,"baby, supermarket, arizona, pregnancy and birth",1987,-1.0014907597768146,1.3177850495386991,0.8889613793406486
61,17000000,Other,17185632,Angel Heart,R,6.03.1987 00:00,7.3,67453,William Hjortsberg,1987,1,0.010919529,0,FALSE,635,tt0092563,Angel Heart,Angel Heart,"Horror, Mystery, Thriller",US,"southern usa, amnesia, drug addiction, new orleans, neurosis, heart, fan, sanatorium, aggression by animal, vision, blood, church, drug, demon, incest",1987,-0.537761031654109,1.2003975232886828,0.19517652492369192
62,27000000,Warner Bros.,25893810,Innerspace,PG,1.07.1987 00:00,6.8,45172,Chip Proser,1987,0,-0.04097,0,FALSE,2614,tt0093260,Innerspace,Innerspace,"Action, Comedy, Science Fiction",US,"experiment, shrinking, blood",1987,-0.11618855154255853,0.613459892038604,-0.1892033323784816
63,23000000,Other,43984230,The Last Emperor,PG-13,15.04.1988 00:00,7.8,76408,Mark Peploe,1987,1,0.912357826,90,FALSE,746,tt0093389,The Last Emperor,The Last Emperor,"Drama, History","FR, CN, GB, IT","buddhism, japan, suicide, china, suicide attempt, war crimes, becoming an adult, isolation, war on drugs, revolution, emperor, arranged marriage, manchuria, dynasty, reeducation camp, cultural revolution, human experimentation, war, coup d'etat, teacher, beijing, decadence, communism",1988,-0.2848175435871787,1.7873351545387612,0.3496633801878616
64,2600000,Other,3130592,Maurice,R,18.09.1987 00:00,7.7,11837,E.M. Forster,1987,1,0.204073846,20,FALSE,26371,tt0093512,Maurice,Maurice,"Drama, Romance",GB,"gay, coming out, british, gay relationship, coming of age, lgbt child, lgbt, best friends in love",1987,-1.1448254030147418,1.669947628288746,-0.7642808667426464
65,20000000,Other,51249404,Broadcast News,R,25.12.1987 00:00,7.2,22802,James L. Brooks,1987,1,1.5624702,160,FALSE,12626,tt0092699,Broadcast News,Broadcast News,"Comedy, Drama, Romance",US,"journalist, journalism, workaholic, news broadcast, television, moderator",1987,-0.4112892876206439,1.0830099970386673,-0.575118569928395
66,3500000,Other,14000000,Creepshow 2,R,1.05.1987 00:00,6.0,17500,Stephen King,1987,1,3.0,300,FALSE,16288,tt0092796,Creepshow 2,Creepshow 2,Horror,US,"lake, anthology, revenge, murder, blob, gore, hitchhiker, zombie, hit and run, horror anthology",1987,-1.106883879804702,-0.3256403179615217,-0.6665858291813965
67,12000000,Other,40050884,Roxanne,PG,19.06.1987 00:00,6.6,34794,Edmond Rostand,1987,1,2.337573667,229,FALSE,11584,tt0093886,Roxanne,Roxanne,"Comedy, Romance",US,"firemen, love letter, inferiority complex, nose, rivalry, student, colleague",1987,-0.7485472717098842,0.3786848395385723,-0.36823902014303245
68,20000000,Other,57387516,Dragnet,PG-13,26.06.1987 00:00,5.9,27387,Dan Aykroyd,1987,1,1.8693758,190,FALSE,10023,tt0092925,Dragnet,Dragnet,"Action, Comedy, Crime",US,"molotow cocktail, health food, speech impediment, reverend, ice sculpture, miranda warning, orange county california, female police commissioner, homage, yugo",1987,-0.4112892876206439,-0.443027844211537,-0.4960206099746019
69,14000000,Other,57915972,Throw Momma from the Train,PG-13,11.12.1987 00:00,6.2,28550,Stu Silver,1987,1,3.136855143,310,FALSE,11896,tt0094142,Throw Momma from the Train,Throw Momma from the Train,"Crime, Comedy",US,"mother, murder, train, ex-wife",1987,-0.6642327756875741,-0.09086526546149003,-0.4759571579732363
70,3000000,Other,3221568,Barfly,R,16.10.1987 00:00,7.3,15647,Charles Bukowski,1987,1,0.073856,10,FALSE,10937,tt0092618,Barfly,Barfly,"Comedy, Drama, Romance",US,"bartender, career, alcoholism, independent film, alcohol abuse",1987,-1.1279625038102796,1.2003975232886828,-0.698552790968611
71,6000000,Universal Pictures,3685862,Three O'Clock High,PG-13,9.10.1987 00:00,7.2,8970,Richard Christian Matheson,1987,0,-0.385689667,-40,FALSE,13339,tt0094138,Three O'Clock High,Three O'Clock High,Comedy,US,"bullying, bully",1987,-1.0014907597768146,1.0830099970386673,-0.8137408124760215
72,15000000,Other,13290368,The Pick-up Artist,PG-13,18.09.1987 00:00,5.2,5348,James Toback,1987,0,-0.113975467,-10,FALSE,17258,tt0093737,The Pick-up Artist,The Pick-up Artist,"Romance, Comedy, Crime, Drama",US,"womanizer, debt, alcoholic father",1987,-0.622075527676419,-1.2647405279616475,-0.8762256131199995
73,16000000,Other,14792779,Radio Days,PG,30.01.1987 00:00,7.6,26467,Woody Allen,1987,0,-0.075451313,-10,FALSE,30890,tt0093818,Radio Days,Radio Days,"Comedy, Drama",US,"beach, taxi driver, world war ii, radio, coney island, independent film, working class, binoculars, cigarette girl, radio plays",1987,-0.579918279665264,1.5525601020387296,-0.5118919563557338
74,17000000,Columbia Pictures Corporation,10278549,Someone to Watch Over Me,R,9.10.1987 00:00,6.1,7854,Howard Franklin,1987,0,-0.395379471,-40,FALSE,31650,tt0094008,Someone to Watch Over Me,Someone to Watch Over Me,"Crime, Drama, Romance, Thriller",US,"new york, detective, marriage, murder, socialite",1987,-0.537761031654109,-0.2082527917115064,-0.8329934456948728
75,29000000,Universal Pictures,5899797,Cry Freedom,PG,6.11.1987 00:00,7.5,10692,John Briley,1987,0,-0.796558724,-80,FALSE,12506,tt0092804,Cry Freedom,Cry Freedom,Drama,GB,"journalist, 1970s, male friendship, south africa, apartheid",1987,-0.031874055520248426,1.4351725757887144,-0.7840337924017725
