adult,id,imdb_id,original_title,title,genres_edited,production_countries_edited
FALSE,78802,tt0114952,"Guillaumet, les ailes du courage",Wings of Courage,"Romance, Adventure","FR, US"
FALSE,9598,tt0112431,Babe,Babe,"Fantasy, Drama, Comedy, Family","AU, US"
FALSE,47018,tt0112637,Carrington,Carrington,"History, Drama, Romance","FR, GB"
FALSE,687,tt0112818,Dead Man Walking,Dead Man Walking,Drama,"US, GB"
FALSE,139405,tt0112286,Across the Sea of Time,Across the Sea of Time,"Adventure, History, Drama, Family",US
FALSE,33689,tt0113442,It Takes Two,It Takes Two,"Comedy, Family, Romance",US
FALSE,9603,tt0112697,Clueless,Clueless,"Comedy, Drama, Romance",US
FALSE,34615,tt0112749,"Cry, the Beloved Country","Cry, the Beloved Country",Drama,ZA
FALSE,31174,tt0114279,Richard III,Richard III,"Drama, War","GB, US"
FALSE,11443,tt0112819,Dead Presidents,Dead Presidents,"Action, Crime, Drama, History",US
FALSE,35196,tt0114272,Restoration,Restoration,"Drama, Romance",US
FALSE,9312,tt0113855,Mortal Kombat,Mortal Kombat,"Action, Fantasy",US
FALSE,577,tt0114681,To Die For,To Die For,"Fantasy, Drama, Comedy, Thriller",US
FALSE,11861,tt0113347,How To Make An American Quilt,How To Make An American Quilt,"Drama, Romance",US
FALSE,807,tt0114369,Se7en,Se7en,"Crime, Mystery, Thriller",US
FALSE,10530,tt0114148,Pocahontas,Pocahontas,"Adventure, Animation, Drama, Family",US
FALSE,8391,tt0114916,When Night Is Falling,When Night Is Falling,"Drama, Romance",CA
FALSE,629,tt0114814,The Usual Suspects,The Usual Suspects,"Drama, Crime, Thriller",US
FALSE,117164,tt0109950,Guardian Angel,Guardian Angel,"Action, Thriller, Drama",NA
FALSE,11448,tt0113819,Mighty Aphrodite,Mighty Aphrodite,"Comedy, Romance",US
FALSE,49133,tt0110299,Lamerica,Lamerica,"Drama, Foreign","IT, FR, CH"
FALSE,26441,tt0112499,The Big Green,The Big Green,"Action, Adventure, Comedy, Family",US
FALSE,97406,tt0113158,Georgia,Georgia,Drama,"FR, US"
FALSE,124057,tt0113541,Kids of the Round Table,Kids of the Round Table,,NA
FALSE,9089,tt0113321,Home for the Holidays,Home for the Holidays,"Comedy, Drama, Romance",US
FALSE,11010,tt0110877,Il postino,The Postman,"Comedy, Drama, Romance","BE, FR, IT"
FALSE,99040,tt0112714,Le confessionnal,The Confessional,"Thriller, Drama, Mystery",CA
FALSE,11359,tt0113419,The Indian in the Cupboard,The Indian in the Cupboard,"Adventure, Family, Fantasy",US
FALSE,17182,tt0116260,Eye for an Eye,Eye for an Eye,"Drama, Thriller",US
FALSE,2054,tt0113862,Mr. Holland's Opus,Mr. Holland's Opus,"Music, Drama, Family",US
FALSE,10607,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,US
FALSE,19760,tt0118002,Two If by Sea,Two If by Sea,"Comedy, Romance",US
FALSE,9536,tt0115683,Bio-Dome,Bio-Dome,Comedy,US
FALSE,11525,tt0116839,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace,"Action, Science Fiction",US
FALSE,40628,tt0114753,Two Bits,Two Bits,"Drama, Family",US
FALSE,4482,tt0113149,Gazon maudit,French Twist,"Comedy, Romance",FR
FALSE,10634,tt0113118,Friday,Friday,Comedy,US
FALSE,755,tt0116367,From Dusk Till Dawn,From Dusk Till Dawn,"Horror, Action, Thriller, Crime",US
FALSE,11859,tt0113010,Fair Game,Fair Game,"Action, Thriller, Romance",US
FALSE,28387,tt0113537,Kicking and Screaming,Kicking and Screaming,"Comedy, Drama, Romance",US
FALSE,48750,tt0113828,Les misérables,Les Miserables,"Drama, History",FR
FALSE,20927,tt0115644,Bed of Roses,Bed of Roses,"Drama, Romance",US
FALSE,36929,tt0115676,Big Bully,Big Bully,"Comedy, Family",US
FALSE,9102,tt0114367,Screamers,Screamers,"Horror, Science Fiction","CA, JP, US"
FALSE,124626,tt0113973,Nico Icon,Nico Icon,Documentary,"DE, US"
FALSE,27526,tt0112744,The Crossing Guard,The Crossing Guard,"Drama, Thriller",US
FALSE,9623,tt0116731,The Juror,The Juror,"Drama, Thriller",US
FALSE,46785,tt0112445,بادکنک سفید,The White Balloon,"Family, Drama",IR
FALSE,400,tt0114660,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead,"Drama, Crime",US
FALSE,880,tt0112379,Antonia,Antonia's Line,"Drama, Comedy","NL, GB, BE"
FALSE,146599,tt0114039,Once Upon a Time... When We Were Colored,Once Upon a Time... When We Were Colored,"Romance, Drama",US
FALSE,188588,tt0113612,Last Summer in the Hamptons,Last Summer in the Hamptons,,NA
FALSE,8447,tt0112365,Angels and Insects,Angels and Insects,"Drama, Romance","GB, US"
FALSE,10534,tt0118158,White Squall,White Squall,"Action, Drama",US
FALSE,17414,tt0116151,Dunston Checks In,Dunston Checks In,"Adventure, Comedy, Family",US
FALSE,13997,tt0115697,Black Sheep,Black Sheep,Comedy,US
FALSE,2086,tt0113972,Nick of Time,Nick of Time,"Crime, Drama, Thriller",US
FALSE,61548,tt0113490,The Journey of August King,The Journey of August King,Drama,US
FALSE,9095,tt0117002,Mary Reilly,Mary Reilly,"Drama, Horror, Thriller, Romance",US
FALSE,12158,tt0114825,Vampire in Brooklyn,Vampire in Brooklyn,"Comedy, Horror, Romance",US
FALSE,9283,tt0115639,Beautiful Girls,Beautiful Girls,"Comedy, Drama, Romance",US
FALSE,9208,tt0115759,Broken Arrow,Broken Arrow,"Action, Adventure, Drama, Thriller",US
FALSE,40154,tt0113403,A Midwinter's Tale,A Midwinter's Tale,Comedy,GB
FALSE,406,tt0113247,La Haine,La Haine,Drama,FR
FALSE,45549,tt0111173,Shopping,Shopping,"Action, Adventure, Drama, Science Fiction, Thriller",GB
FALSE,63076,tt0113283,Heidi Fleiss: Hollywood Madam,Heidi Fleiss: Hollywood Madam,Documentary,"GB, CA, US, DE"
FALSE,11062,tt0115907,City Hall,City Hall,"Drama, Thriller",US
FALSE,13685,tt0115734,Bottle Rocket,Bottle Rocket,"Comedy, Crime, Drama",US
FALSE,47475,tt0117102,Mr. Wrong,Mr. Wrong,"Comedy, Romance",US
FALSE,2045,tt0118040,Unforgettable,Unforgettable,"Drama, Mystery, Science Fiction, Thriller",US
FALSE,9614,tt0116483,Happy Gilmore,Happy Gilmore,Comedy,US
FALSE,688,tt0112579,The Bridges of Madison County,The Bridges of Madison County,"Drama, Romance",US
FALSE,11907,tt0110251,Keiner liebt mich,Nobody Loves Me,"Drama, Comedy, Family",DE
FALSE,10874,tt0117110,Muppet Treasure Island,Muppet Treasure Island,"Action, Comedy, Music, Family, Adventure",US
FALSE,89333,tt0112646,Catwalk,Catwalk,Documentary,NA
FALSE,96357,tt0113276,Headless Body in Topless Bar,Headless Body in Topless Bar,Crime,NA
FALSE,197,tt0112573,Braveheart,Braveheart,"Action, Drama, History, War",US
FALSE,103,tt0075314,Taxi Driver,Taxi Driver,"Crime, Drama",US
FALSE,33542,tt0113326,紅番區,Rumble in the Bronx,"Crime, Action, Comedy, Thriller",HK
FALSE,43566,tt0115645,Before and After,Before and After,"Drama, Thriller",US
FALSE,71754,tt0113774,Margaret's Museum,Margaret's Museum,Drama,"CA, GB"
FALSE,43612,tt0112556,Le Bonheur est dans le pré,Happiness Is in the Field,Comedy,FR
FALSE,51352,tt0112373,Anne Frank Remembered,Anne Frank Remembered,"Documentary, Drama, Foreign","GB, US, NL"
FALSE,16934,tt0115033,The Young Poisoner's Handbook,The Young Poisoner's Handbook,"Comedy, Crime, Drama","DE, FR, GB"
FALSE,10324,tt0116606,If Lucy Fell,If Lucy Fell,"Comedy, Romance",US
FALSE,78406,tt0114536,Steal Big Steal Little,Steal Big Steal Little,"Comedy, Drama",US
FALSE,55731,tt0117427,Race the Sun,Race the Sun,"Action, Adventure, Comedy, Drama, Family",US
FALSE,32119,tt0106473,The Boys of St. Vincent,The Boys of St. Vincent,Drama,CA
FALSE,11066,tt0103859,Boomerang,Boomerang,"Comedy, Romance",US
FALSE,11104,tt0109424,重慶森林,Chungking Express,"Drama, Comedy, Romance",HK
FALSE,37975,tt0114808,L'uomo delle stelle,The Star Maker,"Drama, Romance",IT
FALSE,2074,tt0116324,Flirting with Disaster,Flirting with Disaster,"Comedy, Romance",US
FALSE,27793,tt0110647,The NeverEnding Story III,The Neverending Story III: Escape from Fantasia,Fantasy,"DE, US"
FALSE,44284,tt0111055,صمت القصور,The Silences of the Palace,Drama,"TN, FR"
FALSE,290157,tt0110217,Jupiter's Wife,Jupiter's Wife,,NA
FALSE,110972,tt0114131,Pie in the Sky,Pie in the Sky,"Comedy, Romance",NA
FALSE,32622,tt0112364,Angela,Angela,"Comedy, Drama",US
FALSE,73067,tt0113107,Frankie Starlight,Frankie Starlight,"Drama, Romance, War","GB, US, FR, IE"
FALSE,11863,tt0113451,Jade,Jade,"Action, Thriller, Mystery, Romance",US
FALSE,55475,tt0114015,Nueba Yol,Nueba Yol,"Comedy, Drama, Romance",DO
FALSE,124636,tt0114500,Sonic Outlaws,Sonic Outlaws,"Music, Documentary",US
FALSE,9101,tt0116130,Down Periscope,Down Periscope,Comedy,US
FALSE,123360,tt0113125,From the Journals of Jean Seberg,From the Journals of Jean Seberg,Documentary,US
FALSE,5757,tt0113756,Man of the Year,Man of the Year,Comedy,US
FALSE,39428,tt0113952,The Neon Bible,The Neon Bible,Drama,GB
FALSE,124639,tt0114618,Target,Target,,NA
FALSE,9302,tt0118055,Up Close & Personal,Up Close & Personal,"Drama, Romance",US
FALSE,11000,tt0115685,The Birdcage,The Birdcage,Comedy,US
FALSE,249882,tt0113200,Gospa,Virgin Mary,Drama,"HR, CA, US"
FALSE,16388,tt0112585,The Brothers McMullen,The Brothers McMullen,"Comedy, Drama, Romance",US
FALSE,9737,tt0112442,Bad Boys,Bad Boys,"Action, Comedy, Crime, Thriller",US
FALSE,30765,tt0112342,The Amazing Panda Adventure,The Amazing Panda Adventure,"Action, Adventure, Drama, Family",US
FALSE,10474,tt0112461,The Basketball Diaries,The Basketball Diaries,"Drama, Crime",US
FALSE,22279,tt0112427,An Awfully Big Adventure,An Awfully Big Adventure,"Romance, Drama, Comedy",GB
FALSE,30157,tt0109093,Amateur,Amateur,"Crime, Comedy, Drama, Thriller","FR, GB, US"
FALSE,568,tt0112384,Apollo 13,Apollo 13,Drama,US
FALSE,11780,tt0114287,Rob Roy,Rob Roy,Adventure,"GB, US"
FALSE,34996,tt0112288,The Addiction,The Addiction,"Drama, Horror",US
FALSE,414,tt0112462,Batman Forever,Batman Forever,"Action, Crime, Fantasy","GB, US"
FALSE,649,tt0061395,Belle de jour,Belle de Jour,"Drama, Romance","FR, IT"
FALSE,1873,tt0112495,Beyond Rangoon,Beyond Rangoon,"Drama, Thriller",NA
FALSE,5894,tt0112541,Blue in the Face,Blue in the Face,Comedy,US
FALSE,1775,tt0109370,Canadian Bacon,Canadian Bacon,"Action, Comedy","CA, US"
FALSE,8839,tt0112642,Casper,Casper,"Fantasy, Comedy, Family",US
FALSE,20649,tt0112688,Clockers,Clockers,"Mystery, Crime, Drama",US
FALSE,10329,tt0112715,Congo,Congo,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",US
FALSE,8963,tt0112740,Crimson Tide,Crimson Tide,"Action, Thriller, Drama",US
FALSE,26564,tt0109508,Crumb,Crumb,Documentary,US
FALSE,8068,tt0112851,Desperado,Desperado,"Thriller, Action, Crime",US
FALSE,8512,tt0112857,Devil in a Blue Dress,Devil in a Blue Dress,"Drama, Mystery, Thriller",US
FALSE,1572,tt0112864,Die Hard: With a Vengeance,Die Hard: With a Vengeance,"Action, Thriller",US
FALSE,13552,tt0112887,The Doom Generation,The Doom Generation,"Action, Comedy, Crime, Drama","FR, US"
FALSE,259209,tt0113044,Feast of July,Feast of July,"Drama, Crime",NA
FALSE,6520,tt0113071,First Knight,First Knight,"Action, Adventure, Drama, Romance",US
FALSE,9073,tt0113114,Free Willy 2 - The Adventure Home,Free Willy 2 - The Adventure Home,Adventure,"FR, US"
FALSE,10428,tt0113243,Hackers,Hackers,"Action, Crime, Thriller, Drama",US
FALSE,17447,tt0113464,Jeffrey,Jeffrey,"Comedy, Drama, Romance",US
FALSE,9886,tt0113481,Johnny Mnemonic,Johnny Mnemonic,"Adventure, Action, Drama, Science Fiction, Thriller","CA, US"
FALSE,9482,tt0113492,Judge Dredd,Judge Dredd,Science Fiction,US
FALSE,19326,tt0113500,Jury Duty,Jury Duty,"Comedy, Drama",US
FALSE,9344,tt0113540,Kids,Kids,"Drama, Crime",US
FALSE,9071,tt0113677,Living in Oblivion,Living in Oblivion,"Drama, Comedy",US
FALSE,8973,tt0113690,Lord of Illusions,Lord of Illusions,"Mystery, Horror, Thriller",US
FALSE,15730,tt0107447,Love & Human Remains,Love & Human Remains,"Comedy, Drama",CA
FALSE,47608,tt0113729,Mad Love,Mad Love,"Drama, Family, Romance",US
FALSE,2293,tt0113749,Mallrats,Mallrats,"Romance, Comedy",US
FALSE,9070,tt0113820,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie,"Action, Adventure, Science Fiction, Family, Fantasy","JP, US"
FALSE,68274,tt0113851,Moonlight and Valentino,Moonlight and Valentino,"Comedy, Drama, Romance","GB, US"
FALSE,48787,tt0110604,Mute Witness,Mute Witness,"Thriller, Foreign","DE, RU, GB, US"
FALSE,34574,tt0110620,Nadja,Nadja,"Horror, Thriller",US
FALSE,1642,tt0113957,The Net,The Net,"Crime, Drama, Mystery, Thriller, Action",US
FALSE,11472,tt0113986,Nine Months,Nine Months,Comedy,US
FALSE,36196,tt0114095,Party Girl,Party Girl,Comedy,US
FALSE,11980,tt0114194,The Prophecy,The Prophecy,"Fantasy, Horror, Thriller",US
FALSE,58372,tt0114241,Reckless,Reckless,"Fantasy, Comedy, Drama",US
FALSE,32646,tt0114323,Safe,Safe,Drama,"GB, US"
FALSE,10533,tt0114345,The Scarlet Letter,The Scarlet Letter,"Drama, History, Romance",US
FALSE,56088,tt0114435,The Show,The Show,Documentary,NA
FALSE,10802,tt0114436,Showgirls,Showgirls,Drama,"FR, US"
FALSE,10149,tt0114478,Smoke,Smoke,"Comedy, Drama","DE, JP, US"
FALSE,18402,tt0114496,Something to Talk About,Something to Talk About,Comedy,US
FALSE,9348,tt0114508,Species,Species,"Science Fiction, Horror, Action",US
FALSE,139408,tt0114534,The Stars Fell on Henrietta,The Stars Fell on Henrietta,Drama,US
FALSE,281,tt0114558,Strange Days,Strange Days,"Crime, Drama, Science Fiction, Thriller",US
FALSE,5967,tt0058450,Les parapluies de Cherbourg,The Umbrellas of Cherbourg,"Drama, Romance","DE, FR"
FALSE,79593,tt0114666,The Tie That Binds,The Tie That Binds,Thriller,US
FALSE,47939,tt0114663,Three Wishes,Three Wishes,"Drama, Fantasy",US
FALSE,36834,tt0114702,Total Eclipse,Total Eclipse,"Drama, Romance","FR, BE, GB"
FALSE,9090,tt0114682,"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,US
FALSE,3512,tt0114781,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,"Action, Thriller",US
FALSE,52856,tt0114798,Unstrung Heroes,Unstrung Heroes,"Comedy, Drama, Family",NA
FALSE,77350,tt0114805,Unzipped,Unzipped,Documentary,US
FALSE,9560,tt0114887,A Walk in the Clouds,A Walk in the Clouds,"Drama, Romance",US
FALSE,9804,tt0114898,Waterworld,Waterworld,"Adventure, Action",US
FALSE,31611,tt0114928,White Man's Burden,White Man's Burden,Drama,"FR, US"
FALSE,65796,tt0114938,Wild Bill,Wild Bill,"Action, Western",NA
FALSE,49805,tt0109340,The Browning Version,The Browning Version,Drama,GB
FALSE,26258,tt0112602,Bushwhacked,Bushwhacked,"Adventure, Action, Comedy, Crime, Family",US
FALSE,50797,tt0111579,Утомлённые солнцем,Burnt by the Sun,Drama,"FR, RU"
FALSE,19155,tt0110882,Before the Rain,Before the Rain,"Drama, War","GB, MK, FR"
FALSE,76,tt0112471,Before Sunrise,Before Sunrise,"Drama, Romance","AT, CH, US"
FALSE,11017,tt0112508,Billy Madison,Billy Madison,Comedy,US
FALSE,37141,tt0112438,The Babysitter,The Babysitter,"Drama, Thriller",US
FALSE,9382,tt0112571,Boys on the Side,Boys on the Side,"Comedy, Drama","FR, US"
FALSE,6715,tt0112757,The Cure,The Cure,"Drama, Family",US
FALSE,18256,tt0112643,Castle Freak,Castle Freak,"Thriller, Drama, Horror, Mystery",US
FALSE,22625,tt0112679,Circle of Friends,Circle of Friends,"Drama, Family, Romance","IE, GB"
FALSE,2292,tt0109445,Clerks,Clerks,Comedy,US
FALSE,1909,tt0112883,Don Juan DeMarco,Don Juan DeMarco,"Romance, Drama, Comedy",US
FALSE,8984,tt0109635,Disclosure,Disclosure,"Drama, Thriller, Crime, Mystery, Romance",US
FALSE,61813,tt0112899,Dream Man,Dream Man,Thriller,"US, CA"
FALSE,4954,tt0109676,Drop Zone,Drop Zone,"Action, Adventure, Thriller",US
FALSE,62488,tt0112854,Destiny Turns on the Radio,Destiny Turns on the Radio,"Crime, Comedy, Fantasy",US
FALSE,10531,tt0109579,Death and the Maiden,Death and the Maiden,"Drama, Thriller, Mystery","US, FR, GB"
FALSE,11929,tt0109642,Dolores Claiborne,Dolores Claiborne,"Crime, Drama, Mystery",US
FALSE,8467,tt0109686,Dumb and Dumber,Dumb and Dumber,Comedy,US
FALSE,10451,tt0111797,飲食男女,Eat Drink Man Woman,"Comedy, Drama, Romance","TW, US"
FALSE,20156,tt0109759,Exotica,Exotica,"Drama, Mystery",CA
FALSE,18395,tt0109758,Exit to Eden,Exit to Eden,"Thriller, Comedy, Crime, Romance",US
FALSE,522,tt0109707,Ed Wood,Ed Wood,"Comedy, Drama, History",US
FALSE,397,tt0113117,French Kiss,French Kiss,"Comedy, Romance","GB, US"
FALSE,10525,tt0113097,Forget Paris,Forget Paris,"Comedy, Drama, Romance",US
FALSE,27985,tt0113028,Far from Home: The Adventures of Yellow Dog,Far from Home: The Adventures of Yellow Dog,"Action, Adventure, Drama, Family",US
FALSE,15789,tt0113198,A Goofy Movie,A Goofy Movie,"Romance, Animation, Family, Comedy, Adventure",US
FALSE,27303,tt0113303,Hideaway,Hideaway,"Drama, Thriller",US
FALSE,21183,tt0113089,Fluke,Fluke,"Drama, Family, Fantasy",US
FALSE,10954,tt0109771,Farinelli,Farinelli,"History, Drama","BE, FR, IT"
FALSE,47867,tt0113199,Gordy,Gordy,"Drama, Family, Fantasy",US
FALSE,43475,tt0113234,Gumby: The Movie,Gumby: The Movie,"Fantasy, Animation, Science Fiction, Family",NA
FALSE,72031,tt0109906,The Glass Shield,The Glass Shield,"Drama, Action, Thriller, Crime","US, FR"
FALSE,14275,tt0110057,Hoop Dreams,Hoop Dreams,Documentary,US
FALSE,1024,tt0110005,Heavenly Creatures,Heavenly Creatures,"Drama, Fantasy",NZ
FALSE,17207,tt0110066,Houseguest,Houseguest,"Comedy, Family",NA
FALSE,13701,tt0110116,Immortal Beloved,Immortal Beloved,"Drama, Music, Romance",US
FALSE,14819,tt0110006,Heavyweights,Heavyweights,"Comedy, Family, Drama",US
FALSE,32631,tt0113360,The Hunted,The Hunted,"Action, Thriller",US
FALSE,11777,tt0110099,I.Q.,I.Q.,"Comedy, Drama, Romance",US
FALSE,628,tt0110148,Interview with the Vampire,Interview with the Vampire,"Horror, Romance",US
FALSE,87729,tt0113463,Jefferson in Paris,Jefferson in Paris,"Drama, Romance",US
FALSE,18713,tt0110189,The Jerky Boys,The Jerky Boys,"Comedy, Crime",US
FALSE,6280,tt0110216,Junior,Junior,"Comedy, Family, Romance",US
FALSE,9061,tt0113501,Just Cause,Just Cause,"Action, Drama, Mystery, Thriller",US
FALSE,37108,tt0113538,A Kid in King Arthur's Court,A Kid in King Arthur's Court,"Adventure, Fantasy, Comedy, Science Fiction, Family",NA
FALSE,6071,tt0113552,Kiss of Death,Kiss of Death,"Action, Crime, Drama, Thriller",US
FALSE,11,tt0076759,Star Wars,Star Wars,"Adventure, Action, Science Fiction",US
FALSE,9587,tt0110367,Little Women,Little Women,"Drama, Romance",US
FALSE,19101,tt0113670,A Little Princess,A Little Princess,"Drama, Family, Fantasy",US
FALSE,49980,tt0110296,Ladybird Ladybird,Ladybird Ladybird,Drama,GB
FALSE,17961,tt0109731,L'Enfer,L'Enfer,"Crime, Drama",FR
FALSE,18183,tt0103994,Como agua para chocolate,Like Water for Chocolate,"Drama, Romance",MX
FALSE,4476,tt0110322,Legends of the Fall,Legends of the Fall,"Adventure, Drama, Romance, War",US
FALSE,11008,tt0110443,Major Payne,Major Payne,"Adventure, Comedy, Family",US
FALSE,47504,tt0110365,Little Odessa,Little Odessa,"Action, Drama",US
FALSE,32325,tt0107566,Mi Vida Loca,Mi Vida Loca,"Crime, Drama",US
FALSE,43742,tt0110391,Love Affair,Love Affair,"Drama, Romance",US
FALSE,28313,tt0113691,Losing Isaiah,Losing Isaiah,Drama,US
FALSE,11318,tt0110428,The Madness of King George,The Madness of King George,"Comedy, Drama, History",GB
FALSE,3036,tt0109836,Frankenstein,Mary Shelley's Frankenstein,"Drama, Horror, Science Fiction, Romance","GB, JP, US"
FALSE,40490,tt0113755,Man of the House,Man of the House,"Action, Comedy, Family",NA
FALSE,24070,tt0110538,Mixed Nuts,Mixed Nuts,"Comedy, Drama, Romance",US
FALSE,8986,tt0110516,Milk Money,Milk Money,"Comedy, Romance",US
FALSE,10510,tt0110527,Miracle on 34th Street,Miracle on 34th Street,"Fantasy, Drama, Family",US
FALSE,17402,tt0113808,Miami Rhapsody,Miami Rhapsody,"Comedy, Romance",US
FALSE,38722,tt0113896,My Family,My Family,"Comedy, Drama",US
FALSE,8438,tt0113870,Murder in the First,Murder in the First,"Crime, Drama","FR, US"
FALSE,11593,tt0110684,Nobody's Fool,Nobody's Fool,"Drama, Comedy",US
FALSE,1945,tt0110638,Nell,Nell,"Drama, Thriller",US
FALSE,39310,tt0113967,New Jersey Drive,New Jersey Drive,"Crime, Drama",US
FALSE,109560,tt0117169,New York Cop,New York Cop,"Action, Thriller, Crime, Drama","JP, US"
FALSE,56428,tt0106402,Beyond Bedlam,Beyond Bedlam,Horror,GB
FALSE,63105,tt0113948,Nemesis 2 - Nebula,Nemesis 2 - Nebula,"Science Fiction, Action, Thriller",US
FALSE,131957,tt0110671,Nina Takes a Lover,Nina Takes a Lover,"Drama, Romance",NA
FALSE,241,tt0110632,Natural Born Killers,Natural Born Killers,"Crime, Thriller, Drama",US
FALSE,9058,tt0110737,Only You,Only You,"Comedy, Drama, Romance",US
FALSE,527,tt0110729,Once Were Warriors,Once Were Warriors,Drama,NZ
FALSE,18220,tt0114151,Poison Ivy II: Lily,Poison Ivy II: Lily,"Drama, Romance, Thriller",US
FALSE,6950,tt0114069,Outbreak,Outbreak,"Action, Drama, Science Fiction, Thriller",US
FALSE,101,tt0110413,Léon,Leon: The Professional,"Thriller, Crime, Drama","FR, US"
FALSE,63020,tt0114113,The Perez Family,The Perez Family,"Comedy, Drama, Romance",US
FALSE,2307,tt0114210,A Pyromaniac's Love Story,A Pyromaniac's Love Story,"Comedy, Drama, Romance",US
FALSE,680,tt0110912,Pulp Fiction,Pulp Fiction,"Thriller, Crime",US
FALSE,41478,tt0114084,Panther,Panther,Drama,"GB, US"
FALSE,25296,tt0105652,Pushing Hands,Pushing Hands,"Comedy, Drama",TW
FALSE,40156,tt0110889,Priest,Priest,"Drama, Romance",GB
FALSE,11450,tt0110932,Quiz Show,Quiz Show,"History, Drama",US
FALSE,30304,tt0114129,Picture Bride,Picture Bride,"Drama, History","JP, US"
FALSE,10452,tt0110963,La Reine Margot,Queen Margot,"Drama, History","FR, DE, IT"
FALSE,12106,tt0114214,The Quick and the Dead,The Quick and the Dead,"Action, Western","JP, US"
FALSE,161495,tt0114296,Roommates,Roommates,"Drama, Comedy",US
FALSE,3586,tt0110907,Prêt-à-Porter,Prêt-à-Porter,"Drama, Comedy",US
FALSE,110,tt0111495,Trois couleurs : Rouge,Three Colors: Red,"Drama, Mystery, Romance","FR, PL, CH"
FALSE,108,tt0108394,Trois couleurs : Bleu,Three Colors: Blue,"Drama, Music, Mystery","FR, PL"
FALSE,109,tt0111507,Trois couleurs : Blanc,Three Colors: White,"Comedy, Drama, Mystery","FR, PL"
FALSE,159185,tt0110769,Pao Da Shuang Deng,"Red Firecracker, Green Firecracker",Drama,"CN, HK"
FALSE,36357,tt0114268,Rent-a-Kid,Rent-a-Kid,"Comedy, Family, TV Movie",US
FALSE,92769,tt0110965,Relative Fear,Relative Fear,"Horror, Drama",CA
