,budget,company,gross,name,rating,released,score,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,title,genres_edited,production_countries_edited,keywords_edited,year_released
24,25000000,Other,39246734,¡Three Amigos!,PG,12.12.1986 00:00,6.4,57406,Steve Martin,1986,1,0.56986936,60,FALSE,8388,tt0092086,¡Three Amigos!,¡Three Amigos!,"Comedy, Western",US,"mexico, hero, village, united states–mexico barrier, confusion, spoof, western hero, western band, actor",1986
25,13800000,Touchstone Pictures,52293982,The Color of Money,R,17.10.1986 00:00,7.0,62495,Walter Tevis,1986,1,2.789418986,280,FALSE,11873,tt0090863,The Color of Money,The Color of Money,Drama,US,"bar, billard, talent, hustler, sport",1986
26,10000000,Other,37499651,The Money Pit,PG,26.03.1986 00:00,6.3,41278,David Giler,1986,1,2.7499651,270,FALSE,10466,tt0091541,The Money Pit,The Money Pit,"Comedy, Romance",US,"rock star, price, chaos, house, home ownership",1986
27,25000000,Other,14302779,The Mosquito Coast,PG,26.11.1986 00:00,6.6,23076,Paul Theroux,1986,0,-0.42788884,-40,FALSE,11120,tt0091557,The Mosquito Coast,The Mosquito Coast,"Adventure, Drama",US,"paradise, living together, power, governance, exit, idealism, honduras, idealist, nature, emigrant",1986
28,10000000,Other,4711220,King Kong Lives,PG-13,19.12.1986 00:00,3.8,4401,Ronald Shusett,1986,0,-0.528878,-50,FALSE,31947,tt0091344,King Kong Lives,King Kong Lives,"Action, Horror",US,"king kong, giant ape",1986
29,4500000,Other,1261000,From Beyond,R,24.10.1986 00:00,6.7,16636,H.P. Lovecraft,1986,0,-0.719777778,-70,FALSE,14510,tt0091083,From Beyond,From Beyond,"Horror, Science Fiction, Fantasy",US,"human experimentation, h.p. lovecraft, parallel world",1986
30,18000000,TriStar Pictures,41382841,Peggy Sue Got Married,PG-13,10.10.1986 00:00,6.3,28529,Jerry Leichtling,1986,1,1.299046722,130,FALSE,10013,tt0091738,Peggy Sue Got Married,Peggy Sue Got Married,"Comedy, Drama, Fantasy, Romance",US,"time travel, high school reunion",1986
31,19000000,Other,40996665,Poltergeist II: The Other Side,PG-13,23.05.1986 00:00,5.7,20669,Mark Victor,1986,1,1.157719211,120,FALSE,11133,tt0091778,Poltergeist II: The Other Side,Poltergeist II: The Other Side,"Horror, Thriller",US,"monster, poltergeist, supernatural powers, family secrets",1986
32,1100000,Other,5450815,Troll,PG-13,17.01.1986 00:00,4.3,7569,Ed Naha,1986,1,3.955286364,400,FALSE,33061,tt0092115,Troll,Troll,"Fantasy, Horror","IT, US","troll, potter",1986
33,111000,Other,609939,Henry: Portrait of a Serial Killer,UNRATED,7.09.1990 00:00,7.0,25367,Richard Fire,1986,1,4.494945946,450,FALSE,10692,tt0099763,Henry: Portrait of a Serial Killer,Henry: Portrait of a Serial Killer,"Crime, Drama, Horror, Thriller",US,"chicago, prostitute, rape, sadistic, nudity, sister, psychopath, murder, video camera, serial killer, true, blood, extreme violence, killing spree, incest, cult film, murderer duo",1990
34,18000000,Other,9697739,SpaceCamp,PG,6.06.1986 00:00,5.6,11484,Clifford Green,1986,0,-0.461236722,-50,FALSE,13766,tt0091993,SpaceCamp,SpaceCamp,"Family, Adventure",US,"space, astronaut, space shuttle, trapped in space, space camp",1986
35,6400000,Other,40084041,Hannah and Her Sisters,PG-13,14.03.1986 00:00,8.0,56988,Woody Allen,1986,1,5.263131406,530,FALSE,5143,tt0091167,Hannah and Her Sisters,Hannah and Her Sisters,"Comedy, Drama",US,"writing, opera, thanksgiving, hypochondriac, television producer, architecture, singing, new york city, relationship, art, fear of dying",1986
36,14000000,Walt Disney Pictures,38600000,The Great Mouse Detective,G,2.07.1986 00:00,7.2,36539,Peter Young,1986,1,1.757142857,180,FALSE,9994,tt0091149,The Great Mouse Detective,The Great Mouse Detective,"Comedy, Animation, Family",US,"london england, detective, queen, sherlock holmes, cartoon mouse",1986
37,6000000,Other,5849647,The Transformers: The Movie,PG,8.08.1986 00:00,7.3,33609,Ron Friedman,1986,0,-0.025058833,0,FALSE,1857,tt0092106,The Transformers: The Movie,The Transformers: The Movie,Animation,US,"toy, transformation, based on toy, transformers, robots, intergalactic war",1986
38,5000000,TriStar Pictures,591366,Night of the Creeps,R,22.08.1986 00:00,6.8,16077,Fred Dekker,1986,0,-0.8817268,-90,FALSE,15762,tt0091630,Night of the Creeps,Night of the Creeps,"Comedy, Horror, Science Fiction",US,"female nudity, monster, spacecraft, experiment, nudity, brain, ax, police, murder, alien, sorority, gore, morgue, undead, serial killer, decapitation, zombie, corpse, teenager, exploding head, violence, cult film, fraternity, parasite, axe murder, space monster",1986
39,6000000,Other,28607524,Hoosiers,PG,27.02.1987 00:00,7.6,36604,Angelo Pizzo,1986,1,3.767920667,380,FALSE,5693,tt0091217,Hoosiers,Hoosiers,"Drama, Family",US,"father son relationship, indiana, son, sport, basketball, high school sports",1987
40,6500000,Other,2347000,At Close Range,R,18.04.1986 00:00,7.0,11607,Elliott Lewitt,1986,0,-0.638923077,-60,FALSE,13715,tt0090670,At Close Range,At Close Range,"Crime, Drama",US,"rape, 1970s, gun, sociopath, drug",1986
41,20000000,Paramount Pictures,25314289,Heartburn,R,25.07.1986 00:00,6.1,7570,Nora Ephron,1986,1,0.26571445,30,FALSE,13818,tt0091188,Heartburn,Heartburn,"Comedy, Drama, Romance",US,"journalist, wife husband relationship, infidelity",1986
42,15000000,Warner Bros.,1953732,The Clan of the Cave Bear,R,17.01.1986 00:00,5.3,5340,Jean M. Auel,1986,0,-0.8697512,-90,FALSE,13853,tt0090848,The Clan of the Cave Bear,The Clan of the Cave Bear,"Adventure, Drama",US,"stone age, tribe, cavemen, prehistoric adventure, prehistoric times, neanderthal, prehistoric man",1986
43,12000000,Other,17768900,The Delta Force,R,14.02.1986 00:00,5.6,15819,James Bruner,1986,1,0.480741667,50,FALSE,16113,tt0090927,The Delta Force,The Delta Force,"Action, Thriller","IL, US","terrorist, airplane hijacking, covert operation",1986
44,18000000,Paramount Pictures,36611610,Gung Ho,PG-13,14.03.1986 00:00,6.2,9965,Edwin Blum,1986,1,1.033978333,100,FALSE,13698,tt0091159,Gung Ho,Gung Ho,"Comedy, Drama",US,"japan, usa, factory worker, factory, culture clash, worker, automobile industry, business, unemployment, auto industry, car factory",1986
45,175000,Other,7137502,She's Gotta Have It,R,8.08.1986 00:00,6.6,5257,Spike Lee,1986,1,39.78572571,3979,FALSE,27995,tt0091939,She's Gotta Have It,She's Gotta Have It,"Comedy, Romance",US,"independent film, lesbian",1986
46,8700000,Other,4865912,Band of the Hand,R,11.04.1986 00:00,6.3,2297,Leo Garen,1986,0,-0.44069977,-40,FALSE,33762,tt0090693,Band of the Hand,Band of the Hand,"Action, Crime, Drama",US,"bikini, gang, drug addict, illegal drugs, survival training",1986
47,12000000,Columbia Pictures Corporation,15945534,Armed and Dangerous,PG-13,15.08.1986 00:00,5.6,9040,Brian Grazer,1986,1,0.3287945,30,FALSE,2620,tt0090660,Armed and Dangerous,Armed and Dangerous,"Action, Comedy, Crime",US,"corruption, ex-cop, private detective, criminal defence lawyer",1986
48,1100000,Other,1436000,Down by Law,R,30.10.1986 00:00,7.8,39456,Jim Jarmusch,1986,1,0.305454545,30,FALSE,1554,tt0090967,Down by Law,Down by Law,"Crime, Drama, Comedy","DE, US","prison, prostitute, pimp, fight, louisiana, independent film, escape, conviction",1986
49,10000000,Other,20603715,F/X,R,7.02.1986 00:00,6.7,14502,Robert T. Megginson,1986,1,1.0603715,110,FALSE,9873,tt0089118,F/X,F/X,"Crime, Thriller, Action",US,"corruption, detective, assassin, showdown, fbi, mission of murder, witness protection, stuntman, police, mafia boss, deception, special effects, gunfight, new york city, violence, car chase, disguise, federal agent, makeup artist, manhunt, justice department",1986
50,18000000,Other,3900000,The Manhattan Project,PG-13,13.06.1986 00:00,6.1,4666,Marshall Brickman,1986,0,-0.783333333,-80,FALSE,30194,tt0091472,The Manhattan Project,The Manhattan Project,"Science Fiction, Thriller",US,"bomb, helicopter, plutonium, laser, heist, fugitive, teenager, scientist, nuclear, science, project",1986
51,25000000,Other,1579260,Solarbabies,PG-13,26.11.1986 00:00,4.8,3397,Walon Green,1986,0,-0.9368296,-90,FALSE,36677,tt0091981,Solarbabies,Solarbabies,Science Fiction,US,"post-apocalyptic, roller-skating, teenager, dystopic future, drought",1986
52,10000000,Touchstone Pictures,21458229,Tough Guys,PG,3.10.1986 00:00,6.2,5584,James Orr,1986,1,1.1458229,110,FALSE,11038,tt0092105,Tough Guys,Tough Guys,"Comedy, Crime",US,"prison, train robbery",1986
53,12000000,Other,7790931,The Best of Times,PG-13,31.01.1986 00:00,5.9,5523,Ron Shelton,1986,0,-0.35075575,-40,FALSE,30653,tt0090713,The Best of Times,The Best of Times,Comedy,US,sport,1986
54,2000000,Other,7369373,Witchboard,R,13.03.1987 00:00,5.7,4744,Kevin Tenney,1986,1,2.6846865,270,FALSE,17994,tt0090327,Witchboard,Witchboard,Horror,"GB, US","ax, possession, psychic power, ouija, ouija board, evil spirit",1987
55,14000000,Touchstone Pictures,62134225,Down and Out in Beverly Hills,R,31.01.1986 00:00,6.1,13569,René Fauchois,1986,1,3.438158929,340,FALSE,9941,tt0090966,Down and Out in Beverly Hills,Down and Out in Beverly Hills,Comedy,US,"homeless person, swimming pool, wealth, dog, family, extramarital affair",1986
56,8500000,Other,277646,Lady Jane,PG-13,7.02.1986 00:00,7.2,5364,Chris Bryant,1986,0,-0.967335765,-100,FALSE,21867,tt0091374,Lady Jane,Lady Jane,"Drama, Romance, History",GB,,1986
57,18000000,Other,1305114,8 Million Ways to Die,R,25.04.1986 00:00,5.7,3607,Lawrence Block,1986,0,-0.927493667,-90,FALSE,20858,tt0090568,8 Million Ways to Die,8 Million Ways to Die,Crime,US,"alcoholic, matt scudder",1986
58,8000000,Other,11834302,Firewalker,PG,21.11.1986 00:00,5.0,4752,Robert Gosnell,1986,1,0.47928775,50,FALSE,12715,tt0091055,Firewalker,Firewalker,"Action, Adventure, Comedy",US,"secret passage, martial arts, gold, treasure, temple, voodoo, wretch, treasure hunt, jungle, human sacrifice, soldier, drinking, central america, disguise, catfight, pretty woman, aztec indian, wisecrack humor, buddy comedy, bar fight, woman in peril, stranded in the desert",1986
59,3300000,Other,4941117,Vamp,R,18.07.1986 00:00,5.9,3909,Donald P. Borchers,1986,1,0.497308182,50,FALSE,34223,tt0092147,Vamp,Vamp,"Comedy, Horror",US,"female nudity, nudity, vampire, strip club, chase, murder, independent film, gore, violence, fraternity, vixen",1986
60,15000000,Warner Bros.,12308521,Club Paradise,PG-13,11.07.1986 00:00,4.9,5049,Harry Shearer,1986,0,-0.179431933,-20,FALSE,26555,tt0090856,Club Paradise,Club Paradise,"Comedy, Drama, Romance",US,tropical island,1986
61,40000000,Universal Pictures,49851591,Legal Eagles,PG,20.06.1986 00:00,5.9,8374,Ivan Reitman,1986,1,0.246289775,20,FALSE,9930,tt0091396,Legal Eagles,Legal Eagles,"Comedy, Crime, Drama, Romance, Thriller",US,"court case, client, lawyer, courtroom",1986
62,13000000,Metro-Goldwyn-Mayer (MGM),8475466,Wise Guys,R,18.04.1986 00:00,5.6,4573,George Gallo,1986,0,-0.348041077,-30,FALSE,31659,tt0092226,Wise Guys,Wise Guys,"Comedy, Crime",US,"mafia, gangster, horse racing",1986
63,17000000,Other,2315683,Shanghai Surprise,PG-13,29.08.1986 00:00,3.1,4339,John Kohn,1986,0,-0.863783353,-90,FALSE,58048,tt0091934,Shanghai Surprise,Shanghai Surprise,Adventure,GB,,1986
64,16000000,Other,3800000,Power,R,31.01.1986 00:00,5.7,2287,David Himmelstein,1986,0,-0.7625,-80,FALSE,46948,tt0091786,Power,Power,Drama,US,"politics, image maker",1986
65,20000000,Other,22905500,Crimes of the Heart,PG-13,23.01.1987 00:00,6.4,3079,Beth Henley,1986,1,0.145275,10,FALSE,48259,tt0090886,Crimes of the Heart,Crimes of the Heart,"Drama, Family",US,"sister sister relationship, reunion",1987
66,6000000,Other,9947631,Murphy's Law,R,18.04.1986 00:00,5.9,3561,Gail Morgan Hickman,1986,1,0.6579385,70,FALSE,33055,tt0091575,Murphy's Law,Murphy's Law,"Action, Mystery, Thriller",US,uzi,1986
67,18000000,Other,11957943,Brighton Beach Memoirs,PG-13,25.12.1986 00:00,6.9,2720,Neil Simon,1986,0,-0.335669833,-30,FALSE,32060,tt0090774,Brighton Beach Memoirs,Brighton Beach Memoirs,"Comedy, Drama, Romance",US,,1986
68,25000000,Other,4007250,Tai-Pan,R,7.11.1986 00:00,5.5,1340,John Briley,1986,0,-0.83971,-80,FALSE,29584,tt0092042,Tai-Pan,Tai-Pan,"Adventure, Drama, History",US,"female nudity, china, interracial relationship, independent film, hong kong, historical event, british colonial",1986
69,14000000,Columbia Pictures Corporation,18034150,"Jo Jo Dancer, Your Life Is Calling",R,2.05.1986 00:00,6.3,1288,Rocco Urbisci,1986,1,0.288153571,30,FALSE,63510,tt0091295,"Jo Jo Dancer, Your Life Is Calling","Jo Jo Dancer, Your Life Is Calling",Drama,US,,1986
70,3401376,Other,3388020,Born American,R,29.08.1986 00:00,4.3,1509,Renny Harlin,1986,0,-0.003926646,0,FALSE,103960,tt0091313,Born American,Born American,"Drama, Action",US,"russia, finland",1986
71,10000000,Paramount Pictures,6947787,Blue City,R,2.05.1986 00:00,4.4,792,Ross Macdonald,1986,0,-0.3052213,-30,FALSE,83078,tt0090753,Blue City,Blue City,"Drama, Action, Thriller, Crime",US,,1986
72,2000000,Other,1301121,Native Son,PG,12.12.1986 00:00,5.9,448,Richard Wesley,1986,0,-0.3494395,-30,FALSE,108312,tt0091613,Native Son,Native Son,Drama,US,"chauffeur, paranoia",1986
73,16000000,Other,30857814,The Princess Bride,PG,9.10.1987 00:00,8.1,320953,William Goldman,1987,1,0.928613375,90,FALSE,2493,tt0093779,The Princess Bride,The Princess Bride,"Adventure, Family, Fantasy, Comedy, Romance",US,"swashbuckler, evil prince, reference to socrates, reference to plato, screwball, impersonation",1987
74,1000000,Other,14564027,Hellraiser,R,18.09.1987 00:00,7.0,83209,Clive Barker,1987,1,13.564027,1360,FALSE,9003,tt0093177,Hellraiser,Hellraiser,Horror,GB,"underworld, seduction, supernatural, pinhead, revenge, undead, demon, puzzle box, attic, cenobites, body horror",1987
75,30000000,Other,46357676,Full Metal Jacket,R,10.07.1987 00:00,8.3,537826,Gustav Hasford,1987,1,0.545255867,50,FALSE,600,tt0093058,Full Metal Jacket,Full Metal Jacket,"Drama, War","GB, US","suicide, prostitute, helicopter, based on novel, journalism, sniper, propaganda, vietnam, recruit, war photographer, war correspondent, war, boot camp, rescue, jungle, infantry, sergeant, racism, violence, genocide, fighting, platoon, combat, discipline, obstacle course, peace sign, u.s. marine, mass grave, blanket party",1987
76,15000000,Other,59735548,Predator,R,12.06.1987 00:00,7.8,313213,Jim Thomas,1987,1,2.982369867,300,FALSE,106,tt0093773,Predator,Predator,"Science Fiction, Action, Adventure, Thriller",US,"central and south america, predator, alien, stalking, invisible, commando, 3d",1987
77,27000000,Other,38122105,The Running Man,R,13.11.1987 00:00,6.6,120345,Stephen King,1987,1,0.411929815,40,FALSE,865,tt0093894,The Running Man,The Running Man,"Action, Science Fiction",US,"prison, chase, hunting human beings, game show, dystopia, dystopic future",1987
78,22700000,Other,38119483,Spaceballs,PG,24.06.1987 00:00,7.1,146748,Mel Brooks,1987,1,0.679272379,70,FALSE,957,tt0094012,Spaceballs,Spaceballs,"Comedy, Science Fiction",US,"android, lasergun, swordplay, temple, space marine, space battle, space travel, space mission, galaxy, comb, altar, magnet beam, jam, speed of light, plastic surgery, password, shield, nose, spoof",1987
79,15000000,Warner Bros.,65207127,Lethal Weapon,R,6.03.1987 00:00,7.6,204328,Shane Black,1987,1,3.3471418,330,FALSE,941,tt0093409,Lethal Weapon,Lethal Weapon,"Adventure, Action, Comedy, Thriller, Crime",US,"self-destruction, los angeles, police detective, ex soldier, buddy cop, lapd, homicide detective, christmas, death of wife, recklessness",1987
80,25000000,Paramount Pictures,76270454,The Untouchables,R,3.06.1987 00:00,7.9,234254,Oscar Fraley,1987,1,2.05081816,210,FALSE,117,tt0094226,The Untouchables,The Untouchables,"Crime, Drama, History, Thriller",US,"white suit, al capone, tough cop, treasury agent, untouchable, tax evasion, jury tampering, rule of law, rooftop chase, cutting face while shaving, 1930s",1987
81,3600000,Other,5923044,Evil Dead II,R,13.03.1987 00:00,7.8,123325,Sam Raimi,1987,1,0.64529,60,FALSE,765,tt0092991,Evil Dead II,Evil Dead II,"Horror, Comedy, Fantasy",US,"deer, blood splatter, tape recorder, chainsaw, spirit, violence, over the top, shot in the arm, book of the dead, evil dead, eyeball, necronomicon, tarmac, meat cleaver, shot through a wall",1987
82,22000000,Other,17336370,Masters of the Universe,PG,7.08.1987 00:00,5.4,30370,David Odell,1987,0,-0.211983182,-20,FALSE,11649,tt0093507,Masters of the Universe,Masters of the Universe,"Action, Fantasy, Science Fiction, Adventure, Thriller",US,"saving the world, hero, key, skeleton, time travel, wretch, supernatural powers, aftercreditsstinger, sword and planet",1987
83,12000000,Other,3769990,The Monster Squad,PG-13,14.08.1987 00:00,7.2,21420,Shane Black,1987,0,-0.685834167,-70,FALSE,13509,tt0093560,The Monster Squad,The Monster Squad,"Horror, Comedy, Action, Fantasy, Science Fiction",US,"mummy, dracula, wolfman, sea monster, frankenstein's monster",1987
84,14000000,Paramount Pictures,156645693,Fatal Attraction,R,18.09.1987 00:00,6.9,60383,James Dearden,1987,1,10.18897807,1019,FALSE,10998,tt0093010,Fatal Attraction,Fatal Attraction,"Romance, Drama, Thriller, Horror, Mystery",US,"sexual obsession, wife husband relationship, deceived wife, marriage crisis, suspense, lawyer, extramarital affair, erotic movie",1987
85,30000000,Other,51185897,The Living Daylights,PG,31.07.1987 00:00,6.7,74272,Richard Maibaum,1987,1,0.706196567,70,FALSE,708,tt0093428,The Living Daylights,The Living Daylights,"Action, Adventure, Thriller","GB, US","london england, smuggling of arms, prison, england, assassination, spy, falsely accused, secret identity, country estate, arms deal, russia, drug traffic, secret mission, secret intelligence service, kgb, villain, renegade, special car, tangier morocco, big wheel, pipeline, cello, orchestra, freedom fighter, czechoslovakia, bratislava, afghanistan, airplane, schloss schönbrunn, escape, moscow, vienna",1987
86,15000000,Twentieth Century Fox Film Corporation,43848100,Wall Street,R,11.12.1987 00:00,7.4,126195,Stanley Weiser,1987,1,1.923206667,190,FALSE,10673,tt0094291,Wall Street,Wall Street,"Crime, Drama",US,"power, fraud, broker, wall street, finances, lawyer, union, millionaire, stock broker",1987
87,35000000,Other,22238696,Empire of the Sun,PG,25.12.1987 00:00,7.8,96566,Tom Stoppard,1987,0,-0.364608686,-40,FALSE,10110,tt0092965,Empire of the Sun,Empire of the Sun,"Drama, History, War",US,"japan, stadium, harmonica, bravery, peasant, pow, japanese occupation, sergeant, photograph, chinese, japanese army, japanese soldier, japanese surrender, footprint, wreath, potato, salt mine, oxen, boy soprano, aircraft explosion, pick axe",1987
88,22000000,Warner Bros.,63766510,The Witches of Eastwick,R,12.06.1987 00:00,6.5,51642,John Updike,1987,1,1.898477727,190,FALSE,6069,tt0094332,The Witches of Eastwick,The Witches of Eastwick,"Fantasy, Horror, Comedy",US,"witch, new england",1987
