,budget,company,director,gross,name,released,star,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,id,imdb_id,original_title,overview,popularity,title,keywords_edited,year_released,budget_norm,popularity_norm
24,6000000,Other,Other,5849647,The Transformers: The Movie,8.08.1986 00:00,Orson Welles,Ron Friedman,1986,0,-0.025058833,0,1857,tt0092106,The Transformers: The Movie,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",6.759181,The Transformers: The Movie,"toy, transformation, based on toy, transformers, robots, intergalactic war",1986,-0.9994785754242631,-0.36381435723619887
25,5000000,TriStar Pictures,Other,591366,Night of the Creeps,22.08.1986 00:00,Jason Lively,Fred Dekker,1986,0,-0.8817268,-90,15762,tt0091630,Night of the Creeps,"In 1959, an alien experiment crashes to earth and infects a fraternity member. They freeze the body, but in the modern day, two geeks pledging a fraternity accidentally thaw the corpse, which proceeds to infect the campus with parasites that transform their hosts into killer zombies.",5.460546,Night of the Creeps,"female nudity, monster, spacecraft, experiment, nudity, brain, ax, police, murder, alien, sorority, gore, morgue, undead, serial killer, decapitation, zombie, corpse, teenager, exploding head, violence, cult film, fraternity, parasite, axe murder, space monster",1986,-1.0409799036173029,-0.7089812876061689
26,6500000,Other,Other,2347000,At Close Range,18.04.1986 00:00,Sean Penn,Elliott Lewitt,1986,0,-0.638923077,-60,13715,tt0090670,At Close Range,"Based upon the true story of Bruce Johnston Sr., his son, and his brothers; together, they constituted one of suburban Philadelphia's most notorious crime families during the 1970's. Their criminal activities ranged from burglary, theft... and ultimately, murder.",10.092348,At Close Range,"rape, 1970s, gun, sociopath, drug",1986,-0.9787279113277433,0.5221151162497935
27,20000000,Paramount Pictures,Other,25314289,Heartburn,25.07.1986 00:00,Meryl Streep,Nora Ephron,1986,1,0.26571445,30,13818,tt0091188,Heartburn,"Rachel is a food writer at a New York magazine who meets Washington columnist Mark at a wedding and ends up falling in love with him despite her reservations about marriage. They buy a house, have a daughter, and Rachel thinks they are living happily ever after until she discovers that Mark is having an affair while she is waddling around with a second pregnancy.",16.071191,Heartburn,"journalist, wife husband relationship, infidelity",1986,-0.4184599807217076,2.1112443831138332
28,15000000,Warner Bros.,Other,1953732,The Clan of the Cave Bear,17.01.1986 00:00,Daryl Hannah,Jean M. Auel,1986,0,-0.8697512,-90,13853,tt0090848,The Clan of the Cave Bear,"Natural changes have the clans moving. Iza, medicine woman of the ""Clan of the Cave Bear"" finds little Ayla from the ""others""' clan - tradition would have the clan kill Ayla immediately, but Iza insists on keeping her. When the little one finds a most needed new cave, she's allowed to stay - and thrive.",10.750748,The Clan of the Cave Bear,"stone age, tribe, cavemen, prehistoric adventure, prehistoric times, neanderthal, prehistoric man",1986,-0.625966621686906,0.6971126382290935
29,12000000,Other,Other,17768900,The Delta Force,14.02.1986 00:00,Chuck Norris,James Bruner,1986,1,0.480741667,50,16113,tt0090927,The Delta Force,A 707 aircraft jetliner on its way from Athens to Rome and then to New York City is hijacked by Lebanese terrorists. The terrorists demand that the pilot take them to Beirut. What the terrorists don't realize is that an elite team of commandoes led by Major McCoy (Norris) and by Colonel Alexander (Marvin) has been called into service to eliminate all terrorists on the jetliner.,7.224683,The Delta Force,"terrorist, airplane hijacking, covert operation",1986,-0.750470606266025,-0.24008760074104685
30,18000000,Paramount Pictures,Ron Howard,36611610,Gung Ho,14.03.1986 00:00,Michael Keaton,Edwin Blum,1986,1,1.033978333,100,13698,tt0091159,Gung Ho,"When a western Pennsylvania auto plant is acquired by a Japanese company, brokering auto worker Hunt Stevenson faces the tricky challenge of mediating the assimilation of two clashing corporate cultures. At one end is the Japanese plant manager and the sycophant who is angling for his position. At the other, a number of disgruntled long-time union members struggle with the new exigencies of Japanese quality control.",6.853782,Gung Ho,"japan, usa, factory worker, factory, culture clash, worker, automobile industry, business, unemployment, auto industry, car factory",1986,-0.5014626371077869,-0.33867015830429764
31,8700000,Other,Other,4865912,Band of the Hand,11.04.1986 00:00,Stephen Lang,Leo Garen,1986,0,-0.44069977,-40,33762,tt0090693,Band of the Hand,An Indian Vietnam veteran trains five street punks in the Everglades to fight vice in Miami.,4.397712,Band of the Hand,"bikini, gang, drug addict, illegal drugs, survival training",1986,-0.887424989303056,-0.9914741738080936
32,12000000,Columbia Pictures Corporation,Other,15945534,Armed and Dangerous,15.08.1986 00:00,John Candy,Brian Grazer,1986,1,0.3287945,30,2620,tt0090660,Armed and Dangerous,"Dooley, a cop wrongly sacked for corruption, teams up with a useless defence lawyer in their new careers... as security guards. When the two are made fall guys for a robbery at a location they are guarding, the pair begin to investigate corruption within the company and their union. They soon make enemies of everyone, but can the unlikely duo save the day?",5.037671,Armed and Dangerous,"corruption, ex-cop, private detective, criminal defence lawyer",1986,-0.750470606266025,-0.8213781240384236
33,1100000,Other,Other,1436000,Down by Law,30.10.1986 00:00,Tom Waits,Jim Jarmusch,1986,1,0.305454545,30,1554,tt0090967,Down by Law,The story of three men from completely different tracks who all meet in a Louisiana prison cell and eventually begin an awkward journey together.,8.843551,Down by Law,"prison, prostitute, pimp, fight, louisiana, independent film, escape, conviction",1986,-1.2028350835701576,0.19019473281239394
34,10000000,Other,Other,20603715,F/X,7.02.1986 00:00,Bryan Brown,Robert T. Megginson,1986,1,1.0603715,110,9873,tt0089118,F/X,"A movies special effects man is hired by a government agency to help stage the assassination of a well known gangster. When the agency double cross him, he uses his special effects to trap the gangster and the corrupt agents.",6.620556,F/X,"corruption, detective, assassin, showdown, fbi, mission of murder, witness protection, stuntman, police, mafia boss, deception, special effects, gunfight, new york city, violence, car chase, disguise, federal agent, makeup artist, manhunt, justice department",1986,-0.8334732626521044,-0.40065978780178285
35,18000000,Other,Other,3900000,The Manhattan Project,13.06.1986 00:00,John Lithgow,Marshall Brickman,1986,0,-0.783333333,-80,30194,tt0091472,The Manhattan Project,"Named after the World War II-era program, the plot revolves around a gifted high school student who decides to construct a nuclear bomb for a national science fair. The film's underlying theme involves the Cold War of the 1980s when government secrecy and mutually assured destruction were key political and military issues.",4.29831,The Manhattan Project,"bomb, helicopter, plutonium, laser, heist, fugitive, teenager, scientist, nuclear, science, project",1986,-0.5014626371077869,-1.0178944406364447
36,25000000,Other,Other,1579260,Solarbabies,26.11.1986 00:00,Richard Jordan,Walon Green,1986,0,-0.9368296,-90,36677,tt0091981,Solarbabies,"In a future in which most water has disappeared from the Earth, we find a group of children, mostly teenagers, who are living at an orphanage, run by the despotic rulers of the new Earth. The group in question plays a hockey based game on roller skates and is quite good. It has given them a unity that transcends the attempts to bring them to heel by the government. Finding an orb of special power, they find it has unusual effects on them. They escape from the orphanage (on skates) and try to cross the wasteland looking for a place they can live free as the storm-troopers search for them and the orb.",1.278665,Solarbabies,"post-apocalyptic, roller-skating, teenager, dystopic future, drought",1986,-0.21095333975650918,-1.8204922417561036
37,10000000,Touchstone Pictures,Other,21458229,Tough Guys,3.10.1986 00:00,Burt Lancaster,James Orr,1986,1,1.1458229,110,11038,tt0092105,Tough Guys,"Harry Doyle (Lancaster) and Archie Lang (Douglas) are two old-time train robbers, who held up a train in 1956 and have been incarcerated for thirty years. After serving their time, they are released from jail and have to adjust to a new life of freedom. Harry and Archie realize that they still have the pizzazz when, picking up their prison checks at a bank, they foil a robbery attempt. Archie, who spent his prison time pumping himself up, easily picks up a 20-year-old aerobics instructor. Harry, on the other hand, has to waste away his days in a nursing home. They both have festering resentments -- Archie for having to endure a humiliating job as a busboy; Harry for having to endure patronizing attitudes toward senior citizens. The two old pals finally go back to what they know best. After successfully robbing an armored car, they decide to rob the same train that they robbed thirty years ago.",2.86084,Tough Guys,"prison, train robbery",1986,-0.8334732626521044,-1.3999626179140638
38,12000000,Other,Other,7790931,The Best of Times,31.01.1986 00:00,Robin Williams,Ron Shelton,1986,0,-0.35075575,-40,30653,tt0090713,The Best of Times,A small-town loser determines to have one more shot at the big time by winning a football game.,5.655712,The Best of Times,sport,1986,-0.750470606266025,-0.6571077056277178
39,2000000,Other,Other,7369373,Witchboard,13.03.1987 00:00,Todd Allen,Kevin Tenney,1986,1,2.6846865,270,17994,tt0090327,Witchboard,"Playing around with a Ouija board, a trio of friends succeeds in contacting the spirit of a young boy. Trouble begins when the evil spirit, Malfeitor, takes over one of their bodies.",8.180575,Witchboard,"ax, possession, psychic power, ouija, ouija board, evil spirit",1987,-1.1654838881964218,0.013980946160285076
40,18000000,Other,Other,1305114,8 Million Ways to Die,25.04.1986 00:00,Jeff Bridges,Lawrence Block,1986,0,-0.927493667,-90,20858,tt0090568,8 Million Ways to Die,"Scudder is a detective with the Sheriff's Department who is forced to shoot a violent suspect during a narcotics raid. The ensuing psychological aftermath of this shooting worsens his drinking problem and this alcoholism causes him to lose his job, as well as his marriage.",9.328747,8 Million Ways to Die,"alcoholic, matt scudder",1986,-0.5014626371077869,0.3191559990248308
41,8000000,Other,Other,11834302,Firewalker,21.11.1986 00:00,Chuck Norris,Robert Gosnell,1986,1,0.47928775,50,12715,tt0091055,Firewalker,A pair of adventurers try to track down an ancient Aztec/Mayan/Egyptian/Apache horde of gold.,3.150899,Firewalker,"secret passage, martial arts, gold, treasure, temple, voodoo, wretch, treasure hunt, jungle, human sacrifice, soldier, drinking, central america, disguise, catfight, pretty woman, aztec indian, wisecrack humor, buddy comedy, bar fight, woman in peril, stranded in the desert",1986,-0.9164759190381838,-1.3228672257090308
42,3300000,Other,Other,4941117,Vamp,18.07.1986 00:00,Chris Makepeace,Donald P. Borchers,1986,1,0.497308182,50,34223,tt0092147,Vamp,Two fraternity pledges go to a sleazy bar looking for strippers to entertain their college friends.,4.119963,Vamp,"female nudity, nudity, vampire, strip club, chase, murder, independent film, gore, violence, fraternity, vixen",1986,-1.1115321615454703,-1.0652976651996924
43,15000000,Warner Bros.,Other,12308521,Club Paradise,11.07.1986 00:00,Robin Williams,Harry Shearer,1986,0,-0.179431933,-20,26555,tt0090856,Club Paradise,"When Chicago firefighter Jack Moniker retires and moves to a small Caribbean island, he is befriended by the owner of a run-down resort. Together they renovate the resort and lure tourists to Club Paradise in an effort to fight off corrupt officials and businessmen who want to claim the resort as their own.",4.079853,Club Paradise,tropical island,1986,-0.625966621686906,-1.075958586534124
44,40000000,Universal Pictures,Other,49851591,Legal Eagles,20.06.1986 00:00,Robert Redford,Ivan Reitman,1986,1,0.246289775,20,9930,tt0091396,Legal Eagles,"District Attorney Tom Logan is set for higher office, at least until he becomes involved with defence lawyer Laura Kelly and her unpredictable client Chelsea Deardon. It seems the least of Chelsea's crimes is the theft of a very valuable painting, but as the women persuade Logan to investigate further and to cut some official corners, a much more sinister scenario starts to emerge.",12.798828,Legal Eagles,"court case, client, lawyer, courtroom",1986,0.41156658313908606,1.2414761327846293
45,13000000,Metro-Goldwyn-Mayer (MGM),Other,8475466,Wise Guys,18.04.1986 00:00,Danny DeVito,George Gallo,1986,0,-0.348041077,-30,31659,tt0092226,Wise Guys,"Harry Valentini and Moe Dickstein are both errand boys for the Mob. When they lose $250,000, they are set up to kill each other. But they run off to Atlantic City and comedy follows.",1.884204,Wise Guys,"mafia, gangster, horse racing",1986,-0.7089692780729854,-1.659544756243006
46,16000000,Other,Other,3800000,Power,31.01.1986 00:00,Richard Gere,David Himmelstein,1986,0,-0.7625,-80,46948,tt0091786,Power,"Pete St. John is a powerful and successful political consultant, with clients spread around the country. When his long-time friend and client Ohio senator Sam Hastings decides to quit politics, he is rapidly drafted to help with the campaign of the man destined to succeed him, unknown and mysterious businessman Jerome Cade...",1.828322,Power,"politics, image maker",1986,-0.5844652934938663,-1.6743977506586307
47,20000000,Other,Other,22905500,Crimes of the Heart,23.01.1987 00:00,Diane Keaton,Beth Henley,1986,1,0.145275,10,48259,tt0090886,Crimes of the Heart,"Three sisters with quite different personalities and lives reunite when the youngest of them, Babe, has just shot her husband. The oldest sister, Lenny, takes care of their grandfather and is turning into an old maid, while Meg, who tries to make it in Hollywood as a singer/actress, has had a wild life filled with many men. Their reunion causes much joy, but also many tensions.",2.524937,Crimes of the Heart,"sister sister relationship, reunion",1987,-0.4184599807217076,-1.4892429833840104
48,6000000,Other,Other,9947631,Murphy's Law,18.04.1986 00:00,Charles Bronson,Gail Morgan Hickman,1986,1,0.6579385,70,33055,tt0091575,Murphy's Law,A tough police detective escapes from custody handcuffed to a foul-mouthed car thief after being framed for the murder of his ex-wife. He must now find the real killer and prove his innocence.,2.722264,Murphy's Law,uzi,1986,-0.9994785754242631,-1.436795024666499
49,25000000,Other,Other,4007250,Tai-Pan,7.11.1986 00:00,Bryan Brown,John Briley,1986,0,-0.83971,-80,29584,tt0092042,Tai-Pan,"The film begins following the British victory of the first Opium War and the seizure of Hong Kong. Although the island is largely uninhabited and the terrain unfriendly, it has a large port that both the British government and various trading companies believe will be useful for the import of merchandise to be traded on mainland China, a highly lucrative market.",2.456811,Tai-Pan,"female nudity, china, interracial relationship, independent film, hong kong, historical event, british colonial",1986,-0.21095333975650918,-1.5073503363341345
50,16000000,Other,Rob Reiner,30857814,The Princess Bride,9.10.1987 00:00,Cary Elwes,William Goldman,1987,1,0.928613375,90,2493,tt0093779,The Princess Bride,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",15.15267,The Princess Bride,"swashbuckler, evil prince, reference to socrates, reference to plato, screwball, impersonation",1987,-0.5844652934938663,1.8671087529711414
51,30000000,Other,Other,46357676,Full Metal Jacket,10.07.1987 00:00,Matthew Modine,Gustav Hasford,1987,1,0.545255867,50,600,tt0093058,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,13.94148,Full Metal Jacket,"suicide, prostitute, helicopter, based on novel, journalism, sniper, propaganda, vietnam, recruit, war photographer, war correspondent, war, boot camp, rescue, jungle, infantry, sergeant, racism, violence, genocide, fighting, platoon, combat, discipline, obstacle course, peace sign, u.s. marine, mass grave, blanket party",1987,-0.003446698791310757,1.5451840132291785
52,15000000,Other,Other,59735548,Predator,12.06.1987 00:00,Arnold Schwarzenegger,Jim Thomas,1987,1,2.982369867,300,106,tt0093773,Predator,"Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time.",18.495694,Predator,"central and south america, predator, alien, stalking, invisible, commando, 3d",1987,-0.625966621686906,2.755658139236827
53,27000000,Other,Other,38122105,The Running Man,13.11.1987 00:00,Arnold Schwarzenegger,Stephen King,1987,1,0.411929815,40,865,tt0093894,The Running Man,"By 2017, the global economy has collapsed and American society has become a totalitarian police state, censoring all cultural activity. The government pacifies the populace by broadcasting a number of game shows in which convicted criminals fight for their lives, including the gladiator-style The Running Man, hosted by the ruthless Damon Killian, where “runners” attempt to evade “stalkers” and certain death for a chance to be pardoned and set free.",9.389976,The Running Man,"prison, chase, hunting human beings, game show, dystopia, dystopic future",1987,-0.1279506833704298,0.3354301838262748
