,budget,company,country,director,genre,gross,name,rating,released,star,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released,budget_norm
17,10000000,Other,USA,Other,Comedy,37499651,The Money Pit,PG,26.03.1986 00:00,Tom Hanks,David Giler,1986,1,2.7499651,270,FALSE,10466,tt0091541,The Money Pit,"After being evicted from their Manhattan apartment, a couple buys what looks like the home of their dreams – only to find themselves saddled with a bank-account-draining nightmare. Struggling to keep their relationship together as their rambling mansion falls to pieces around them, the two watch in hilarious horror as everything – including the kitchen sink – disappears into the 'Money Pit'.",For everyone who's ever been deeply in Love or deeply in debt.,The Money Pit,"Comedy, Romance",en,US,"rock star, price, chaos, house, home ownership",1986,-0.8818167698544563
18,25000000,Other,USA,Other,Adventure,14302779,The Mosquito Coast,PG,26.11.1986 00:00,Harrison Ford,Paul Theroux,1986,0,-0.42788884,-40,FALSE,11120,tt0091557,The Mosquito Coast,"Allie Fox, an American inventor exhausted by the perceived danger and degradation of modern society, decides to escape with his wife and children to Belize. In the jungle, he tries with mad determination to create a utopian community with disastrous results.",He went too far.,The Mosquito Coast,"Adventure, Drama",en,US,"paradise, living together, power, governance, exit, idealism, honduras, idealist, nature, emigrant",1986,-0.2538199324132523
19,10000000,Other,USA,Other,Action,4711220,King Kong Lives,PG-13,19.12.1986 00:00,Brian Kerwin,Ronald Shusett,1986,0,-0.528878,-50,FALSE,31947,tt0091344,King Kong Lives,Kong falls from the twin towers and he appears to be alive!,America's biggest hero is back... and he is not happy.,King Kong Lives,"Action, Horror",en,US,"king kong, giant ape",1986,-0.8818167698544563
20,4500000,Other,USA,Other,Horror,1261000,From Beyond,R,24.10.1986 00:00,Jeffrey Combs,H.P. Lovecraft,1986,0,-0.719777778,-70,FALSE,14510,tt0091083,From Beyond,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms.",Humans are such easy prey.,From Beyond,"Horror, Science Fiction, Fantasy",en,US,"human experimentation, h.p. lovecraft, parallel world",1986,-1.112082276916231
21,18000000,TriStar Pictures,USA,Other,Comedy,41382841,Peggy Sue Got Married,PG-13,10.10.1986 00:00,Kathleen Turner,Jerry Leichtling,1986,1,1.299046722,130,FALSE,10013,tt0091738,Peggy Sue Got Married,"Peggy Sue faints at a Highschool reunion. When she wakes up she finds herself in her own past, just before she finished school.","Knowing what you know now, what would you do differently?",Peggy Sue Got Married,"Comedy, Drama, Fantasy, Romance",en,US,"time travel, high school reunion",1986,-0.5468851232191475
22,19000000,Other,USA,Other,Horror,40996665,Poltergeist II: The Other Side,PG-13,23.05.1986 00:00,JoBeth Williams,Mark Victor,1986,1,1.157719211,120,FALSE,11133,tt0091778,Poltergeist II: The Other Side,"The Freeling family move in with Diane's mother in an effort to escape the trauma and aftermath of Carol Anne's abduction by the Beast. But the Beast is not to be put off so easily and appears in a ghostly apparition as the Reverend Kane, a religeous zealot responsible for the deaths of his many followers. His goal is simple - he wants the angelic Carol Anne.",They're back.,Poltergeist II: The Other Side,"Horror, Thriller",en,US,"monster, poltergeist, supernatural powers, family secrets",1986,-0.5050186673897339
23,18000000,Other,USA,Other,Adventure,9697739,SpaceCamp,PG,6.06.1986 00:00,Kate Capshaw,Clifford Green,1986,0,-0.461236722,-50,FALSE,13766,tt0091993,SpaceCamp,"Andie Bergstrom, an astronaut eagerly awaiting her first trip to space, runs a summer camp for teenagers with her NASA-employed husband, Zach. One night during an engine test, Andie and four teenage campers are accidentally shot into space. Together, the group -- which includes Kathryn, a pilot-in-training, and Tish, a ditz with a perfect memory -- must work together to operate the spacecraft and return home.",The stars belong to a new generation.,SpaceCamp,"Family, Adventure",en,US,"space, astronaut, space shuttle, trapped in space, space camp",1986,-0.5468851232191475
24,14000000,Walt Disney Pictures,USA,Other,Animation,38600000,The Great Mouse Detective,G,2.07.1986 00:00,Vincent Price,Peter Young,1986,1,1.757142857,180,FALSE,9994,tt0091149,The Great Mouse Detective,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",London's crime-fighting ace on his most baffling case!,The Great Mouse Detective,"Comedy, Animation, Family",en,US,"london england, detective, queen, sherlock holmes, cartoon mouse",1986,-0.7143509465368019
25,6000000,Other,USA,Other,Animation,5849647,The Transformers: The Movie,PG,8.08.1986 00:00,Orson Welles,Ron Friedman,1986,0,-0.025058833,0,FALSE,1857,tt0092106,The Transformers: The Movie,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",Beyond good. Beyond evil. Beyond your wildest imagination.,The Transformers: The Movie,Animation,"en, ja",US,"toy, transformation, based on toy, transformers, robots, intergalactic war",1986,-1.0492825931721106
26,5000000,TriStar Pictures,USA,Other,Comedy,591366,Night of the Creeps,R,22.08.1986 00:00,Jason Lively,Fred Dekker,1986,0,-0.8817268,-90,FALSE,15762,tt0091630,Night of the Creeps,"In 1959, an alien experiment crashes to earth and infects a fraternity member. They freeze the body, but in the modern day, two geeks pledging a fraternity accidentally thaw the corpse, which proceeds to infect the campus with parasites that transform their hosts into killer zombies.",The good news is your date is here.  The bad news is.. he's dead.,Night of the Creeps,"Comedy, Horror, Science Fiction",en,US,"female nudity, monster, spacecraft, experiment, nudity, brain, ax, police, murder, alien, sorority, gore, morgue, undead, serial killer, decapitation, zombie, corpse, teenager, exploding head, violence, cult film, fraternity, parasite, axe murder, space monster",1986,-1.0911490490015243
27,6500000,Other,USA,Other,Crime,2347000,At Close Range,R,18.04.1986 00:00,Sean Penn,Elliott Lewitt,1986,0,-0.638923077,-60,FALSE,13715,tt0090670,At Close Range,"Based upon the true story of Bruce Johnston Sr., his son, and his brothers; together, they constituted one of suburban Philadelphia's most notorious crime families during the 1970's. Their criminal activities ranged from burglary, theft... and ultimately, murder.",Like father. Like son. Like hell.,At Close Range,"Crime, Drama",en,US,"rape, 1970s, gun, sociopath, drug",1986,-1.0283493652574038
28,15000000,Warner Bros.,USA,Other,Adventure,1953732,The Clan of the Cave Bear,R,17.01.1986 00:00,Daryl Hannah,Jean M. Auel,1986,0,-0.8697512,-90,FALSE,13853,tt0090848,The Clan of the Cave Bear,"Natural changes have the clans moving. Iza, medicine woman of the ""Clan of the Cave Bear"" finds little Ayla from the ""others""' clan - tradition would have the clan kill Ayla immediately, but Iza insists on keeping her. When the little one finds a most needed new cave, she's allowed to stay - and thrive.","At The Dawn Of Mankind, A Woman Led The Way.",The Clan of the Cave Bear,"Adventure, Drama",en,US,"stone age, tribe, cavemen, prehistoric adventure, prehistoric times, neanderthal, prehistoric man",1986,-0.6724844907073882
29,12000000,Other,USA,Other,Action,17768900,The Delta Force,R,14.02.1986 00:00,Chuck Norris,James Bruner,1986,1,0.480741667,50,FALSE,16113,tt0090927,The Delta Force,A 707 aircraft jetliner on its way from Athens to Rome and then to New York City is hijacked by Lebanese terrorists. The terrorists demand that the pilot take them to Beirut. What the terrorists don't realize is that an elite team of commandoes led by Major McCoy (Norris) and by Colonel Alexander (Marvin) has been called into service to eliminate all terrorists on the jetliner.,They don't negotiate with terrorists... they blow them away!,The Delta Force,"Action, Thriller","ar, en, el, he","IL, US","terrorist, airplane hijacking, covert operation",1986,-0.7980838581956291
30,18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,14.03.1986 00:00,Michael Keaton,Edwin Blum,1986,1,1.033978333,100,FALSE,13698,tt0091159,Gung Ho,"When a western Pennsylvania auto plant is acquired by a Japanese company, brokering auto worker Hunt Stevenson faces the tricky challenge of mediating the assimilation of two clashing corporate cultures. At one end is the Japanese plant manager and the sycophant who is angling for his position. At the other, a number of disgruntled long-time union members struggle with the new exigencies of Japanese quality control.","When East meets West, the laughs shift into high gear!",Gung Ho,"Comedy, Drama",en,US,"japan, usa, factory worker, factory, culture clash, worker, automobile industry, business, unemployment, auto industry, car factory",1986,-0.5468851232191475
31,8700000,Other,USA,Other,Action,4865912,Band of the Hand,R,11.04.1986 00:00,Stephen Lang,Leo Garen,1986,0,-0.44069977,-40,FALSE,33762,tt0090693,Band of the Hand,An Indian Vietnam veteran trains five street punks in the Everglades to fight vice in Miami.,"They're back on the mean streets. But this time, they're the good guys.",Band of the Hand,"Action, Crime, Drama",en,US,"bikini, gang, drug addict, illegal drugs, survival training",1986,-0.936243162432694
32,12000000,Columbia Pictures Corporation,USA,Other,Action,15945534,Armed and Dangerous,PG-13,15.08.1986 00:00,John Candy,Brian Grazer,1986,1,0.3287945,30,FALSE,2620,tt0090660,Armed and Dangerous,"Dooley, a cop wrongly sacked for corruption, teams up with a useless defence lawyer in their new careers... as security guards. When the two are made fall guys for a robbery at a location they are guarding, the pair begin to investigate corruption within the company and their union. They soon make enemies of everyone, but can the unlikely duo save the day?",Undercover. Overdressed. And keeping you safe from the scum of the earth,Armed and Dangerous,"Action, Comedy, Crime",en,US,"corruption, ex-cop, private detective, criminal defence lawyer",1986,-0.7980838581956291
33,1100000,Other,USA,Other,Comedy,1436000,Down by Law,R,30.10.1986 00:00,Tom Waits,Jim Jarmusch,1986,1,0.305454545,30,FALSE,1554,tt0090967,Down by Law,The story of three men from completely different tracks who all meet in a Louisiana prison cell and eventually begin an awkward journey together.,It's not where you start - It's where you start again.,Down by Law,"Crime, Drama, Comedy","en, it","DE, US","prison, prostitute, pimp, fight, louisiana, independent film, escape, conviction",1986,-1.2544282267362372
34,10000000,Other,USA,Other,Action,20603715,F/X,R,7.02.1986 00:00,Bryan Brown,Robert T. Megginson,1986,1,1.0603715,110,FALSE,9873,tt0089118,F/X,"A movies special effects man is hired by a government agency to help stage the assassination of a well known gangster. When the agency double cross him, he uses his special effects to trap the gangster and the corrupt agents.",Murder by Illusion,F/X,"Crime, Thriller, Action",en,US,"corruption, detective, assassin, showdown, fbi, mission of murder, witness protection, stuntman, police, mafia boss, deception, special effects, gunfight, new york city, violence, car chase, disguise, federal agent, makeup artist, manhunt, justice department",1986,-0.8818167698544563
35,18000000,Other,USA,Other,Sci-Fi,3900000,The Manhattan Project,PG-13,13.06.1986 00:00,John Lithgow,Marshall Brickman,1986,0,-0.783333333,-80,FALSE,30194,tt0091472,The Manhattan Project,"Named after the World War II-era program, the plot revolves around a gifted high school student who decides to construct a nuclear bomb for a national science fair. The film's underlying theme involves the Cold War of the 1980s when government secrecy and mutually assured destruction were key political and military issues.",Paul Stevens' high school science project has gotten a little out of hand. He just built an atomic bomb. Now he's got 11 hours to make sure it doesn't work.,The Manhattan Project,"Science Fiction, Thriller",en,US,"bomb, helicopter, plutonium, laser, heist, fugitive, teenager, scientist, nuclear, science, project",1986,-0.5468851232191475
36,25000000,Other,USA,Other,Action,1579260,Solarbabies,PG-13,26.11.1986 00:00,Richard Jordan,Walon Green,1986,0,-0.9368296,-90,FALSE,36677,tt0091981,Solarbabies,"In a future in which most water has disappeared from the Earth, we find a group of children, mostly teenagers, who are living at an orphanage, run by the despotic rulers of the new Earth. The group in question plays a hockey based game on roller skates and is quite good. It has given them a unity that transcends the attempts to bring them to heel by the government. Finding an orb of special power, they find it has unusual effects on them. They escape from the orphanage (on skates) and try to cross the wasteland looking for a place they can live free as the storm-troopers search for them and the orb.",Who will rule the future?,Solarbabies,Science Fiction,en,US,"post-apocalyptic, roller-skating, teenager, dystopic future, drought",1986,-0.2538199324132523
37,10000000,Touchstone Pictures,USA,Other,Comedy,21458229,Tough Guys,PG,3.10.1986 00:00,Burt Lancaster,James Orr,1986,1,1.1458229,110,FALSE,11038,tt0092105,Tough Guys,"Harry Doyle (Lancaster) and Archie Lang (Douglas) are two old-time train robbers, who held up a train in 1956 and have been incarcerated for thirty years. After serving their time, they are released from jail and have to adjust to a new life of freedom. Harry and Archie realize that they still have the pizzazz when, picking up their prison checks at a bank, they foil a robbery attempt. Archie, who spent his prison time pumping himself up, easily picks up a 20-year-old aerobics instructor. Harry, on the other hand, has to waste away his days in a nursing home. They both have festering resentments -- Archie for having to endure a humiliating job as a busboy; Harry for having to endure patronizing attitudes toward senior citizens. The two old pals finally go back to what they know best. After successfully robbing an armored car, they decide to rob the same train that they robbed thirty years ago.",They're Out To Teach A New World Some Old Tricks.,Tough Guys,"Comedy, Crime",en,US,"prison, train robbery",1986,-0.8818167698544563
38,12000000,Other,USA,Other,Comedy,7790931,The Best of Times,PG-13,31.01.1986 00:00,Robin Williams,Ron Shelton,1986,0,-0.35075575,-40,FALSE,30653,tt0090713,The Best of Times,A small-town loser determines to have one more shot at the big time by winning a football game.,"A comedy about life, hope, and getting even.",The Best of Times,Comedy,"en, de",US,sport,1986,-0.7980838581956291
39,2000000,Other,Other,Other,Horror,7369373,Witchboard,R,13.03.1987 00:00,Todd Allen,Kevin Tenney,1986,1,2.6846865,270,FALSE,17994,tt0090327,Witchboard,"Playing around with a Ouija board, a trio of friends succeeds in contacting the spirit of a young boy. Trouble begins when the evil spirit, Malfeitor, takes over one of their bodies.",It's more than just a game.,Witchboard,Horror,de,"GB, US","ax, possession, psychic power, ouija, ouija board, evil spirit",1987,-1.216748416489765
40,14000000,Touchstone Pictures,USA,Other,Comedy,62134225,Down and Out in Beverly Hills,R,31.01.1986 00:00,Nick Nolte,René Fauchois,1986,1,3.438158929,340,FALSE,9941,tt0090966,Down and Out in Beverly Hills,"Beverly Hills couple Barbara and Dave Whiteman are very rich but not happy Dave is a hard working business man, his wife is only interested in yoga, aerobics and other meditation classes, and he sleeps with the house maid. Their teenage son is confused about his sexuality and their daughter is suffering from eating disorders. While they are celebrating thanksgiving having plenty of food, street tramp Jerry is hungry, homeless, sleeping rough and has lost his dog. Jerry decides to end his life by drowning himself in their swimming pool. Dave rescues him and invites him to stay for a while. How does this stranger change the life style of this family?",See what happens when a dirty bum meets the filthy rich.,Down and Out in Beverly Hills,Comedy,"en, es",US,"homeless person, swimming pool, wealth, dog, family, extramarital affair",1986,-0.7143509465368019
41,18000000,Other,USA,Other,Action,1305114,8 Million Ways to Die,R,25.04.1986 00:00,Jeff Bridges,Lawrence Block,1986,0,-0.927493667,-90,FALSE,20858,tt0090568,8 Million Ways to Die,"Scudder is a detective with the Sheriff's Department who is forced to shoot a violent suspect during a narcotics raid. The ensuing psychological aftermath of this shooting worsens his drinking problem and this alcoholism causes him to lose his job, as well as his marriage.",Death comes to all except those who deserve it most.,8 Million Ways to Die,Crime,"en, de, es",US,"alcoholic, matt scudder",1986,-0.5468851232191475
42,8000000,Other,USA,Other,Action,11834302,Firewalker,PG,21.11.1986 00:00,Chuck Norris,Robert Gosnell,1986,1,0.47928775,50,FALSE,12715,tt0091055,Firewalker,A pair of adventurers try to track down an ancient Aztec/Mayan/Egyptian/Apache horde of gold.,A pair of down-and-out fortune hunters cash in on high adventure!,Firewalker,"Action, Adventure, Comedy","hu, en",US,"secret passage, martial arts, gold, treasure, temple, voodoo, wretch, treasure hunt, jungle, human sacrifice, soldier, drinking, central america, disguise, catfight, pretty woman, aztec indian, wisecrack humor, buddy comedy, bar fight, woman in peril, stranded in the desert",1986,-0.9655496815132835
43,3300000,Other,USA,Other,Comedy,4941117,Vamp,R,18.07.1986 00:00,Chris Makepeace,Donald P. Borchers,1986,1,0.497308182,50,FALSE,34223,tt0092147,Vamp,Two fraternity pledges go to a sleazy bar looking for strippers to entertain their college friends.,A Frightening Comedy,Vamp,"Comedy, Horror",en,US,"female nudity, nudity, vampire, strip club, chase, murder, independent film, gore, violence, fraternity, vixen",1986,-1.1623220239115275
44,15000000,Warner Bros.,USA,Other,Comedy,12308521,Club Paradise,PG-13,11.07.1986 00:00,Robin Williams,Harry Shearer,1986,0,-0.179431933,-20,FALSE,26555,tt0090856,Club Paradise,"When Chicago firefighter Jack Moniker retires and moves to a small Caribbean island, he is befriended by the owner of a run-down resort. Together they renovate the resort and lure tourists to Club Paradise in an effort to fight off corrupt officials and businessmen who want to claim the resort as their own.",The vacation you'll never forget - no matter how hard you try.,Club Paradise,"Comedy, Drama, Romance",en,US,tropical island,1986,-0.6724844907073882
45,40000000,Universal Pictures,USA,Other,Comedy,49851591,Legal Eagles,PG,20.06.1986 00:00,Robert Redford,Ivan Reitman,1986,1,0.246289775,20,FALSE,9930,tt0091396,Legal Eagles,"District Attorney Tom Logan is set for higher office, at least until he becomes involved with defence lawyer Laura Kelly and her unpredictable client Chelsea Deardon. It seems the least of Chelsea's crimes is the theft of a very valuable painting, but as the women persuade Logan to investigate further and to cut some official corners, a much more sinister scenario starts to emerge.",Tom Logan has a law partner who put a dog on the witness stand. A client who can't enter a room without a crime being committed. And a case that could turn out to be the murder of the year. His.,Legal Eagles,"Comedy, Crime, Drama, Romance, Thriller",en,US,"court case, client, lawyer, courtroom",1986,0.3741769050279517
