,budget,company,country,director,genre,gross,name,released,runtime,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,id,imdb_id,original_title,popularity,tagline,title,genres_edited,production_countries_edited,year_released,budget_norm,runtime_norm,votes_norm,popularity_norm
25,6000000,Other,USA,Other,Animation,5849647,The Transformers: The Movie,8.08.1986 00:00,84,33609,Ron Friedman,1986,0,-0.025058833,0,1857,tt0092106,The Transformers: The Movie,6.759181,Beyond good. Beyond evil. Beyond your wildest imagination.,The Transformers: The Movie,Animation,US,1986,-1.015991571541705,-1.4810508798873183,-0.40330505108831616,-0.34351550324193963
26,5000000,TriStar Pictures,USA,Other,Comedy,591366,Night of the Creeps,22.08.1986 00:00,88,16077,Fred Dekker,1986,0,-0.8817268,-90,15762,tt0091630,Night of the Creeps,5.460546,The good news is your date is here.  The bad news is.. he's dead.,Night of the Creeps,"Comedy, Horror, Science Fiction",US,1986,-1.0587993231036128,-1.1970009251849423,-0.6942235041411047,-0.706866581494062
27,6500000,Other,USA,Other,Crime,2347000,At Close Range,18.04.1986 00:00,111,11607,Elliott Lewitt,1986,0,-0.638923077,-60,13715,tt0090670,At Close Range,10.092348,Like father. Like son. Like hell.,At Close Range,"Crime, Drama",US,1986,-0.9945876957607509,0.4362863143537197,-0.7683967579139751,0.589086670151194
28,15000000,Warner Bros.,USA,Other,Adventure,1953732,The Clan of the Cave Bear,17.01.1986 00:00,98,5340,Jean M. Auel,1986,0,-0.8697512,-90,13853,tt0090848,The Clan of the Cave Bear,10.750748,"At The Dawn Of Mankind, A Woman Led The Way.",The Clan of the Cave Bear,"Adventure, Drama",US,1986,-0.6307218074845337,-0.48687603842900234,-0.8723886553176841,0.7733034438568137
29,12000000,Other,USA,Other,Action,17768900,The Delta Force,14.02.1986 00:00,125,15819,James Bruner,1986,1,0.480741667,50,16113,tt0090927,The Delta Force,7.224683,They don't negotiate with terrorists... they blow them away!,The Delta Force,"Action, Thriller","IL, US",1986,-0.7591450621702575,1.4304611558120357,-0.6985046449628945,-0.2132705509431648
30,18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,14.03.1986 00:00,112,9965,Edwin Blum,1986,1,1.033978333,100,13698,tt0091159,Gung Ho,6.853782,"When East meets West, the laughs shift into high gear!",Gung Ho,"Comedy, Drama",US,1986,-0.50229855279881,0.5072988030293136,-0.7956433983379244,-0.31704665298476264
31,8700000,Other,USA,Other,Action,4865912,Band of the Hand,11.04.1986 00:00,109,2297,Leo Garen,1986,0,-0.44069977,-40,33762,tt0090693,Band of the Hand,4.397712,"They're back on the mean streets. But this time, they're the good guys.",Band of the Hand,"Action, Crime, Drama",US,1986,-0.9004106423245535,0.29426133700253165,-0.9228828860180968,-1.004241810024801
32,12000000,Columbia Pictures Corporation,USA,Other,Action,15945534,Armed and Dangerous,15.08.1986 00:00,88,9040,Brian Grazer,1986,1,0.3287945,30,2620,tt0090660,Armed and Dangerous,5.037671,Undercover. Overdressed. And keeping you safe from the scum of the earth,Armed and Dangerous,"Action, Comedy, Crime",US,1986,-0.7591450621702575,-1.1970009251849423,-0.8109924497338764,-0.8251847287916987
33,1100000,Other,USA,Other,Comedy,1436000,Down by Law,30.10.1986 00:00,107,39456,Jim Jarmusch,1986,1,0.305454545,30,1554,tt0090967,Down by Law,8.843551,It's not where you start - It's where you start again.,Down by Law,"Crime, Drama, Comedy","DE, US",1986,-1.2257495541950536,0.15223635965134366,-0.30628245269682325,0.23967999586009936
34,10000000,Other,USA,Other,Action,20603715,F/X,7.02.1986 00:00,109,14502,Robert T. Megginson,1986,1,1.0603715,110,9873,tt0089118,F/X,6.620556,Murder by Illusion,F/X,"Crime, Thriller, Action",US,1986,-0.8447605652940733,0.29426133700253165,-0.7203583754369147,-0.3823020315756905
35,18000000,Other,USA,Other,Sci-Fi,3900000,The Manhattan Project,13.06.1986 00:00,117,4666,Marshall Brickman,1986,0,-0.783333333,-80,30194,tt0091472,The Manhattan Project,4.29831,Paul Stevens' high school science project has gotten a little out of hand. He just built an atomic bomb. Now he's got 11 hours to make sure it doesn't work.,The Manhattan Project,"Science Fiction, Thriller",US,1986,-0.50229855279881,0.8623612464072836,-0.8835727208753832,-1.0320539542226839
36,25000000,Other,USA,Other,Action,1579260,Solarbabies,26.11.1986 00:00,94,3397,Walon Green,1986,0,-0.9368296,-90,36677,tt0091981,Solarbabies,1.278665,Who will rule the future?,Solarbabies,Science Fiction,US,1986,-0.20264429186545455,-0.7709259931313783,-0.9046299600337215,-1.8769343607176807
37,10000000,Touchstone Pictures,USA,Other,Comedy,21458229,Tough Guys,3.10.1986 00:00,104,5584,James Orr,1986,1,1.1458229,110,11038,tt0092105,Tough Guys,2.86084,They're Out To Teach A New World Some Old Tricks.,Tough Guys,"Comedy, Crime",US,1986,-0.8447605652940733,-0.06080110637543835,-0.8683398244629681,-1.4342503176774484
38,12000000,Other,USA,Other,Comedy,7790931,The Best of Times,31.01.1986 00:00,104,5523,Ron Shelton,1986,0,-0.35075575,-40,30653,tt0090713,The Best of Times,5.655712,"A comedy about life, hope, and getting even.",The Best of Times,Comedy,US,1986,-0.7591450621702575,-0.06080110637543835,-0.8693520321766471,-0.6522601859031887
39,2000000,Other,Other,Other,Horror,7369373,Witchboard,13.03.1987 00:00,98,4744,Kevin Tenney,1986,1,2.6846865,270,17994,tt0090327,Witchboard,8.180575,It's more than just a game.,Witchboard,Horror,"GB, US",1987,-1.1872225777893366,-0.48687603842900234,-0.8822784224874002,0.054182882001871845
40,18000000,Other,USA,Other,Action,1305114,8 Million Ways to Die,25.04.1986 00:00,115,3607,Lawrence Block,1986,0,-0.927493667,-90,20858,tt0090568,8 Million Ways to Die,9.328747,Death comes to all except those who deserve it most.,8 Million Ways to Die,Crime,US,1986,-0.50229855279881,0.7203362690560957,-0.9011453105276135,0.3754352232824443
41,8000000,Other,USA,Other,Action,11834302,Firewalker,21.11.1986 00:00,104,4752,Robert Gosnell,1986,1,0.47928775,50,12715,tt0091055,Firewalker,3.150899,A pair of down-and-out fortune hunters cash in on high adventure!,Firewalker,"Action, Adventure, Comedy",US,1986,-0.9303760684178891,-0.06080110637543835,-0.8821456739347865,-1.3530933718021778
42,3300000,Other,USA,Other,Comedy,4941117,Vamp,18.07.1986 00:00,93,3909,Donald P. Borchers,1986,1,0.497308182,50,34223,tt0092147,Vamp,4.119963,A Frightening Comedy,Vamp,"Comedy, Horror",US,1986,-1.1315725007588562,-0.8419384818069724,-0.8961340526664486,-1.0819544842045734
43,15000000,Warner Bros.,USA,Other,Comedy,12308521,Club Paradise,11.07.1986 00:00,96,5049,Harry Shearer,1986,0,-0.179431933,-20,26555,tt0090856,Club Paradise,4.079853,The vacation you'll never forget - no matter how hard you try.,Club Paradise,"Comedy, Drama, Romance",US,1986,-0.6307218074845337,-0.6289010157801903,-0.8772173839190052,-1.0931770461628547
44,40000000,Universal Pictures,USA,Other,Comedy,49851591,Legal Eagles,20.06.1986 00:00,116,8374,Ivan Reitman,1986,1,0.246289775,20,9930,tt0091396,Legal Eagles,12.798828,Tom Logan has a law partner who put a dog on the witness stand. A client who can't enter a room without a crime being committed. And a case that could turn out to be the murder of the year. His.,Legal Eagles,"Comedy, Crime, Drama, Romance, Thriller",US,1986,0.43947198156316414,0.7913487577316897,-0.8220437667389617,1.3463451964251698
45,13000000,Metro-Goldwyn-Mayer (MGM),USA,Other,Comedy,8475466,Wise Guys,18.04.1986 00:00,100,4573,George Gallo,1986,0,-0.348041077,-30,31659,tt0092226,Wise Guys,1.884204,"What kind of guys gamble with the boss's money, swipe a killer's Cadillac, and party on the mob's credit card?",Wise Guys,"Comedy, Crime",US,1986,-0.7163373106083495,-0.3448510610778144,-0.8851159227995167,-1.707507810090513
46,17000000,Other,Other,Other,Adventure,2315683,Shanghai Surprise,29.08.1986 00:00,97,4339,John Kohn,1986,0,-0.863783353,-90,58048,tt0091934,Shanghai Surprise,1.408849,A romantic adventure for the dangerous at heart.,Shanghai Surprise,Adventure,GB,1986,-0.5451063043607178,-0.5578885271045964,-0.8889988179634656,-1.8405095787187555
47,16000000,Other,USA,Other,Drama,3800000,Power,31.01.1986 00:00,111,2287,David Himmelstein,1986,0,-0.7625,-80,46948,tt0091786,Power,1.828322,More seductive than sex... More addictive than any drug... More precious than gold. And one man can get it for you. For a price.,Power,Drama,US,1986,-0.5879140559226258,0.4362863143537197,-0.9230488217088638,-1.7231432926971615
48,20000000,Other,USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,23.01.1987 00:00,105,3079,Beth Henley,1986,1,0.145275,10,48259,tt0090886,Crimes of the Heart,2.524937,Meg just left one. Lenny never had one. Babe just shot one. The MaGrath sisters sure have a way with men,Crimes of the Heart,"Drama, Family",US,1987,-0.4166830496749941,0.010211382300155654,-0.9099067150001137,-1.5282341678263531
49,6000000,Other,USA,Other,Action,9947631,Murphy's Law,18.04.1986 00:00,100,3561,Gail Morgan Hickman,1986,1,0.6579385,70,33055,tt0091575,Murphy's Law,2.722264,"He's a cop, She's a thief, together they're running for their lives",Murphy's Law,"Action, Mystery, Thriller",US,1986,-1.015991571541705,-0.3448510610778144,-0.9019086147051419,-1.4730231360751247
50,25000000,Other,USA,Other,Adventure,4007250,Tai-Pan,7.11.1986 00:00,127,1340,John Briley,1986,0,-0.83971,-80,29584,tt0092042,Tai-Pan,2.456811,Smuggler. Prince. Murderer. Father. Sinner. Saint.,Tai-Pan,"Adventure, Drama, History",US,1986,-0.20264429186545455,1.5724861331632236,-0.9387629316245033,-1.5472954556839915
51,14000000,Columbia Pictures Corporation,USA,Other,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",2.05.1986 00:00,97,1288,Rocco Urbisci,1986,1,0.288153571,30,63510,tt0091295,"Jo Jo Dancer, Your Life Is Calling",0.109362,A comic with one eye on his audience and another eye on the truth.,"Jo Jo Dancer, Your Life Is Calling",Drama,US,1986,-0.6735295590464416,-0.5578885271045964,-0.939625797216492,-2.2040990419818094
52,10000000,Paramount Pictures,USA,Other,Action,6947787,Blue City,2.05.1986 00:00,83,792,Ross Macdonald,1986,0,-0.3052213,-30,83078,tt0090753,Blue City,0.310867,It's below Miami and above the law.,Blue City,"Drama, Action, Thriller, Crime",US,1986,-0.8447605652940733,-1.5520633685629124,-0.9478562074785375,-2.147719028334253
53,27000000,Other,USA,Other,Action,38122105,The Running Man,13.11.1987 00:00,101,120345,Stephen King,1987,1,0.411929815,40,865,tt0093894,The Running Man,9.389976,A game nobody survives. But Schwarzenegger has yet to play.,The Running Man,"Action, Science Fiction",US,1987,-0.11702878874163872,-0.27383857240222037,1.0359547563487512,0.39256676768891685
54,22700000,Other,USA,Other,Adventure,38119483,Spaceballs,24.06.1987 00:00,96,146748,Mel Brooks,1987,1,0.679272379,70,957,tt0094012,Spaceballs,9.10373,May the schwartz be with you,Spaceballs,"Comedy, Science Fiction",US,1987,-0.30110212045784274,-0.6289010157801903,1.4740747606809879,0.31247667867594775
55,15000000,Warner Bros.,USA,Richard Donner,Action,65207127,Lethal Weapon,6.03.1987 00:00,110,204328,Shane Black,1987,1,3.3471418,330,941,tt0093409,Lethal Weapon,13.183804,If these two can learn to stand each other... the bad guys don't stand a chance.,Lethal Weapon,"Adventure, Action, Comedy, Thriller, Crime",US,1987,-0.6307218074845337,0.36527382567812566,2.42953246811765,1.4540594076555688
56,25000000,Paramount Pictures,USA,Other,Crime,76270454,The Untouchables,3.06.1987 00:00,119,234254,Oscar Fraley,1987,1,2.05081816,210,117,tt0094226,The Untouchables,11.062203,What are you prepared to do?,The Untouchables,"Crime, Drama, History, Thriller",US,1987,-0.20264429186545455,1.0043862237584718,2.926111616307118,0.8604468752882899
57,3600000,Other,USA,Other,Comedy,5923044,Evil Dead II,13.03.1987 00:00,84,123325,Sam Raimi,1987,1,0.64529,60,765,tt0092991,Evil Dead II,13.520764,The Sequel To The Ultimate Experience In Grueling Terror,Evil Dead II,"Horror, Comedy, Fantasy",US,1987,-1.1187301752902838,-1.4810508798873183,1.0854035921973315,1.5483390007112272
58,22000000,Other,USA,Other,Action,17336370,Masters of the Universe,7.08.1987 00:00,106,30370,David Odell,1987,0,-0.211983182,-20,11649,tt0093507,Masters of the Universe,7.106954,A battle fought in the stars. Now... comes to Earth.,Masters of the Universe,"Action, Fantasy, Science Fiction, Adventure, Thriller",US,1987,-0.33106754655117826,0.08122387097574965,-0.457051621327763,-0.246210491027595
59,12000000,Other,USA,Other,Action,3769990,The Monster Squad,14.08.1987 00:00,82,21420,Shane Black,1987,0,-0.685834167,-70,13509,tt0093560,The Monster Squad,7.075534,You know who to call when you have ghosts but who do you call when you have monsters?,The Monster Squad,"Horror, Comedy, Action, Fantasy, Science Fiction",US,1987,-0.7591450621702575,-1.6230758572385064,-0.6055640645642709,-0.2550016377922222
60,30000000,Other,Other,Other,Action,51185897,The Living Daylights,31.07.1987 00:00,130,74272,Richard Maibaum,1987,1,0.706196567,70,708,tt0093428,The Living Daylights,12.189038,Licensed to thrill.,The Living Daylights,"Action, Adventure, Thriller","GB, US",1987,0.011394465944085023,1.7855235991900056,0.271439248277731,1.1757292388948692
61,15000000,Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,43848100,Wall Street,11.12.1987 00:00,126,126195,Stanley Weiser,1987,1,1.923206667,190,10673,tt0094291,Wall Street,11.672701,Every dream has a price.,Wall Street,"Crime, Drama",US,1987,-0.6307218074845337,1.5014736444876298,1.1330271354474741,1.0312609274051387
62,22000000,Warner Bros.,USA,Other,Comedy,63766510,The Witches of Eastwick,12.06.1987 00:00,118,51642,John Updike,1987,1,1.898477727,190,6069,tt0094332,The Witches of Eastwick,13.031671,Three Beautiful Women. One Lucky Devil.,The Witches of Eastwick,"Fantasy, Horror, Comedy",US,1987,-0.33106754655117826,0.9333737350828777,-0.10407321992809855,1.4114934136790238
63,23000000,Universal Pictures,USA,Other,Adventure,20763013,Jaws: The Revenge,17.07.1987 00:00,89,33419,Peter Benchley,1987,0,-0.097260304,-10,580,tt0093300,Jaws: The Revenge,9.327986,"This time, it’s personal.",Jaws: The Revenge,"Adventure, Thriller",US,1987,-0.28825979498927035,-1.1259884365093484,-0.4064578292128901,0.3752222995813657
64,25000000,Other,USA,Other,Action,16057580,Over the Top,13.02.1987 00:00,93,40916,Gary Conway,1987,0,-0.3576968,-40,1825,tt0093692,Over the Top,8.431956,Some fight for money... Some fight for glory... He's fighting for his son's love.,Over the Top,"Action, Drama",US,1987,-0.20264429186545455,-0.8419384818069724,-0.28205584184483423,0.12451793180577894
65,6000000,Other,USA,Other,Comedy,22847564,Raising Arizona,17.04.1987 00:00,94,107669,Ethan Coen,1987,1,2.807927333,280,378,tt0093822,Raising Arizona,14.011415,Their lawless years are behind them. Their child-rearing years lay ahead...,Raising Arizona,"Comedy, Crime",US,1987,-1.015991571541705,-0.7709259931313783,0.8256146747324412,1.6856205077516828
66,17000000,Other,Other,Other,Horror,17185632,Angel Heart,6.03.1987 00:00,113,67453,William Hjortsberg,1987,1,0.010919529,0,635,tt0092563,Angel Heart,7.290872,Harry Angel has been hired in search for the truth. Pray he doesn't find it.,Angel Heart,"Horror, Mystery, Thriller",US,1987,-0.5451063043607178,0.5783112917049077,0.158287700743681,-0.19475122525239724
67,27000000,Warner Bros.,USA,Other,Action,25893810,Innerspace,1.07.1987 00:00,120,45172,Chip Proser,1987,0,-0.04097,0,2614,tt0093260,Innerspace,10.134408,This summer take a trip you'll never forget.,Innerspace,"Action, Comedy, Science Fiction",US,1987,-0.11702878874163872,1.0753987124340656,-0.2114336118543786,0.6008548316063255
68,20000000,Other,USA,Other,Comedy,51249404,Broadcast News,25.12.1987 00:00,133,22802,James L. Brooks,1987,1,1.5624702,160,12626,tt0092699,Broadcast News,8.627019,It's the story of their lives.,Broadcast News,"Comedy, Drama, Romance",US,1987,-0.4166830496749941,1.9985610652167878,-0.582631752100265,0.1790955085514343
69,17000000,Other,Other,Other,Action,15681020,Superman IV: The Quest for Peace,24.07.1987 00:00,90,35866,Joe Shuster,1987,0,-0.077587059,-10,11411,tt0094074,Superman IV: The Quest for Peace,7.990679,"Nuclear Power. In the best hands, it is dangerous. In the hands of Lex Luthor, it is pure evil. This is Superman's greatest battle. And it is for all of us.",Superman IV: The Quest for Peace,"Action, Adventure, Science Fiction","GB, US",1987,-0.5451063043607178,-1.0549759478337544,-0.36585336568219345,0.0010510040255622992
70,3500000,Other,USA,Other,Comedy,14000000,Creepshow 2,1.05.1987 00:00,92,17500,Stephen King,1987,1,3.0,300,16288,tt0092796,Creepshow 2,9.330087,"When the curtain goes up, the terror begins.",Creepshow 2,Horror,US,1987,-1.1230109504464747,-0.9129509704825663,-0.6706108553449538,0.37581014806489516
71,3000000,Other,USA,Other,Comedy,7888703,Teen Wolf Too,20.11.1987 00:00,95,8905,Jeph Loeb,1987,1,1.629567667,160,15582,tt0094118,Teen Wolf Too,4.604439,High school was easy. But college is a whole different ANIMAL.,Teen Wolf Too,"Comedy, Fantasy, Family",US,1987,-1.1444148262274285,-0.6999135044557844,-0.8132325815592315,-0.9464007089041424
72,20000000,Other,USA,Other,Comedy,57387516,Dragnet,26.06.1987 00:00,106,27387,Dan Aykroyd,1987,1,1.8693758,190,10023,tt0092925,Dragnet,7.907938,"""Just The Facts.""",Dragnet,"Action, Comedy, Crime",US,1987,-0.4166830496749941,0.08122387097574965,-0.5065502378835735,-0.022099482112312475
73,1000000,Other,USA,Other,Adventure,1576615,The Garbage Pail Kids Movie,22.08.1987 00:00,100,6348,Linda Palmer,1987,1,0.576615,60,14443,tt0093072,The Garbage Pail Kids Movie,3.47192,It doesn't get any grosser than this!,The Garbage Pail Kids Movie,"Adventure, Science Fiction, Comedy",US,1987,-1.2300303293512445,-0.3448510610778144,-0.8556623376883656,-1.2632734250953859
74,14000000,Other,USA,Other,Comedy,57915972,Throw Momma from the Train,11.12.1987 00:00,88,28550,Stu Silver,1987,1,3.136855143,310,11896,tt0094142,Throw Momma from the Train,6.573364,"Owen asked his friend, Larry, for a small favor...",Throw Momma from the Train,"Crime, Comedy",US,1987,-0.6735295590464416,-1.1970009251849423,-0.48725191704736576,-0.395506098988685
75,3000000,Other,USA,Other,Comedy,3221568,Barfly,16.10.1987 00:00,100,15647,Charles Bukowski,1987,1,0.073856,10,10937,tt0092618,Barfly,15.170192,Some people never go crazy. What truly horrible lives they must lead.,Barfly,"Comedy, Drama, Romance",US,1987,-1.1444148262274285,-0.3448510610778144,-0.7013587388440877,2.0098400709112774
