,budget,company,country,director,genre,gross,name,released,runtime,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,id,imdb_id,original_title,popularity,tagline,title,genres_edited,production_countries_edited,year_released
15,2700000,Other,USA,Other,Action,3500000,The Wraith,21.11.1986 00:00,93,11635,Mike Marvin,1986,1,0.296296296,30,10017,tt0092240,The Wraith,7.657918,He's not from around here...,The Wraith,"Romance, Science Fiction, Horror, Action, Crime","US, CA",1986
16,35000000,Universal Pictures,USA,Other,Action,16295774,Howard the Duck,1.08.1986 00:00,110,36020,Steve Gerber,1986,0,-0.534406457,-50,10658,tt0091225,Howard the Duck,10.722672,You will believe that a duck can talk.,Howard the Duck,"Comedy, Fantasy, Science Fiction",US,1986
17,2000000,New Line Cinema,USA,Other,Action,13167232,Critters,11.04.1986 00:00,82,25517,Domonic Muir,1986,1,5.583616,560,3980,tt0090887,Critters,10.113807,"They eat so fast, you don't have time to scream.",Critters,"Action, Comedy, Horror, Science Fiction, Thriller",US,1986
18,11000000,Other,USA,Other,Comedy,91258000,Back to School,13.06.1986 00:00,96,23120,Rodney Dangerfield,1986,1,7.296181818,730,15596,tt0090685,Back to School,6.669879,"Registration starts Friday, June 13, at theaters everywhere.",Back to School,Comedy,US,1986
19,4700000,Other,USA,Other,Comedy,8025872,The Texas Chainsaw Massacre 2,22.08.1986 00:00,89,21253,L.M. Kit Carson,1986,1,0.70763234,70,16337,tt0092076,The Texas Chainsaw Massacre 2,9.501011,After a decade of silence... The buzzz is back!,The Texas Chainsaw Massacre 2,Horror,US,1986
20,15000000,Other,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,5.12.1986 00:00,130,32954,James Carabatsos,1986,1,1.8482678,180,10015,tt0091187,Heartbreak Ridge,7.390012,...the scars run deep.,Heartbreak Ridge,"Action, Comedy, Drama, War",US,1986
21,25000000,Paramount Pictures,USA,Other,Adventure,109713132,Star Trek IV: The Voyage Home,26.11.1986 00:00,119,66366,Gene Roddenberry,1986,1,3.38852528,340,168,tt0092007,Star Trek IV: The Voyage Home,12.596956,The key to saving the future can only be found in the past.,Star Trek IV: The Voyage Home,"Science Fiction, Adventure",US,1986
22,25000000,Paramount Pictures,USA,Other,Action,79817937,The Golden Child,12.12.1986 00:00,94,42997,Dennis Feldman,1986,1,2.19271748,220,10136,tt0091129,The Golden Child,8.236472,Eddie Murphy is the chosen one.,The Golden Child,"Action, Adventure, Comedy",US,1986
23,1900000,Other,USA,Other,Crime,4600000,River's Edge,8.05.1987 00:00,99,12862,Neal Jimenez,1986,1,1.421052632,140,21309,tt0091860,River's Edge,4.482439,The most controversial film you will see this year.,River's Edge,"Crime, Drama",US,1987
24,25000000,Other,USA,Other,Comedy,39246734,¡Three Amigos!,12.12.1986 00:00,104,57406,Steve Martin,1986,1,0.56986936,60,8388,tt0092086,¡Three Amigos!,6.377624,"They're Down On Their Luck And Up To Their Necks In Senoritas, Margaritas, Banditos And Bullets!",¡Three Amigos!,"Comedy, Western",US,1986
25,13800000,Touchstone Pictures,USA,Other,Drama,52293982,The Color of Money,17.10.1986 00:00,119,62495,Walter Tevis,1986,1,2.789418986,280,11873,tt0090863,The Color of Money,11.613655,The Hustler isn't what he used to be. But he has the next best thing. A kid who is.,The Color of Money,Drama,US,1986
26,10000000,Other,USA,Other,Comedy,37499651,The Money Pit,26.03.1986 00:00,91,41278,David Giler,1986,1,2.7499651,270,10466,tt0091541,The Money Pit,7.054864,For everyone who's ever been deeply in Love or deeply in debt.,The Money Pit,"Comedy, Romance",US,1986
27,25000000,Other,USA,Other,Adventure,14302779,The Mosquito Coast,26.11.1986 00:00,117,23076,Paul Theroux,1986,0,-0.42788884,-40,11120,tt0091557,The Mosquito Coast,6.224859,He went too far.,The Mosquito Coast,"Adventure, Drama",US,1986
28,10000000,Other,USA,Other,Action,4711220,King Kong Lives,19.12.1986 00:00,105,4401,Ronald Shusett,1986,0,-0.528878,-50,31947,tt0091344,King Kong Lives,2.663294,America's biggest hero is back... and he is not happy.,King Kong Lives,"Action, Horror",US,1986
29,4500000,Other,USA,Other,Horror,1261000,From Beyond,24.10.1986 00:00,86,16636,H.P. Lovecraft,1986,0,-0.719777778,-70,14510,tt0091083,From Beyond,7.522655,Humans are such easy prey.,From Beyond,"Horror, Science Fiction, Fantasy",US,1986
30,18000000,TriStar Pictures,USA,Other,Comedy,41382841,Peggy Sue Got Married,10.10.1986 00:00,103,28529,Jerry Leichtling,1986,1,1.299046722,130,10013,tt0091738,Peggy Sue Got Married,7.471655,"Knowing what you know now, what would you do differently?",Peggy Sue Got Married,"Comedy, Drama, Fantasy, Romance",US,1986
31,19000000,Other,USA,Other,Horror,40996665,Poltergeist II: The Other Side,23.05.1986 00:00,91,20669,Mark Victor,1986,1,1.157719211,120,11133,tt0091778,Poltergeist II: The Other Side,6.701138,They're back.,Poltergeist II: The Other Side,"Horror, Thriller",US,1986
32,1100000,Other,USA,Other,Comedy,5450815,Troll,17.01.1986 00:00,82,7569,Ed Naha,1986,1,3.955286364,400,33061,tt0092115,Troll,10.254424,"Worlds of Magic, Mystery and Menace.",Troll,"Fantasy, Horror","IT, US",1986
33,111000,Other,USA,Other,Biography,609939,Henry: Portrait of a Serial Killer,7.09.1990 00:00,83,25367,Richard Fire,1986,1,4.494945946,450,10692,tt0099763,Henry: Portrait of a Serial Killer,10.072668,The shocking true story of Henry Lee Lucas.,Henry: Portrait of a Serial Killer,"Crime, Drama, Horror, Thriller",US,1990
34,18000000,Other,USA,Other,Adventure,9697739,SpaceCamp,6.06.1986 00:00,107,11484,Clifford Green,1986,0,-0.461236722,-50,13766,tt0091993,SpaceCamp,6.41742,The stars belong to a new generation.,SpaceCamp,"Family, Adventure",US,1986
35,6400000,Other,USA,Woody Allen,Comedy,40084041,Hannah and Her Sisters,14.03.1986 00:00,107,56988,Woody Allen,1986,1,5.263131406,530,5143,tt0091167,Hannah and Her Sisters,9.57874,,Hannah and Her Sisters,"Comedy, Drama",US,1986
36,14000000,Walt Disney Pictures,USA,Other,Animation,38600000,The Great Mouse Detective,2.07.1986 00:00,74,36539,Peter Young,1986,1,1.757142857,180,9994,tt0091149,The Great Mouse Detective,11.183924,London's crime-fighting ace on his most baffling case!,The Great Mouse Detective,"Comedy, Animation, Family",US,1986
37,6000000,Other,USA,Other,Animation,5849647,The Transformers: The Movie,8.08.1986 00:00,84,33609,Ron Friedman,1986,0,-0.025058833,0,1857,tt0092106,The Transformers: The Movie,6.759181,Beyond good. Beyond evil. Beyond your wildest imagination.,The Transformers: The Movie,Animation,US,1986
38,5000000,TriStar Pictures,USA,Other,Comedy,591366,Night of the Creeps,22.08.1986 00:00,88,16077,Fred Dekker,1986,0,-0.8817268,-90,15762,tt0091630,Night of the Creeps,5.460546,The good news is your date is here.  The bad news is.. he's dead.,Night of the Creeps,"Comedy, Horror, Science Fiction",US,1986
39,6000000,Other,Other,Other,Drama,28607524,Hoosiers,27.02.1987 00:00,114,36604,Angelo Pizzo,1986,1,3.767920667,380,5693,tt0091217,Hoosiers,6.484495,They needed a second chance to finish first.,Hoosiers,"Drama, Family",US,1987
40,6500000,Other,USA,Other,Crime,2347000,At Close Range,18.04.1986 00:00,111,11607,Elliott Lewitt,1986,0,-0.638923077,-60,13715,tt0090670,At Close Range,10.092348,Like father. Like son. Like hell.,At Close Range,"Crime, Drama",US,1986
41,20000000,Paramount Pictures,USA,Other,Comedy,25314289,Heartburn,25.07.1986 00:00,108,7570,Nora Ephron,1986,1,0.26571445,30,13818,tt0091188,Heartburn,16.071191,,Heartburn,"Comedy, Drama, Romance",US,1986
42,15000000,Warner Bros.,USA,Other,Adventure,1953732,The Clan of the Cave Bear,17.01.1986 00:00,98,5340,Jean M. Auel,1986,0,-0.8697512,-90,13853,tt0090848,The Clan of the Cave Bear,10.750748,"At The Dawn Of Mankind, A Woman Led The Way.",The Clan of the Cave Bear,"Adventure, Drama",US,1986
43,12000000,Other,USA,Other,Action,17768900,The Delta Force,14.02.1986 00:00,125,15819,James Bruner,1986,1,0.480741667,50,16113,tt0090927,The Delta Force,7.224683,They don't negotiate with terrorists... they blow them away!,The Delta Force,"Action, Thriller","IL, US",1986
44,18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,14.03.1986 00:00,112,9965,Edwin Blum,1986,1,1.033978333,100,13698,tt0091159,Gung Ho,6.853782,"When East meets West, the laughs shift into high gear!",Gung Ho,"Comedy, Drama",US,1986
45,175000,Other,USA,Spike Lee,Comedy,7137502,She's Gotta Have It,8.08.1986 00:00,84,5257,Spike Lee,1986,1,39.78572571,3979,27995,tt0091939,She's Gotta Have It,7.056652,A Seriously Sexy Comedy,She's Gotta Have It,"Comedy, Romance",US,1986
46,8700000,Other,USA,Other,Action,4865912,Band of the Hand,11.04.1986 00:00,109,2297,Leo Garen,1986,0,-0.44069977,-40,33762,tt0090693,Band of the Hand,4.397712,"They're back on the mean streets. But this time, they're the good guys.",Band of the Hand,"Action, Crime, Drama",US,1986
47,12000000,Columbia Pictures Corporation,USA,Other,Action,15945534,Armed and Dangerous,15.08.1986 00:00,88,9040,Brian Grazer,1986,1,0.3287945,30,2620,tt0090660,Armed and Dangerous,5.037671,Undercover. Overdressed. And keeping you safe from the scum of the earth,Armed and Dangerous,"Action, Comedy, Crime",US,1986
48,1100000,Other,USA,Other,Comedy,1436000,Down by Law,30.10.1986 00:00,107,39456,Jim Jarmusch,1986,1,0.305454545,30,1554,tt0090967,Down by Law,8.843551,It's not where you start - It's where you start again.,Down by Law,"Crime, Drama, Comedy","DE, US",1986
49,10000000,Other,USA,Other,Action,20603715,F/X,7.02.1986 00:00,109,14502,Robert T. Megginson,1986,1,1.0603715,110,9873,tt0089118,F/X,6.620556,Murder by Illusion,F/X,"Crime, Thriller, Action",US,1986
50,18000000,Other,USA,Other,Sci-Fi,3900000,The Manhattan Project,13.06.1986 00:00,117,4666,Marshall Brickman,1986,0,-0.783333333,-80,30194,tt0091472,The Manhattan Project,4.29831,Paul Stevens' high school science project has gotten a little out of hand. He just built an atomic bomb. Now he's got 11 hours to make sure it doesn't work.,The Manhattan Project,"Science Fiction, Thriller",US,1986
51,25000000,Other,USA,Other,Action,1579260,Solarbabies,26.11.1986 00:00,94,3397,Walon Green,1986,0,-0.9368296,-90,36677,tt0091981,Solarbabies,1.278665,Who will rule the future?,Solarbabies,Science Fiction,US,1986
52,10000000,Touchstone Pictures,USA,Other,Comedy,21458229,Tough Guys,3.10.1986 00:00,104,5584,James Orr,1986,1,1.1458229,110,11038,tt0092105,Tough Guys,2.86084,They're Out To Teach A New World Some Old Tricks.,Tough Guys,"Comedy, Crime",US,1986
53,12000000,Other,USA,Other,Comedy,7790931,The Best of Times,31.01.1986 00:00,104,5523,Ron Shelton,1986,0,-0.35075575,-40,30653,tt0090713,The Best of Times,5.655712,"A comedy about life, hope, and getting even.",The Best of Times,Comedy,US,1986
54,2000000,Other,Other,Other,Horror,7369373,Witchboard,13.03.1987 00:00,98,4744,Kevin Tenney,1986,1,2.6846865,270,17994,tt0090327,Witchboard,8.180575,It's more than just a game.,Witchboard,Horror,"GB, US",1987
55,14000000,Touchstone Pictures,USA,Other,Comedy,62134225,Down and Out in Beverly Hills,31.01.1986 00:00,103,13569,René Fauchois,1986,1,3.438158929,340,9941,tt0090966,Down and Out in Beverly Hills,9.970485,See what happens when a dirty bum meets the filthy rich.,Down and Out in Beverly Hills,Comedy,US,1986
56,8500000,Other,Other,Other,Biography,277646,Lady Jane,7.02.1986 00:00,136,5364,Chris Bryant,1986,0,-0.967335765,-100,21867,tt0091374,Lady Jane,1.991634,,Lady Jane,"Drama, Romance, History",GB,1986
57,18000000,Other,USA,Other,Action,1305114,8 Million Ways to Die,25.04.1986 00:00,115,3607,Lawrence Block,1986,0,-0.927493667,-90,20858,tt0090568,8 Million Ways to Die,9.328747,Death comes to all except those who deserve it most.,8 Million Ways to Die,Crime,US,1986
58,8000000,Other,USA,Other,Action,11834302,Firewalker,21.11.1986 00:00,104,4752,Robert Gosnell,1986,1,0.47928775,50,12715,tt0091055,Firewalker,3.150899,A pair of down-and-out fortune hunters cash in on high adventure!,Firewalker,"Action, Adventure, Comedy",US,1986
59,3300000,Other,USA,Other,Comedy,4941117,Vamp,18.07.1986 00:00,93,3909,Donald P. Borchers,1986,1,0.497308182,50,34223,tt0092147,Vamp,4.119963,A Frightening Comedy,Vamp,"Comedy, Horror",US,1986
60,15000000,Warner Bros.,USA,Other,Comedy,12308521,Club Paradise,11.07.1986 00:00,96,5049,Harry Shearer,1986,0,-0.179431933,-20,26555,tt0090856,Club Paradise,4.079853,The vacation you'll never forget - no matter how hard you try.,Club Paradise,"Comedy, Drama, Romance",US,1986
61,40000000,Universal Pictures,USA,Other,Comedy,49851591,Legal Eagles,20.06.1986 00:00,116,8374,Ivan Reitman,1986,1,0.246289775,20,9930,tt0091396,Legal Eagles,12.798828,Tom Logan has a law partner who put a dog on the witness stand. A client who can't enter a room without a crime being committed. And a case that could turn out to be the murder of the year. His.,Legal Eagles,"Comedy, Crime, Drama, Romance, Thriller",US,1986
62,13000000,Metro-Goldwyn-Mayer (MGM),USA,Other,Comedy,8475466,Wise Guys,18.04.1986 00:00,100,4573,George Gallo,1986,0,-0.348041077,-30,31659,tt0092226,Wise Guys,1.884204,"What kind of guys gamble with the boss's money, swipe a killer's Cadillac, and party on the mob's credit card?",Wise Guys,"Comedy, Crime",US,1986
63,17000000,Other,Other,Other,Adventure,2315683,Shanghai Surprise,29.08.1986 00:00,97,4339,John Kohn,1986,0,-0.863783353,-90,58048,tt0091934,Shanghai Surprise,1.408849,A romantic adventure for the dangerous at heart.,Shanghai Surprise,Adventure,GB,1986
64,16000000,Other,USA,Other,Drama,3800000,Power,31.01.1986 00:00,111,2287,David Himmelstein,1986,0,-0.7625,-80,46948,tt0091786,Power,1.828322,More seductive than sex... More addictive than any drug... More precious than gold. And one man can get it for you. For a price.,Power,Drama,US,1986
65,20000000,Other,USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,23.01.1987 00:00,105,3079,Beth Henley,1986,1,0.145275,10,48259,tt0090886,Crimes of the Heart,2.524937,Meg just left one. Lenny never had one. Babe just shot one. The MaGrath sisters sure have a way with men,Crimes of the Heart,"Drama, Family",US,1987
66,6000000,Other,USA,Other,Action,9947631,Murphy's Law,18.04.1986 00:00,100,3561,Gail Morgan Hickman,1986,1,0.6579385,70,33055,tt0091575,Murphy's Law,2.722264,"He's a cop, She's a thief, together they're running for their lives",Murphy's Law,"Action, Mystery, Thriller",US,1986
67,18000000,Other,USA,Other,Comedy,11957943,Brighton Beach Memoirs,25.12.1986 00:00,108,2720,Neil Simon,1986,0,-0.335669833,-30,32060,tt0090774,Brighton Beach Memoirs,2.563112,,Brighton Beach Memoirs,"Comedy, Drama, Romance",US,1986
68,25000000,Other,USA,Other,Adventure,4007250,Tai-Pan,7.11.1986 00:00,127,1340,John Briley,1986,0,-0.83971,-80,29584,tt0092042,Tai-Pan,2.456811,Smuggler. Prince. Murderer. Father. Sinner. Saint.,Tai-Pan,"Adventure, Drama, History",US,1986
69,14000000,Columbia Pictures Corporation,USA,Other,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",2.05.1986 00:00,97,1288,Rocco Urbisci,1986,1,0.288153571,30,63510,tt0091295,"Jo Jo Dancer, Your Life Is Calling",0.109362,A comic with one eye on his audience and another eye on the truth.,"Jo Jo Dancer, Your Life Is Calling",Drama,US,1986
70,3401376,Other,USA,Renny Harlin,Action,3388020,Born American,29.08.1986 00:00,97,1509,Renny Harlin,1986,0,-0.003926646,0,103960,tt0091313,Born American,0.286981,Freedom is just a word… until you lose it.,Born American,"Drama, Action",US,1986
71,10000000,Paramount Pictures,USA,Other,Action,6947787,Blue City,2.05.1986 00:00,83,792,Ross Macdonald,1986,0,-0.3052213,-30,83078,tt0090753,Blue City,0.310867,It's below Miami and above the law.,Blue City,"Drama, Action, Thriller, Crime",US,1986
72,2000000,Other,USA,Other,Drama,1301121,Native Son,12.12.1986 00:00,111,448,Richard Wesley,1986,0,-0.3494395,-30,108312,tt0091613,Native Son,0.910047,,Native Son,Drama,US,1986
73,16000000,Other,USA,Rob Reiner,Adventure,30857814,The Princess Bride,9.10.1987 00:00,98,320953,William Goldman,1987,1,0.928613375,90,2493,tt0093779,The Princess Bride,15.15267,It's as real as the feelings you feel.,The Princess Bride,"Adventure, Family, Fantasy, Comedy, Romance",US,1987
74,1000000,Other,Other,Other,Horror,14564027,Hellraiser,18.09.1987 00:00,94,83209,Clive Barker,1987,1,13.564027,1360,9003,tt0093177,Hellraiser,10.81305,He'll tear your soul apart.,Hellraiser,Horror,GB,1987
75,30000000,Other,Other,Other,Drama,46357676,Full Metal Jacket,10.07.1987 00:00,116,537826,Gustav Hasford,1987,1,0.545255867,50,600,tt0093058,Full Metal Jacket,13.94148,"Vietnam can kill me, but it can’t make me care.",Full Metal Jacket,"Drama, War","GB, US",1987
76,15000000,Other,USA,Other,Action,59735548,Predator,12.06.1987 00:00,107,313213,Jim Thomas,1987,1,2.982369867,300,106,tt0093773,Predator,18.495694,"If it bleeds, we can kill it...",Predator,"Science Fiction, Action, Adventure, Thriller",US,1987
77,27000000,Other,USA,Other,Action,38122105,The Running Man,13.11.1987 00:00,101,120345,Stephen King,1987,1,0.411929815,40,865,tt0093894,The Running Man,9.389976,A game nobody survives. But Schwarzenegger has yet to play.,The Running Man,"Action, Science Fiction",US,1987
78,22700000,Other,USA,Other,Adventure,38119483,Spaceballs,24.06.1987 00:00,96,146748,Mel Brooks,1987,1,0.679272379,70,957,tt0094012,Spaceballs,9.10373,May the schwartz be with you,Spaceballs,"Comedy, Science Fiction",US,1987
79,15000000,Warner Bros.,USA,Richard Donner,Action,65207127,Lethal Weapon,6.03.1987 00:00,110,204328,Shane Black,1987,1,3.3471418,330,941,tt0093409,Lethal Weapon,13.183804,If these two can learn to stand each other... the bad guys don't stand a chance.,Lethal Weapon,"Adventure, Action, Comedy, Thriller, Crime",US,1987
80,25000000,Paramount Pictures,USA,Other,Crime,76270454,The Untouchables,3.06.1987 00:00,119,234254,Oscar Fraley,1987,1,2.05081816,210,117,tt0094226,The Untouchables,11.062203,What are you prepared to do?,The Untouchables,"Crime, Drama, History, Thriller",US,1987
81,3600000,Other,USA,Other,Comedy,5923044,Evil Dead II,13.03.1987 00:00,84,123325,Sam Raimi,1987,1,0.64529,60,765,tt0092991,Evil Dead II,13.520764,The Sequel To The Ultimate Experience In Grueling Terror,Evil Dead II,"Horror, Comedy, Fantasy",US,1987
82,22000000,Other,USA,Other,Action,17336370,Masters of the Universe,7.08.1987 00:00,106,30370,David Odell,1987,0,-0.211983182,-20,11649,tt0093507,Masters of the Universe,7.106954,A battle fought in the stars. Now... comes to Earth.,Masters of the Universe,"Action, Fantasy, Science Fiction, Adventure, Thriller",US,1987
83,12000000,Other,USA,Other,Action,3769990,The Monster Squad,14.08.1987 00:00,82,21420,Shane Black,1987,0,-0.685834167,-70,13509,tt0093560,The Monster Squad,7.075534,You know who to call when you have ghosts but who do you call when you have monsters?,The Monster Squad,"Horror, Comedy, Action, Fantasy, Science Fiction",US,1987
84,14000000,Paramount Pictures,USA,Other,Drama,156645693,Fatal Attraction,18.09.1987 00:00,119,60383,James Dearden,1987,1,10.18897807,1019,10998,tt0093010,Fatal Attraction,14.260779,A look that led to an evening. A mistake he'll regret...FOR THE REST OF HIS LIFE.,Fatal Attraction,"Romance, Drama, Thriller, Horror, Mystery",US,1987
85,30000000,Other,Other,Other,Action,51185897,The Living Daylights,31.07.1987 00:00,130,74272,Richard Maibaum,1987,1,0.706196567,70,708,tt0093428,The Living Daylights,12.189038,Licensed to thrill.,The Living Daylights,"Action, Adventure, Thriller","GB, US",1987
86,15000000,Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,43848100,Wall Street,11.12.1987 00:00,126,126195,Stanley Weiser,1987,1,1.923206667,190,10673,tt0094291,Wall Street,11.672701,Every dream has a price.,Wall Street,"Crime, Drama",US,1987
87,35000000,Other,USA,Steven Spielberg,Drama,22238696,Empire of the Sun,25.12.1987 00:00,153,96566,Tom Stoppard,1987,0,-0.364608686,-40,10110,tt0092965,Empire of the Sun,10.220906,"To survive in a world at war, he must find a strength greater than all the events that surround him.",Empire of the Sun,"Drama, History, War",US,1987
88,22000000,Warner Bros.,USA,Other,Comedy,63766510,The Witches of Eastwick,12.06.1987 00:00,118,51642,John Updike,1987,1,1.898477727,190,6069,tt0094332,The Witches of Eastwick,13.031671,Three Beautiful Women. One Lucky Devil.,The Witches of Eastwick,"Fantasy, Horror, Comedy",US,1987
89,4500000,New Line Cinema,USA,Other,Action,44793222,A Nightmare on Elm Street 3: Dream Warriors,27.02.1987 00:00,96,55414,Wes Craven,1987,1,8.954049333,900,10072,tt0093629,A Nightmare on Elm Street 3: Dream Warriors,10.035081,"If you think you're ready for Freddy, think again!",A Nightmare on Elm Street 3: Dream Warriors,"Horror, Thriller",US,1987
90,23000000,Universal Pictures,USA,Other,Adventure,20763013,Jaws: The Revenge,17.07.1987 00:00,89,33419,Peter Benchley,1987,0,-0.097260304,-10,580,tt0093300,Jaws: The Revenge,9.327986,"This time, it’s personal.",Jaws: The Revenge,"Adventure, Thriller",US,1987
91,25000000,Other,USA,Other,Action,16057580,Over the Top,13.02.1987 00:00,93,40916,Gary Conway,1987,0,-0.3576968,-40,1825,tt0093692,Over the Top,8.431956,Some fight for money... Some fight for glory... He's fighting for his son's love.,Over the Top,"Action, Drama",US,1987
92,6000000,Other,USA,Other,Comedy,22847564,Raising Arizona,17.04.1987 00:00,94,107669,Ethan Coen,1987,1,2.807927333,280,378,tt0093822,Raising Arizona,14.011415,Their lawless years are behind them. Their child-rearing years lay ahead...,Raising Arizona,"Comedy, Crime",US,1987
93,17000000,Other,Other,Other,Horror,17185632,Angel Heart,6.03.1987 00:00,113,67453,William Hjortsberg,1987,1,0.010919529,0,635,tt0092563,Angel Heart,7.290872,Harry Angel has been hired in search for the truth. Pray he doesn't find it.,Angel Heart,"Horror, Mystery, Thriller",US,1987
94,27000000,Warner Bros.,USA,Other,Action,25893810,Innerspace,1.07.1987 00:00,120,45172,Chip Proser,1987,0,-0.04097,0,2614,tt0093260,Innerspace,10.134408,This summer take a trip you'll never forget.,Innerspace,"Action, Comedy, Science Fiction",US,1987
95,15000000,Metro-Goldwyn-Mayer (MGM),USA,Other,Comedy,80640528,Moonstruck,15.01.1988 00:00,102,38600,John Patrick Shanley,1987,1,4.3760352,440,2039,tt0093565,Moonstruck,12.877291,,Moonstruck,"Comedy, Drama, Romance",US,1988
96,28000000,Paramount Pictures,USA,Other,Action,153665000,Beverly Hills Cop II,20.05.1987 00:00,100,90969,Danilo Bach,1987,1,4.488035714,450,96,tt0092644,Beverly Hills Cop II,9.200336,,Beverly Hills Cop II,"Action, Comedy, Crime",US,1987
97,23000000,Other,Other,Other,Biography,43984230,The Last Emperor,15.04.1988 00:00,163,76408,Mark Peploe,1987,1,0.912357826,90,746,tt0093389,The Last Emperor,11.076971,"He was the Lord of Ten Thousand Years, the absolute monarch of China. He was born to rule a world of ancient tradition. Nothing prepared him for our world of change.",The Last Emperor,"Drama, History","FR, CN, GB, IT",1988
