,budget,company,director,gross,name,released,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,popularity,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released,budget_norm,score_norm,votes_norm,popularity_norm
10,4700000,Other,Other,8025872,The Texas Chainsaw Massacre 2,22.08.1986 00:00,5.6,Dennis Hopper,21253,L.M. Kit Carson,1986,1,0.70763234,70,FALSE,16337,tt0092076,The Texas Chainsaw Massacre 2,A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.,9.501011,After a decade of silence... The buzzz is back!,The Texas Chainsaw Massacre 2,Horror,en,US,"hammer, gore, slasher, chainsaw, b horror",1986,-1.1038861661712216,-0.8130501992831923,-0.644648302733395,0.3595380999831649
11,15000000,Other,Clint Eastwood,42724017,Heartbreak Ridge,5.12.1986 00:00,6.8,Clint Eastwood,32954,James Carabatsos,1986,1,1.8482678,180,FALSE,10015,tt0091187,Heartbreak Ridge,"A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",7.390012,...the scars run deep.,Heartbreak Ridge,"Action, Comedy, Drama, War","es, en",US,"recruit, officer, battle assignment, marine, platoon, combat",1986,-0.6669781404031139,0.6036600101482448,-0.46013908013453814,-0.2321313275723729
12,25000000,Paramount Pictures,Other,109713132,Star Trek IV: The Voyage Home,26.11.1986 00:00,7.3,William Shatner,66366,Gene Roddenberry,1986,1,3.38852528,340,FALSE,168,tt0092007,Star Trek IV: The Voyage Home,"Fugitives of the Federation for their daring rescue of Spock from the doomed Genesis Planet, Admiral Kirk (William Shatner) and his crew begin their journey home to face justice for their actions. But as they near Earth, they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet. In a desperate attempt to answer the call of the probe, Kirk and his crew race back to the late twentieth century. However they soon find the world they once knew to be more alien than anything they've encountered in the far reaches of the galaxy!",12.596956,The key to saving the future can only be found in the past.,Star Trek IV: The Voyage Home,"Science Fiction, Adventure","en, fi",US,"saving the world, san francisco, uss enterprise-a, time travel, whale, marine biologist, vulcan, space opera",1986,-0.24279559111368892,1.1939559307446768,0.06672376453455049,1.2272675521967515
13,25000000,Paramount Pictures,Other,79817937,The Golden Child,12.12.1986 00:00,5.9,Eddie Murphy,42997,Dennis Feldman,1986,1,2.19271748,220,FALSE,10136,tt0091129,The Golden Child,"A detective specializing in missing children is on a madcap mission to save a youth with mystical powers who's been abducted by an evil cult. He battles a band of super-nasties, scrambles through a booby-trapped chamber of horrors and traverses Tibet to obtain a sacred dagger.",8.236472,Eddie Murphy is the chosen one.,The Golden Child,"Action, Adventure, Comedy","cs, en, it",US,"monk, social worker, wretch, tibet, demon, evil, missing person, mysticism, reluctant hero",1986,-0.24279559111368892,-0.45887264692533225,-0.30177431451105985,0.005113931022567284
14,1900000,Other,Other,4600000,River's Edge,8.05.1987 00:00,7.1,Crispin Glover,12862,Neal Jimenez,1986,1,1.421052632,140,FALSE,21309,tt0091860,River's Edge,"A group of high school friends discover that they are in the presence of a killer. One of them, Samson, has murdered his girlfriend Jamie. He brags to his friends about killing her, and when they discover he is telling the truth, their reactions vary.",4.482439,The most controversial film you will see this year.,River's Edge,"Crime, Drama",en,US,"sex, police, friends, murder",1987,-1.2226572799722606,0.9578375625061037,-0.7769632234091499,-1.0470639980691077
15,25000000,Other,Other,39246734,¡Three Amigos!,12.12.1986 00:00,6.4,Steve Martin,57406,Steve Martin,1986,1,0.56986936,60,FALSE,8388,tt0092086,¡Three Amigos!,"Three unemployed actors accept an invitation to a Mexican village to replay their bandit fighter roles, unaware that it is the real thing.",6.377624,"They're Down On Their Luck And Up To Their Necks In Senoritas, Margaritas, Banditos And Bullets!",¡Three Amigos!,"Comedy, Western","en, de, es",US,"mexico, hero, village, united states–mexico barrier, confusion, spoof, western hero, western band, actor",1986,-0.24279559111368892,0.13142327367109974,-0.07456353009716968,-0.5158827781529253
16,13800000,Touchstone Pictures,Martin Scorsese,52293982,The Color of Money,17.10.1986 00:00,7.0,Paul Newman,62495,Walter Tevis,1986,1,2.789418986,280,FALSE,11873,tt0090863,The Color of Money,"Former pool hustler ""Fast Eddie"" Felson decides he wants to return to the game by taking a pupil. He meets talented but green Vincent Lauria and proposes a partnership. As they tour pool halls, Eddie teaches Vincent the tricks of scamming, but he eventually grows frustrated with Vincent's showboat antics, leading to an argument and a falling-out. Eddie takes up playing again and soon crosses paths with Vincent as an opponent.",11.613655,The Hustler isn't what he used to be. But he has the next best thing. A kid who is.,The Color of Money,Drama,"en, es",US,"bar, billard, talent, hustler, sport",1986,-0.7178800463178449,0.8397783783868178,0.005683238025690136,0.9516685870694406
17,10000000,Other,Other,37499651,The Money Pit,26.03.1986 00:00,6.3,Tom Hanks,41278,David Giler,1986,1,2.7499651,270,FALSE,10466,tt0091541,The Money Pit,"After being evicted from their Manhattan apartment, a couple buys what looks like the home of their dreams – only to find themselves saddled with a bank-account-draining nightmare. Struggling to keep their relationship together as their rambling mansion falls to pieces around them, the two watch in hilarious horror as everything – including the kitchen sink – disappears into the 'Money Pit'.",7.054864,For everyone who's ever been deeply in Love or deeply in debt.,The Money Pit,"Comedy, Romance",en,US,"rock star, price, chaos, house, home ownership",1986,-0.8790694150478263,0.013364089551812711,-0.32888066043426595,-0.32606639116377345
18,25000000,Other,Other,14302779,The Mosquito Coast,26.11.1986 00:00,6.6,Harrison Ford,23076,Paul Theroux,1986,0,-0.42788884,-40,FALSE,11120,tt0091557,The Mosquito Coast,"Allie Fox, an American inventor exhausted by the perceived danger and degradation of modern society, decides to escape with his wife and children to Belize. In the jungle, he tries with mad determination to create a utopian community with disastrous results.",6.224859,He went too far.,The Mosquito Coast,"Adventure, Drama",en,US,"paradise, living together, power, governance, exit, idealism, honduras, idealist, nature, emigrant",1986,-0.24279559111368892,0.3675416419096717,-0.6159020149974993,-0.5586996530545815
19,4500000,Other,Other,1261000,From Beyond,24.10.1986 00:00,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986,0,-0.719777778,-70,FALSE,14510,tt0091083,From Beyond,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms.",7.522655,Humans are such easy prey.,From Beyond,"Horror, Science Fiction, Fantasy",en,US,"human experimentation, h.p. lovecraft, parallel world",1986,-1.11236981715701,0.48560082602895877,-0.7174522580140481,-0.19495423375127227
20,18000000,TriStar Pictures,Other,41382841,Peggy Sue Got Married,10.10.1986 00:00,6.3,Kathleen Turner,28529,Jerry Leichtling,1986,1,1.299046722,130,FALSE,10013,tt0091738,Peggy Sue Got Married,"Peggy Sue faints at a Highschool reunion. When she wakes up she finds herself in her own past, just before she finished school.",7.471655,"Knowing what you know now, what would you do differently?",Peggy Sue Got Married,"Comedy, Drama, Fantasy, Romance",en,US,"time travel, high school reunion",1986,-0.5397233756162864,0.013364089551812711,-0.5299154505302258,-0.2092484806009072
21,19000000,Other,Other,40996665,Poltergeist II: The Other Side,23.05.1986 00:00,5.7,JoBeth Williams,20669,Mark Victor,1986,1,1.157719211,120,FALSE,11133,tt0091778,Poltergeist II: The Other Side,"The Freeling family move in with Diane's mother in an effort to escape the trauma and aftermath of Carol Anne's abduction by the Beast. But the Beast is not to be put off so easily and appears in a ghostly apparition as the Reverend Kane, a religeous zealot responsible for the deaths of his many followers. His goal is simple - he wants the angelic Carol Anne.",6.701138,They're back.,Poltergeist II: The Other Side,"Horror, Thriller",en,US,"monster, poltergeist, supernatural powers, family secrets",1986,-0.4973051206873439,-0.6949910151639053,-0.6538572067584982,-0.4252084845193411
22,18000000,Other,Other,9697739,SpaceCamp,6.06.1986 00:00,5.6,Kate Capshaw,11484,Clifford Green,1986,0,-0.461236722,-50,FALSE,13766,tt0091993,SpaceCamp,"Andie Bergstrom, an astronaut eagerly awaiting her first trip to space, runs a summer camp for teenagers with her NASA-employed husband, Zach. One night during an engine test, Andie and four teenage campers are accidentally shot into space. Together, the group -- which includes Kathryn, a pilot-in-training, and Tish, a ditz with a perfect memory -- must work together to operate the spacecraft and return home.",6.41742,The stars belong to a new generation.,SpaceCamp,"Family, Adventure",en,US,"space, astronaut, space shuttle, trapped in space, space camp",1986,-0.5397233756162864,-0.8130501992831923,-0.7986924524272873,-0.5047287811406101
23,14000000,Walt Disney Pictures,Other,38600000,The Great Mouse Detective,2.07.1986 00:00,7.2,Vincent Price,36539,Peter Young,1986,1,1.757142857,180,FALSE,9994,tt0091149,The Great Mouse Detective,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",11.183924,London's crime-fighting ace on his most baffling case!,The Great Mouse Detective,"Comedy, Animation, Family",en,US,"london england, detective, queen, sherlock holmes, cartoon mouse",1986,-0.7093963953320563,1.0758967466253908,-0.4036083936105742,0.8312238617176669
24,6000000,Other,Other,5849647,The Transformers: The Movie,8.08.1986 00:00,7.3,Orson Welles,33609,Ron Friedman,1986,0,-0.025058833,0,FALSE,1857,tt0092106,The Transformers: The Movie,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",6.759181,Beyond good. Beyond evil. Beyond your wildest imagination.,The Transformers: The Movie,Animation,"en, ja",US,"toy, transformation, based on toy, transformers, robots, intergalactic war",1986,-1.0487424347635963,1.1939559307446768,-0.44981060044884874,-0.40894023020770676
25,5000000,TriStar Pictures,Other,591366,Night of the Creeps,22.08.1986 00:00,6.8,Jason Lively,16077,Fred Dekker,1986,0,-0.8817268,-90,FALSE,15762,tt0091630,Night of the Creeps,"In 1959, an alien experiment crashes to earth and infects a fraternity member. They freeze the body, but in the modern day, two geeks pledging a fraternity accidentally thaw the corpse, which proceeds to infect the campus with parasites that transform their hosts into killer zombies.",5.460546,The good news is your date is here.  The bad news is.. he's dead.,Night of the Creeps,"Comedy, Horror, Science Fiction",en,US,"female nudity, monster, spacecraft, experiment, nudity, brain, ax, police, murder, alien, sorority, gore, morgue, undead, serial killer, decapitation, zombie, corpse, teenager, exploding head, violence, cult film, fraternity, parasite, axe murder, space monster",1986,-1.0911606896925388,0.6036600101482448,-0.7262669452572548,-0.77292080388566
26,6500000,Other,Other,2347000,At Close Range,18.04.1986 00:00,7.0,Sean Penn,11607,Elliott Lewitt,1986,0,-0.638923077,-60,FALSE,13715,tt0090670,At Close Range,"Based upon the true story of Bruce Johnston Sr., his son, and his brothers; together, they constituted one of suburban Philadelphia's most notorious crime families during the 1970's. Their criminal activities ranged from burglary, theft... and ultimately, murder.",10.092348,Like father. Like son. Like hell.,At Close Range,"Crime, Drama",en,US,"rape, 1970s, gun, sociopath, drug",1986,-1.027533307299125,0.8397783783868178,-0.7967529058603562,0.5252776499698814
27,15000000,Warner Bros.,Other,1953732,The Clan of the Cave Bear,17.01.1986 00:00,5.3,Daryl Hannah,5340,Jean M. Auel,1986,0,-0.8697512,-90,FALSE,13853,tt0090848,The Clan of the Cave Bear,"Natural changes have the clans moving. Iza, medicine woman of the ""Clan of the Cave Bear"" finds little Ayla from the ""others""' clan - tradition would have the clan kill Ayla immediately, but Iza insists on keeping her. When the little one finds a most needed new cave, she's allowed to stay - and thrive.",10.750748,"At The Dawn Of Mankind, A Woman Led The Way.",The Clan of the Cave Bear,"Adventure, Drama",en,US,"stone age, tribe, cavemen, prehistoric adventure, prehistoric times, neanderthal, prehistoric man",1986,-0.6669781404031139,-1.1672277516410514,-0.895575168746181,0.7098135740051681
28,12000000,Other,Other,17768900,The Delta Force,14.02.1986 00:00,5.6,Chuck Norris,15819,James Bruner,1986,1,0.480741667,50,FALSE,16113,tt0090927,The Delta Force,A 707 aircraft jetliner on its way from Athens to Rome and then to New York City is hijacked by Lebanese terrorists. The terrorists demand that the pilot take them to Beirut. What the terrorists don't realize is that an elite team of commandoes led by Major McCoy (Norris) and by Colonel Alexander (Marvin) has been called into service to eliminate all terrorists on the jetliner.,7.224683,They don't negotiate with terrorists... they blow them away!,The Delta Force,"Action, Thriller","ar, en, el, he","IL, US","terrorist, airplane hijacking, covert operation",1986,-0.7942329051899414,-0.8130501992831923,-0.7303352624464271,-0.2784696322273393
29,18000000,Paramount Pictures,Ron Howard,36611610,Gung Ho,14.03.1986 00:00,6.2,Michael Keaton,9965,Edwin Blum,1986,1,1.033978333,100,FALSE,13698,tt0091159,Gung Ho,"When a western Pennsylvania auto plant is acquired by a Japanese company, brokering auto worker Hunt Stevenson faces the tricky challenge of mediating the assimilation of two clashing corporate cultures. At one end is the Japanese plant manager and the sycophant who is angling for his position. At the other, a number of disgruntled long-time union members struggle with the new exigencies of Japanese quality control.",6.853782,"When East meets West, the laughs shift into high gear!",Gung Ho,"Comedy, Drama",en,US,"japan, usa, factory worker, factory, culture clash, worker, automobile industry, business, unemployment, auto industry, car factory",1986,-0.5397233756162864,-0.10469509456747328,-0.822645064095321,-0.382425523419034
30,8700000,Other,Other,4865912,Band of the Hand,11.04.1986 00:00,6.3,Stephen Lang,2297,Leo Garen,1986,0,-0.44069977,-40,FALSE,33762,tt0090693,Band of the Hand,An Indian Vietnam veteran trains five street punks in the Everglades to fight vice in Miami.,4.397712,"They're back on the mean streets. But this time, they're the good guys.",Band of the Hand,"Action, Crime, Drama",en,US,"bikini, gang, drug addict, illegal drugs, survival training",1986,-0.9342131464554516,0.013364089551812711,-0.943559235438628,-1.0708112265559513
31,12000000,Columbia Pictures Corporation,Other,15945534,Armed and Dangerous,15.08.1986 00:00,5.6,John Candy,9040,Brian Grazer,1986,1,0.3287945,30,FALSE,2620,tt0090660,Armed and Dangerous,"Dooley, a cop wrongly sacked for corruption, teams up with a useless defence lawyer in their new careers... as security guards. When the two are made fall guys for a robbery at a location they are guarding, the pair begin to investigate corruption within the company and their union. They soon make enemies of everyone, but can the unlikely duo save the day?",5.037671,Undercover. Overdressed. And keeping you safe from the scum of the earth,Armed and Dangerous,"Action, Comedy, Crime",en,US,"corruption, ex-cop, private detective, criminal defence lawyer",1986,-0.7942329051899414,-0.8130501992831923,-0.837231085025493,-0.8914439340138828
32,1100000,Other,Other,1436000,Down by Law,30.10.1986 00:00,7.8,Tom Waits,39456,Jim Jarmusch,1986,1,0.305454545,30,FALSE,1554,tt0090967,Down by Law,The story of three men from completely different tracks who all meet in a Louisiana prison cell and eventually begin an awkward journey together.,8.843551,It's not where you start - It's where you start again.,Down by Law,"Crime, Drama, Comedy","en, it","DE, US","prison, prostitute, pimp, fight, louisiana, independent film, escape, conviction",1986,-1.2565918839154147,1.7842518513411088,-0.3576111794988858,0.17526563853687147
33,10000000,Other,Other,20603715,F/X,7.02.1986 00:00,6.7,Bryan Brown,14502,Robert T. Megginson,1986,1,1.0603715,110,FALSE,9873,tt0089118,F/X,"A movies special effects man is hired by a government agency to help stage the assassination of a well known gangster. When the agency double cross him, he uses his special effects to trap the gangster and the corrupt agents.",6.620556,Murder by Illusion,F/X,"Crime, Thriller, Action",en,US,"corruption, detective, assassin, showdown, fbi, mission of murder, witness protection, stuntman, police, mafia boss, deception, special effects, gunfight, new york city, violence, car chase, disguise, federal agent, makeup artist, manhunt, justice department",1986,-0.8790694150478263,0.48560082602895877,-0.7511026025167369,-0.44779395510046444
34,18000000,Other,Other,3900000,The Manhattan Project,13.06.1986 00:00,6.1,John Lithgow,4666,Marshall Brickman,1986,0,-0.783333333,-80,FALSE,30194,tt0091472,The Manhattan Project,"Named after the World War II-era program, the plot revolves around a gifted high school student who decides to construct a nuclear bomb for a national science fair. The film's underlying theme involves the Cold War of the 1980s when government secrecy and mutually assured destruction were key political and military issues.",4.29831,Paul Stevens' high school science project has gotten a little out of hand. He just built an atomic bomb. Now he's got 11 hours to make sure it doesn't work.,The Manhattan Project,"Science Fiction, Thriller",en,US,"bomb, helicopter, plutonium, laser, heist, fugitive, teenager, scientist, nuclear, science, project",1986,-0.5397233756162864,-0.22275427868676032,-0.9062032531861117,-1.0986715545039398
35,25000000,Other,Other,1579260,Solarbabies,26.11.1986 00:00,4.8,Richard Jordan,3397,Walon Green,1986,0,-0.9368296,-90,FALSE,36677,tt0091981,Solarbabies,"In a future in which most water has disappeared from the Earth, we find a group of children, mostly teenagers, who are living at an orphanage, run by the despotic rulers of the new Earth. The group in question plays a hockey based game on roller skates and is quite good. It has given them a unity that transcends the attempts to bring them to heel by the government. Finding an orb of special power, they find it has unusual effects on them. They escape from the orphanage (on skates) and try to cross the wasteland looking for a place they can live free as the storm-troopers search for them and the orb.",1.278665,Who will rule the future?,Solarbabies,Science Fiction,en,US,"post-apocalyptic, roller-skating, teenager, dystopic future, drought",1986,-0.24279559111368892,-1.7575236722374834,-0.9262136970351802,-1.9450156923130724
36,10000000,Touchstone Pictures,Other,21458229,Tough Guys,3.10.1986 00:00,6.2,Burt Lancaster,5584,James Orr,1986,1,1.1458229,110,FALSE,11038,tt0092105,Tough Guys,"Harry Doyle (Lancaster) and Archie Lang (Douglas) are two old-time train robbers, who held up a train in 1956 and have been incarcerated for thirty years. After serving their time, they are released from jail and have to adjust to a new life of freedom. Harry and Archie realize that they still have the pizzazz when, picking up their prison checks at a bank, they foil a robbery attempt. Archie, who spent his prison time pumping himself up, easily picks up a 20-year-old aerobics instructor. Harry, on the other hand, has to waste away his days in a nursing home. They both have festering resentments -- Archie for having to endure a humiliating job as a busboy; Harry for having to endure patronizing attitudes toward senior citizens. The two old pals finally go back to what they know best. After successfully robbing an armored car, they decide to rob the same train that they robbed thirty years ago.",2.86084,They're Out To Teach A New World Some Old Tricks.,Tough Guys,"Comedy, Crime",en,US,"prison, train robbery",1986,-0.8790694150478263,-0.10469509456747328,-0.8917276129548708,-1.5015647117381492
37,12000000,Other,Other,7790931,The Best of Times,31.01.1986 00:00,5.9,Robin Williams,5523,Ron Shelton,1986,0,-0.35075575,-40,FALSE,30653,tt0090713,The Best of Times,A small-town loser determines to have one more shot at the big time by winning a football game.,5.655712,"A comedy about life, hope, and getting even.",The Best of Times,Comedy,"en, de",US,sport,1986,-0.7942329051899414,-0.45887264692533225,-0.8926895019026984,-0.718219804264957
38,2000000,Other,Other,7369373,Witchboard,13.03.1987 00:00,5.7,Todd Allen,4744,Kevin Tenney,1986,1,2.6846865,270,FALSE,17994,tt0090327,Witchboard,"Playing around with a Ouija board, a trio of friends succeeds in contacting the spirit of a young boy. Trouble begins when the evil spirit, Malfeitor, takes over one of their bodies.",8.180575,It's more than just a game.,Witchboard,Horror,de,"GB, US","ax, possession, psychic power, ouija, ouija board, evil spirit",1987,-1.2184154544793664,-0.6949910151639053,-0.9049732968265946,-0.010552843803982519
39,14000000,Touchstone Pictures,Other,62134225,Down and Out in Beverly Hills,31.01.1986 00:00,6.1,Nick Nolte,13569,René Fauchois,1986,1,3.438158929,340,FALSE,9941,tt0090966,Down and Out in Beverly Hills,"Beverly Hills couple Barbara and Dave Whiteman are very rich but not happy Dave is a hard working business man, his wife is only interested in yoga, aerobics and other meditation classes, and he sleeps with the house maid. Their teenage son is confused about his sexuality and their daughter is suffering from eating disorders. While they are celebrating thanksgiving having plenty of food, street tramp Jerry is hungry, homeless, sleeping rough and has lost his dog. Jerry decides to end his life by drowning himself in their swimming pool. Dave rescues him and invites him to stay for a while. How does this stranger change the life style of this family?",9.970485,See what happens when a dirty bum meets the filthy rich.,Down and Out in Beverly Hills,Comedy,"en, es",US,"homeless person, swimming pool, wealth, dog, family, extramarital affair",1986,-0.7093963953320563,-0.22275427868676032,-0.7658147728171157,0.49112196754170395
40,18000000,Other,Other,1305114,8 Million Ways to Die,25.04.1986 00:00,5.7,Jeff Bridges,3607,Lawrence Block,1986,0,-0.927493667,-90,FALSE,20858,tt0090568,8 Million Ways to Die,"Scudder is a detective with the Sheriff's Department who is forced to shoot a violent suspect during a narcotics raid. The ensuing psychological aftermath of this shooting worsens his drinking problem and this alcoholism causes him to lose his job, as well as his marriage.",9.328747,Death comes to all except those who deserve it most.,8 Million Ways to Die,Crime,"en, de, es",US,"alcoholic, matt scudder",1986,-0.5397233756162864,-0.6949910151639053,-0.9229022760672493,0.31125605803599804
