,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,title,genres_edited,spoken_languages_edited,keywords_edited,year_released,budget_norm,runtime_norm,score_norm,votes_norm
31,12000000,Columbia Pictures Corporation,USA,Other,Action,15945534,Armed and Dangerous,PG-13,15.08.1986 00:00,88,5.6,John Candy,9040,Brian Grazer,1986,1,0.3287945,30,FALSE,2620,tt0090660,Armed and Dangerous,"Dooley, a cop wrongly sacked for corruption, teams up with a useless defence lawyer in their new careers... as security guards. When the two are made fall guys for a robbery at a location they are guarding, the pair begin to investigate corruption within the company and their union. They soon make enemies of everyone, but can the unlikely duo save the day?",Armed and Dangerous,"Action, Comedy, Crime",en,"corruption, ex-cop, private detective, criminal defence lawyer",1986,-0.7383046400754892,-1.2238458475712963,-0.7796342849258753,-0.8039163170406558
32,1100000,Other,USA,Other,Comedy,1436000,Down by Law,R,30.10.1986 00:00,107,7.8,Tom Waits,39456,Jim Jarmusch,1986,1,0.305454545,30,FALSE,1554,tt0090967,Down by Law,The story of three men from completely different tracks who all meet in a Louisiana prison cell and eventually begin an awkward journey together.,Down by Law,"Crime, Drama, Comedy","en, it","prison, prostitute, pimp, fight, louisiana, independent film, escape, conviction",1986,-1.1992155704034448,0.1264558461452197,1.8188588906198546,-0.2735792038240479
33,10000000,Other,USA,Other,Action,20603715,F/X,R,7.02.1986 00:00,109,6.7,Bryan Brown,14502,Robert T. Megginson,1986,1,1.0603715,110,FALSE,9873,tt0089118,F/X,"A movies special effects man is hired by a government agency to help stage the assassination of a well known gangster. When the agency double cross him, he uses his special effects to trap the gangster and the corrupt agents.",F/X,"Crime, Thriller, Action",en,"corruption, detective, assassin, showdown, fbi, mission of murder, witness protection, stuntman, police, mafia boss, deception, special effects, gunfight, new york city, violence, car chase, disguise, federal agent, makeup artist, manhunt, justice department",1986,-0.8228754529797013,0.2685928665364319,0.5196123028469902,-0.7086802139242331
34,18000000,Other,USA,Other,Sci-Fi,3900000,The Manhattan Project,PG-13,13.06.1986 00:00,117,6.1,John Lithgow,4666,Marshall Brickman,1986,0,-0.783333333,-80,FALSE,30194,tt0091472,The Manhattan Project,"Named after the World War II-era program, the plot revolves around a gifted high school student who decides to construct a nuclear bomb for a national science fair. The film's underlying theme involves the Cold War of the 1980s when government secrecy and mutually assured destruction were key political and military issues.",The Manhattan Project,"Science Fiction, Thriller",en,"bomb, helicopter, plutonium, laser, heist, fugitive, teenager, scientist, nuclear, science, project",1986,-0.48459220136285314,0.8371409481012807,-0.1890676541200276,-0.8801819184744224
35,25000000,Other,USA,Other,Action,1579260,Solarbabies,PG-13,26.11.1986 00:00,94,4.8,Richard Jordan,3397,Walon Green,1986,0,-0.9368296,-90,FALSE,36677,tt0091981,Solarbabies,"In a future in which most water has disappeared from the Earth, we find a group of children, mostly teenagers, who are living at an orphanage, run by the despotic rulers of the new Earth. The group in question plays a hockey based game on roller skates and is quite good. It has given them a unity that transcends the attempts to bring them to heel by the government. Finding an orb of special power, they find it has unusual effects on them. They escape from the orphanage (on skates) and try to cross the wasteland looking for a place they can live free as the storm-troopers search for them and the orb.",Solarbabies,Science Fiction,en,"post-apocalyptic, roller-skating, teenager, dystopic future, drought",1986,-0.188594356198111,-0.7974347863976596,-1.7245408942152312,-0.9023083583965645
36,10000000,Touchstone Pictures,USA,Other,Comedy,21458229,Tough Guys,PG,3.10.1986 00:00,104,6.2,Burt Lancaster,5584,James Orr,1986,1,1.1458229,110,FALSE,11038,tt0092105,Tough Guys,"Harry Doyle (Lancaster) and Archie Lang (Douglas) are two old-time train robbers, who held up a train in 1956 and have been incarcerated for thirty years. After serving their time, they are released from jail and have to adjust to a new life of freedom. Harry and Archie realize that they still have the pizzazz when, picking up their prison checks at a bank, they foil a robbery attempt. Archie, who spent his prison time pumping himself up, easily picks up a 20-year-old aerobics instructor. Harry, on the other hand, has to waste away his days in a nursing home. They both have festering resentments -- Archie for having to endure a humiliating job as a busboy; Harry for having to endure patronizing attitudes toward senior citizens. The two old pals finally go back to what they know best. After successfully robbing an armored car, they decide to rob the same train that they robbed thirty years ago.",Tough Guys,"Comedy, Crime",en,"prison, train robbery",1986,-0.8228754529797013,-0.08674968444159861,-0.07095432795885744,-0.8641755576796812
37,12000000,Other,USA,Other,Comedy,7790931,The Best of Times,PG-13,31.01.1986 00:00,104,5.9,Robin Williams,5523,Ron Shelton,1986,0,-0.35075575,-40,FALSE,30653,tt0090713,The Best of Times,A small-town loser determines to have one more shot at the big time by winning a football game.,The Best of Times,Comedy,"en, de",sport,1986,-0.7383046400754892,-0.08674968444159861,-0.4252943064423658,-0.8652391611747566
38,2000000,Other,Other,Other,Horror,7369373,Witchboard,R,13.03.1987 00:00,98,5.7,Todd Allen,4744,Kevin Tenney,1986,1,2.6846865,270,FALSE,17994,tt0090327,Witchboard,"Playing around with a Ouija board, a trio of friends succeeds in contacting the spirit of a young boy. Trouble begins when the evil spirit, Malfeitor, takes over one of their bodies.",Witchboard,Horror,de,"ax, possession, psychic power, ouija, ouija board, evil spirit",1987,-1.1611587045965495,-0.5131607456152353,-0.6615209587647051,-0.8788219008905555
39,18000000,Other,USA,Other,Action,1305114,8 Million Ways to Die,R,25.04.1986 00:00,115,5.7,Jeff Bridges,3607,Lawrence Block,1986,0,-0.927493667,-90,FALSE,20858,tt0090568,8 Million Ways to Die,"Scudder is a detective with the Sheriff's Department who is forced to shoot a violent suspect during a narcotics raid. The ensuing psychological aftermath of this shooting worsens his drinking problem and this alcoholism causes him to lose his job, as well as his marriage.",8 Million Ways to Die,Crime,"en, de, es","alcoholic, matt scudder",1986,-0.48459220136285314,0.6950039277100686,-0.6615209587647051,-0.898646772593846
40,8000000,Other,USA,Other,Action,11834302,Firewalker,PG,21.11.1986 00:00,104,5.0,Chuck Norris,4752,Robert Gosnell,1986,1,0.47928775,50,FALSE,12715,tt0091055,Firewalker,A pair of adventurers try to track down an ancient Aztec/Mayan/Egyptian/Apache horde of gold.,Firewalker,"Action, Adventure, Comedy","hu, en","secret passage, martial arts, gold, treasure, temple, voodoo, wretch, treasure hunt, jungle, human sacrifice, soldier, drinking, central america, disguise, catfight, pretty woman, aztec indian, wisecrack humor, buddy comedy, bar fight, woman in peril, stranded in the desert",1986,-0.9074462658839133,-0.08674968444159861,-1.4883142418928919,-0.8786824119075948
41,3300000,Other,USA,Other,Comedy,4941117,Vamp,R,18.07.1986 00:00,93,5.9,Chris Makepeace,3909,Donald P. Borchers,1986,1,0.497308182,50,FALSE,34223,tt0092147,Vamp,Two fraternity pledges go to a sleazy bar looking for strippers to entertain their college friends.,Vamp,"Comedy, Horror",en,"female nudity, nudity, vampire, strip club, chase, murder, independent film, gore, violence, fraternity, vixen",1986,-1.1061876762088116,-0.8685032965932658,-0.4252943064423658,-0.8933810634870792
42,15000000,Warner Bros.,USA,Other,Comedy,12308521,Club Paradise,PG-13,11.07.1986 00:00,96,4.9,Robin Williams,5049,Harry Shearer,1986,0,-0.179431933,-20,FALSE,26555,tt0090856,Club Paradise,"When Chicago firefighter Jack Moniker retires and moves to a small Caribbean island, he is befriended by the owner of a run-down resort. Together they renovate the resort and lure tourists to Club Paradise in an effort to fight off corrupt officials and businessmen who want to claim the resort as their own.",Club Paradise,"Comedy, Drama, Romance",en,tropical island,1986,-0.6114484207191712,-0.6552977660064474,-1.6064275680540612,-0.8735038834151785
43,40000000,Universal Pictures,USA,Other,Comedy,49851591,Legal Eagles,PG,20.06.1986 00:00,116,5.9,Robert Redford,8374,Ivan Reitman,1986,1,0.246289775,20,FALSE,9930,tt0091396,Legal Eagles,"District Attorney Tom Logan is set for higher office, at least until he becomes involved with defence lawyer Laura Kelly and her unpredictable client Chelsea Deardon. It seems the least of Chelsea's crimes is the theft of a very valuable painting, but as the women persuade Logan to investigate further and to cut some official corners, a much more sinister scenario starts to emerge.",Legal Eagles,"Comedy, Crime, Drama, Romance, Thriller",en,"court case, client, lawyer, courtroom",1986,0.44568674058347935,0.7660724379056746,-0.4252943064423658,-0.8155287748721347
