id,imdb_id,original_title,popularity,title
11525,tt0116839,Lawnmower Man 2: Beyond Cyberspace,2.49535,Lawnmower Man 2: Beyond Cyberspace
40628,tt0114753,Two Bits,4.046208,Two Bits
4482,tt0113149,Gazon maudit,2.518051,French Twist
10634,tt0113118,Friday,14.56965,Friday
755,tt0116367,From Dusk Till Dawn,15.339153,From Dusk Till Dawn
11859,tt0113010,Fair Game,5.912223,Fair Game
28387,tt0113537,Kicking and Screaming,3.367276,Kicking and Screaming
48750,tt0113828,Les misérables,1.479446,Les Miserables
20927,tt0115644,Bed of Roses,10.412194,Bed of Roses
36929,tt0115676,Big Bully,2.936443,Big Bully
9102,tt0114367,Screamers,12.758848,Screamers
124626,tt0113973,Nico Icon,0.133893,Nico Icon
27526,tt0112744,The Crossing Guard,5.756462,The Crossing Guard
9623,tt0116731,The Juror,6.010579,The Juror
46785,tt0112445,بادکنک سفید,1.196256,The White Balloon
400,tt0114660,Things to Do in Denver When You're Dead,4.486179,Things to Do in Denver When You're Dead
880,tt0112379,Antonia,2.030174,Antonia's Line
146599,tt0114039,Once Upon a Time... When We Were Colored,0.252287,Once Upon a Time... When We Were Colored
188588,tt0113612,Last Summer in the Hamptons,0.531159,Last Summer in the Hamptons
8447,tt0112365,Angels and Insects,2.15166,Angels and Insects
10534,tt0118158,White Squall,9.568604,White Squall
17414,tt0116151,Dunston Checks In,4.814825,Dunston Checks In
13997,tt0115697,Black Sheep,8.963037,Black Sheep
2086,tt0113972,Nick of Time,6.848591,Nick of Time
61548,tt0113490,The Journey of August King,0.411424,The Journey of August King
9095,tt0117002,Mary Reilly,12.866139,Mary Reilly
12158,tt0114825,Vampire in Brooklyn,9.071127,Vampire in Brooklyn
9283,tt0115639,Beautiful Girls,4.670562,Beautiful Girls
9208,tt0115759,Broken Arrow,14.957626,Broken Arrow
40154,tt0113403,A Midwinter's Tale,0.513391,A Midwinter's Tale
406,tt0113247,La Haine,12.108196,La Haine
45549,tt0111173,Shopping,2.657647,Shopping
63076,tt0113283,Heidi Fleiss: Hollywood Madam,0.638211,Heidi Fleiss: Hollywood Madam
11062,tt0115907,City Hall,4.807223,City Hall
13685,tt0115734,Bottle Rocket,6.904831,Bottle Rocket
47475,tt0117102,Mr. Wrong,3.329264,Mr. Wrong
2045,tt0118040,Unforgettable,2.464425,Unforgettable
9614,tt0116483,Happy Gilmore,9.592265,Happy Gilmore
688,tt0112579,The Bridges of Madison County,5.951077,The Bridges of Madison County
11907,tt0110251,Keiner liebt mich,1.015068,Nobody Loves Me
10874,tt0117110,Muppet Treasure Island,6.902423,Muppet Treasure Island
89333,tt0112646,Catwalk,0.976707,Catwalk
96357,tt0113276,Headless Body in Topless Bar,0.001346,Headless Body in Topless Bar
197,tt0112573,Braveheart,20.755149,Braveheart
103,tt0075314,Taxi Driver,14.092713,Taxi Driver
33542,tt0113326,紅番區,12.314278,Rumble in the Bronx
43566,tt0115645,Before and After,2.938293,Before and After
71754,tt0113774,Margaret's Museum,0.372697,Margaret's Museum
43612,tt0112556,Le Bonheur est dans le pré,1.254885,Happiness Is in the Field
51352,tt0112373,Anne Frank Remembered,0.243986,Anne Frank Remembered
16934,tt0115033,The Young Poisoner's Handbook,6.178497,The Young Poisoner's Handbook
10324,tt0116606,If Lucy Fell,2.891918,If Lucy Fell
78406,tt0114536,Steal Big Steal Little,1.522412,Steal Big Steal Little
55731,tt0117427,Race the Sun,1.317878,Race the Sun
32119,tt0106473,The Boys of St. Vincent,0.86539,The Boys of St. Vincent
11066,tt0103859,Boomerang,6.506983,Boomerang
11104,tt0109424,重慶森林,6.778979,Chungking Express
37975,tt0114808,L'uomo delle stelle,1.702639,The Star Maker
2074,tt0116324,Flirting with Disaster,5.579088,Flirting with Disaster
27793,tt0110647,The NeverEnding Story III,6.252377,The Neverending Story III: Escape from Fantasia
44284,tt0111055,صمت القصور,0.406754,The Silences of the Palace
290157,tt0110217,Jupiter's Wife,0.001178,Jupiter's Wife
110972,tt0114131,Pie in the Sky,0.699066,Pie in the Sky
32622,tt0112364,Angela,2.197439,Angela
73067,tt0113107,Frankie Starlight,0.637554,Frankie Starlight
11863,tt0113451,Jade,11.418917,Jade
55475,tt0114015,Nueba Yol,0.291021,Nueba Yol
124636,tt0114500,Sonic Outlaws,0.001838,Sonic Outlaws
9101,tt0116130,Down Periscope,5.184977,Down Periscope
123360,tt0113125,From the Journals of Jean Seberg,0.276401,From the Journals of Jean Seberg
5757,tt0113756,Man of the Year,0.540436,Man of the Year
39428,tt0113952,The Neon Bible,0.370342,The Neon Bible
124639,tt0114618,Target,0.001205,Target
9302,tt0118055,Up Close & Personal,3.402749,Up Close & Personal
11000,tt0115685,The Birdcage,6.49968,The Birdcage
249882,tt0113200,Gospa,0.918504,Virgin Mary
16388,tt0112585,The Brothers McMullen,2.039196,The Brothers McMullen
9737,tt0112442,Bad Boys,9.262184,Bad Boys
30765,tt0112342,The Amazing Panda Adventure,2.375865,The Amazing Panda Adventure
10474,tt0112461,The Basketball Diaries,7.415144,The Basketball Diaries
22279,tt0112427,An Awfully Big Adventure,0.922958,An Awfully Big Adventure
30157,tt0109093,Amateur,1.759012,Amateur
568,tt0112384,Apollo 13,18.761467,Apollo 13
11780,tt0114287,Rob Roy,10.193549,Rob Roy
34996,tt0112288,The Addiction,3.137285,The Addiction
414,tt0112462,Batman Forever,13.321354,Batman Forever
649,tt0061395,Belle de jour,10.142662,Belle de Jour
1873,tt0112495,Beyond Rangoon,2.04189,Beyond Rangoon
5894,tt0112541,Blue in the Face,11.528147,Blue in the Face
1775,tt0109370,Canadian Bacon,5.391556,Canadian Bacon
8839,tt0112642,Casper,12.812539,Casper
20649,tt0112688,Clockers,4.558992,Clockers
10329,tt0112715,Congo,7.260574,Congo
8963,tt0112740,Crimson Tide,8.657365,Crimson Tide
26564,tt0109508,Crumb,3.620388,Crumb
8068,tt0112851,Desperado,6.950458,Desperado
8512,tt0112857,Devil in a Blue Dress,4.646132,Devil in a Blue Dress
1572,tt0112864,Die Hard: With a Vengeance,15.138855,Die Hard: With a Vengeance
13552,tt0112887,The Doom Generation,7.120806,The Doom Generation
259209,tt0113044,Feast of July,0.523575,Feast of July
6520,tt0113071,First Knight,15.178338,First Knight
9073,tt0113114,Free Willy 2 - The Adventure Home,7.575098,Free Willy 2 - The Adventure Home
10428,tt0113243,Hackers,14.810519,Hackers
17447,tt0113464,Jeffrey,3.196456,Jeffrey
9886,tt0113481,Johnny Mnemonic,11.715868,Johnny Mnemonic
9482,tt0113492,Judge Dredd,8.184815,Judge Dredd
19326,tt0113500,Jury Duty,3.676921,Jury Duty
9344,tt0113540,Kids,4.877872,Kids
9071,tt0113677,Living in Oblivion,10.058329,Living in Oblivion
8973,tt0113690,Lord of Illusions,4.102409,Lord of Illusions
15730,tt0107447,Love & Human Remains,0.354014,Love & Human Remains
47608,tt0113729,Mad Love,2.624771,Mad Love
2293,tt0113749,Mallrats,8.25547,Mallrats
9070,tt0113820,Mighty Morphin Power Rangers: The Movie,7.024227,Mighty Morphin Power Rangers: The Movie
68274,tt0113851,Moonlight and Valentino,1.01115,Moonlight and Valentino
48787,tt0110604,Mute Witness,2.466066,Mute Witness
34574,tt0110620,Nadja,7.720056,Nadja
1642,tt0113957,The Net,13.304342,The Net
11472,tt0113986,Nine Months,8.482834,Nine Months
36196,tt0114095,Party Girl,1.165039,Party Girl
11980,tt0114194,The Prophecy,10.187623,The Prophecy
58372,tt0114241,Reckless,0.119713,Reckless
32646,tt0114323,Safe,8.180047,Safe
10533,tt0114345,The Scarlet Letter,6.752119,The Scarlet Letter
56088,tt0114435,The Show,0.159596,The Show
10802,tt0114436,Showgirls,17.502375,Showgirls
10149,tt0114478,Smoke,5.552946,Smoke
18402,tt0114496,Something to Talk About,3.743212,Something to Talk About
9348,tt0114508,Species,13.492845,Species
139408,tt0114534,The Stars Fell on Henrietta,0.913522,The Stars Fell on Henrietta
281,tt0114558,Strange Days,11.223055,Strange Days
5967,tt0058450,Les parapluies de Cherbourg,8.133881,The Umbrellas of Cherbourg
79593,tt0114666,The Tie That Binds,1.820419,The Tie That Binds
47939,tt0114663,Three Wishes,11.002046,Three Wishes
36834,tt0114702,Total Eclipse,4.546552,Total Eclipse
9090,tt0114682,"To Wong Foo, Thanks for Everything! Julie Newmar",7.653446,"To Wong Foo, Thanks for Everything! Julie Newmar"
3512,tt0114781,Under Siege 2: Dark Territory,7.490247,Under Siege 2: Dark Territory
52856,tt0114798,Unstrung Heroes,2.881689,Unstrung Heroes
77350,tt0114805,Unzipped,0.786023,Unzipped
9560,tt0114887,A Walk in the Clouds,9.715639,A Walk in the Clouds
9804,tt0114898,Waterworld,16.885184,Waterworld
31611,tt0114928,White Man's Burden,1.834099,White Man's Burden
65796,tt0114938,Wild Bill,8.922139,Wild Bill
49805,tt0109340,The Browning Version,3.727644,The Browning Version
26258,tt0112602,Bushwhacked,3.287036,Bushwhacked
50797,tt0111579,Утомлённые солнцем,2.486073,Burnt by the Sun
19155,tt0110882,Before the Rain,3.525649,Before the Rain
76,tt0112471,Before Sunrise,11.304979,Before Sunrise
11017,tt0112508,Billy Madison,6.638116,Billy Madison
37141,tt0112438,The Babysitter,2.761837,The Babysitter
9382,tt0112571,Boys on the Side,3.030309,Boys on the Side
6715,tt0112757,The Cure,2.686342,The Cure
18256,tt0112643,Castle Freak,2.26977,Castle Freak
22625,tt0112679,Circle of Friends,2.605521,Circle of Friends
2292,tt0109445,Clerks,10.513367,Clerks
1909,tt0112883,Don Juan DeMarco,7.438934,Don Juan DeMarco
8984,tt0109635,Disclosure,11.812244,Disclosure
61813,tt0112899,Dream Man,0.155859,Dream Man
4954,tt0109676,Drop Zone,9.579155,Drop Zone
62488,tt0112854,Destiny Turns on the Radio,0.710671,Destiny Turns on the Radio
10531,tt0109579,Death and the Maiden,5.484156,Death and the Maiden
11929,tt0109642,Dolores Claiborne,5.8025,Dolores Claiborne
8467,tt0109686,Dumb and Dumber,9.844558,Dumb and Dumber
10451,tt0111797,飲食男女,4.860016,Eat Drink Man Woman
20156,tt0109759,Exotica,5.378467,Exotica
18395,tt0109758,Exit to Eden,4.322726,Exit to Eden
522,tt0109707,Ed Wood,11.720358,Ed Wood
397,tt0113117,French Kiss,9.146544,French Kiss
10525,tt0113097,Forget Paris,16.236745,Forget Paris
27985,tt0113028,Far from Home: The Adventures of Yellow Dog,2.657337,Far from Home: The Adventures of Yellow Dog
15789,tt0113198,A Goofy Movie,10.177977,A Goofy Movie
27303,tt0113303,Hideaway,8.182165,Hideaway
21183,tt0113089,Fluke,4.953936,Fluke
10954,tt0109771,Farinelli,8.935058,Farinelli
47867,tt0113199,Gordy,0.398924,Gordy
43475,tt0113234,Gumby: The Movie,0.090452,Gumby: The Movie
72031,tt0109906,The Glass Shield,1.012197,The Glass Shield
14275,tt0110057,Hoop Dreams,9.47666,Hoop Dreams
1024,tt0110005,Heavenly Creatures,9.438042,Heavenly Creatures
17207,tt0110066,Houseguest,2.688562,Houseguest
13701,tt0110116,Immortal Beloved,7.983666,Immortal Beloved
14819,tt0110006,Heavyweights,9.546707,Heavyweights
32631,tt0113360,The Hunted,2.756986,The Hunted
11777,tt0110099,I.Q.,5.146352,I.Q.
628,tt0110148,Interview with the Vampire,11.970205,Interview with the Vampire
87729,tt0113463,Jefferson in Paris,1.596058,Jefferson in Paris
18713,tt0110189,The Jerky Boys,0.748846,The Jerky Boys
6280,tt0110216,Junior,6.710215,Junior
9061,tt0113501,Just Cause,9.195256,Just Cause
37108,tt0113538,A Kid in King Arthur's Court,5.874511,A Kid in King Arthur's Court
6071,tt0113552,Kiss of Death,7.797512,Kiss of Death
11,tt0076759,Star Wars,42.149697,Star Wars
9587,tt0110367,Little Women,9.774994,Little Women
19101,tt0113670,A Little Princess,7.731725,A Little Princess
49980,tt0110296,Ladybird Ladybird,0.84508,Ladybird Ladybird
17961,tt0109731,L'Enfer,1.948315,L'Enfer
18183,tt0103994,Como agua para chocolate,4.126083,Like Water for Chocolate
4476,tt0110322,Legends of the Fall,12.199047,Legends of the Fall
11008,tt0110443,Major Payne,9.253362,Major Payne
47504,tt0110365,Little Odessa,1.861292,Little Odessa
32325,tt0107566,Mi Vida Loca,1.788829,Mi Vida Loca
43742,tt0110391,Love Affair,3.290192,Love Affair
28313,tt0113691,Losing Isaiah,7.698526,Losing Isaiah
11318,tt0110428,The Madness of King George,4.81307,The Madness of King George
3036,tt0109836,Frankenstein,14.287753,Mary Shelley's Frankenstein
40490,tt0113755,Man of the House,2.558118,Man of the House
24070,tt0110538,Mixed Nuts,2.899608,Mixed Nuts
8986,tt0110516,Milk Money,3.770115,Milk Money
10510,tt0110527,Miracle on 34th Street,5.831622,Miracle on 34th Street
17402,tt0113808,Miami Rhapsody,1.137266,Miami Rhapsody
38722,tt0113896,My Family,3.121288,My Family
8438,tt0113870,Murder in the First,9.518564,Murder in the First
11593,tt0110684,Nobody's Fool,2.891269,Nobody's Fool
1945,tt0110638,Nell,5.930957,Nell
39310,tt0113967,New Jersey Drive,0.629955,New Jersey Drive
109560,tt0117169,New York Cop,0.004537,New York Cop
56428,tt0106402,Beyond Bedlam,0.426952,Beyond Bedlam
63105,tt0113948,Nemesis 2 - Nebula,1.466491,Nemesis 2 - Nebula
131957,tt0110671,Nina Takes a Lover,0.769522,Nina Takes a Lover
241,tt0110632,Natural Born Killers,11.226856,Natural Born Killers
9058,tt0110737,Only You,4.936761,Only You
527,tt0110729,Once Were Warriors,4.025276,Once Were Warriors
18220,tt0114151,Poison Ivy II: Lily,6.448039,Poison Ivy II: Lily
6950,tt0114069,Outbreak,13.676444,Outbreak
101,tt0110413,Léon,20.477329,Leon: The Professional
63020,tt0114113,The Perez Family,1.433544,The Perez Family
2307,tt0114210,A Pyromaniac's Love Story,0.463307,A Pyromaniac's Love Story
680,tt0110912,Pulp Fiction,140.950236,Pulp Fiction
41478,tt0114084,Panther,7.160149,Panther
25296,tt0105652,Pushing Hands,1.638622,Pushing Hands
40156,tt0110889,Priest,1.881932,Priest
11450,tt0110932,Quiz Show,7.772505,Quiz Show
30304,tt0114129,Picture Bride,1.296912,Picture Bride
10452,tt0110963,La Reine Margot,4.405405,Queen Margot
12106,tt0114214,The Quick and the Dead,7.54701,The Quick and the Dead
161495,tt0114296,Roommates,3.395867,Roommates
3586,tt0110907,Prêt-à-Porter,6.259433,Prêt-à-Porter
110,tt0111495,Trois couleurs : Rouge,7.832755,Three Colors: Red
108,tt0108394,Trois couleurs : Bleu,8.843517,Three Colors: Blue
109,tt0111507,Trois couleurs : Blanc,6.5898,Three Colors: White
159185,tt0110769,Pao Da Shuang Deng,0.078257,"Red Firecracker, Green Firecracker"
36357,tt0114268,Rent-a-Kid,1.155255,Rent-a-Kid
92769,tt0110965,Relative Fear,0.499601,Relative Fear
28033,tt0114571,Stuart Saves His Family,1.390885,Stuart Saves His Family
22586,tt0111333,The Swan Princess,8.910462,The Swan Princess
14334,tt0111112,The Secret of Roan Inish,1.750481,The Secret of Roan Inish
2636,tt0111255,The Specialist,10.388183,The Specialist
2164,tt0111282,Stargate,13.328924,Stargate
11395,tt0111070,The Santa Clause,9.665424,The Santa Clause
278,tt0111161,The Shawshank Redemption,51.645403,The Shawshank Redemption
9905,tt0111149,Shallow Grave,8.223026,Shallow Grave
87078,tt0108260,Suture,1.298224,Suture
12527,tt0106966,Fresa y chocolate,1.777197,Strawberry and Chocolate
20306,tt0114594,Swimming with Sharks,5.869261,Swimming with Sharks
36614,tt0111309,The Sum of Us,1.407427,The Sum of Us
27993,tt0113936,Senior Trip,5.05806,Senior Trip
31439,tt0110081,活着,5.260627,To Live
9067,tt0114614,Tank Girl,7.602087,Tank Girl
9059,tt0114608,Tales from the Crypt: Demon Knight,9.455342,Tales from the Crypt: Demon Knight
193,tt0111280,Star Trek: Generations,8.105708,Star Trek: Generations
25066,tt0114609,Tales from the Hood,2.86007,Tales from the Hood
46797,tt0111454,Tom & Viv,0.704204,Tom & Viv
12122,tt0114852,Village of the Damned,6.529879,Village of the Damned
11381,tt0114694,Tommy Boy,11.971318,Tommy Boy
32636,tt0111590,Vanya on 42nd Street,7.039846,Vanya on 42nd Street
36141,tt0114788,The Underneath,2.059771,The Underneath
95963,tt0114888,The Walking Dead,0.620873,The Walking Dead
1587,tt0108550,What's Eating Gilbert Grape,10.3919,What's Eating Gilbert Grape
9271,tt0114857,Virtuosity,5.188399,Virtuosity
2064,tt0114924,While You Were Sleeping,15.783615,While You Were Sleeping
19855,tt0111667,The War,3.908596,The War
60855,tt0109655,Double Happiness,0.372239,Double Happiness
236,tt0110598,Muriel's Wedding,5.254847,Muriel's Wedding
48287,tt0112435,The Baby-Sitters Club,2.15805,The Baby-Sitters Club
3049,tt0109040,Ace Ventura: Pet Detective,11.247957,Ace Ventura: Pet Detective
2759,tt0109045,"The Adventures of Priscilla, Queen of the Desert",8.328596,"The Adventures of Priscilla, Queen of the Desert"
12635,tt0106339,Backbeat,2.487951,Backbeat
10497,tt0104779,Bitter Moon,11.298195,Bitter Moon
11382,tt0109348,Bullets Over Broadway,5.72288,Bullets Over Broadway
9331,tt0109444,Clear and Present Danger,7.513245,Clear and Present Danger
10731,tt0109446,The Client,15.263829,The Client
10464,tt0109484,"Corrina, Corrina",6.924689,"Corrina, Corrina"
34152,tt0109504,Crooklyn,2.533022,Crooklyn
9495,tt0109506,The Crow,15.799336,The Crow
29973,tt0109450,Cobb,2.583363,Cobb
888,tt0109813,The Flintstones,15.019586,The Flintstones
13,tt0109830,Forrest Gump,48.307194,Forrest Gump
712,tt0109831,Four Weddings and a Funeral,8.990345,Four Weddings and a Funeral
16295,tt0113305,Higher Learning,7.817811,Higher Learning
48992,tt0110091,I Like It Like That,0.289295,I Like It Like That
10879,tt0110093,I Love Trouble,3.570874,I Love Trouble
10660,tt0110167,It Could Happen to You,11.272073,It Could Happen to You
10714,tt0110213,The Jungle Book,10.714235,The Jungle Book
41647,tt0107472,Die Macht der Bilder: Leni Riefenstahl,0.568884,"The Wonderful, Horrible Life of Leni Riefenstahl"
8587,tt0110357,The Lion King,21.605761,The Lion King
1689,tt0107426,Little Buddha,5.681522,Little Buddha
11596,tt0111686,New Nightmare,9.860522,New Nightmare
854,tt0110475,The Mask,14.13488,The Mask
9359,tt0110478,Maverick,15.050326,Maverick
23333,tt0110588,Mrs. Parker and the Vicious Circle,4.739054,Mrs. Parker and the Vicious Circle
36593,tt0110622,The Naked Gun 33⅓: The Final Insult,10.587232,The Naked Gun 33⅓: The Final Insult
12280,tt0110771,The Paper,4.006063,The Paper
2788,tt0110950,Reality Bites,6.514592,Reality Bites
10427,tt0105226,Red Rock West,5.137903,Red Rock West
11011,tt0110989,Ri¢hie Ri¢h,6.595255,Ri¢hie Ri¢h
49803,tt0111054,Safe Passage,4.931565,Safe Passage
8987,tt0110997,The River Wild,10.511241,The River Wild
1637,tt0111257,Speed,10.859292,Speed
15128,tt0111256,Speechless,2.334226,Speechless
8831,tt0111438,Timecop,8.907074,Timecop
36955,tt0111503,True Lies,11.396099,True Lies
10449,tt0111693,When a Man Loves a Woman,4.322544,When a Man Loves a Woman
10395,tt0111742,Wolf,14.063845,Wolf
12160,tt0111756,Wyatt Earp,9.277147,Wyatt Earp
40480,tt0112443,Bad Company,0.912415,Bad Company
52038,tt0110455,A Man of No Importance,0.406113,A Man of No Importance
29444,tt0111048,S.F.W.,2.504529,S.F.W.
26352,tt0110399,A Low Down Dirty Shame,3.021526,A Low Down Dirty Shame
39953,tt0112570,"Boys Life: Three Stories of Love, Lust, and Liberation",0.054148,"Boys Life: Three Stories of Love, Lust, and Liberation"
41580,tt0109454,Le colonel Chabert,0.934312,Colonel Chabert
315,tt0059170,"Faster, Pussycat! Kill! Kill!",4.220541,"Faster, Pussycat! Kill! Kill!"
22067,tt0110186,Jason's Lyric,0.912909,Jason's Lyric
18242,tt0108069,The Secret Adventures of Tom Thumb,0.381704,The Secret Adventures of Tom Thumb
11667,tt0111301,Street Fighter,13.58449,Street Fighter
32502,tt0112702,Coldblooded,2.342756,Coldblooded
267188,tt0112849,Desert Winds,0.251223,Desert Winds
28732,tt0113014,Fall Time,1.108494,Fall Time
75555,tt0113043,The Fear,0.268043,The Fear
42981,tt0113104,Frank and Ollie,0.142357,Frank and Ollie
278939,tt0113173,Girl in the Cadillac,0.405392,Girl in the Cadillac
291731,tt0113319,Homage,0.014925,Homage
226229,tt0113827,Mirage,0.302957,Mirage
203119,tt0114047,Open Season,0.012456,Open Season
172923,tt0112889,Dos Crímenes,0.233376,Dos Crímenes
316098,tt0109339,Brother Minister: The Assassination of Malcolm X,0.0368,Brother Minister: The Assassination of Malcolm X
8011,tt0110027,Highlander III: The Sorcerer,6.866634,Highlander: The Final Dimension
171857,tt0109785,Federal Hill,0.100685,Federal Hill
2654,tt0113409,In the Mouth of Madness,8.497643,In the Mouth of Madness
18069,tt0109021,8 Seconds,1.888534,8 Seconds
19092,tt0109035,Above the Rim,4.38154,Above the Rim
2758,tt0106220,Addams Family Values,17.555909,Addams Family Values
38129,tt0111804,Martin Lawrence: You So Crazy,0.394194,Martin Lawrence: You So Crazy
10436,tt0106226,The Age of Innocence,8.013617,The Age of Innocence
13595,tt0109068,Airheads,7.09232,Airheads
46094,tt0109067,The Air Up There,1.896273,The Air Up There
9409,tt0106292,Another Stakeout,12.967239,Another Stakeout
11853,tt0109198,Bad Girls,14.644772,Bad Girls
16771,tt0109219,Barcelona,1.632711,Barcelona
46924,tt0106379,Being Human,2.783872,Being Human
11041,tt0106400,The Beverly Hillbillies,5.673735,The Beverly Hillbillies
306,tt0109254,Beverly Hills Cop III,11.787784,Beverly Hills Cop III
14522,tt0109279,Black Beauty,8.398845,Black Beauty
26203,tt0109297,Blink,3.00282,Blink
178,tt0109303,Blown Away,13.155071,Blown Away
19819,tt0109305,Blue Chips,6.131056,Blue Chips
57834,tt0109306,Blue Sky,4.993829,Blue Sky
4722,tt0106452,Body Snatchers,6.559693,Body Snatchers
18215,tt0106471,Boxing Helena,4.304224,Boxing Helena
1607,tt0106489,A Bronx Tale,6.115628,A Bronx Tale
26391,tt0109361,Cabin Boy,1.679042,Cabin Boy
117553,tt0106505,Calendar Girl,1.316741,Calendar Girl
6075,tt0106519,Carlito's Way,8.698509,Carlito's Way
11310,tt0109439,City Slickers II: The Legend of Curly's Gold,8.605703,City Slickers II: The Legend of Curly's Gold
18658,tt0109443,Clean Slate,2.724621,Clean Slate
9350,tt0106582,Cliffhanger,9.830853,Cliffhanger
9612,tt0106598,Coneheads,10.722729,Coneheads
2124,tt0109456,Color of Night,14.228963,Color of Night
26261,tt0109480,Cops & Robbersons,7.042878,Cops & Robbersons
19176,tt0109493,The Cowboy Way,4.286279,The Cowboy Way
49299,tt0106660,Dangerous Game,2.70097,Dangerous Game
11566,tt0106673,Dave,13.696394,Dave
9571,tt0106677,Dazed and Confused,6.8652,Dazed and Confused
9739,tt0106697,Demolition Man,11.626116,Demolition Man
24257,tt0109729,The Endless Summer 2,0.408159,The Endless Summer 2
34444,tt0106834,Even Cowgirls Get the Blues,2.970724,Even Cowgirls Get the Blues
26141,tt0106873,Fatal Instinct,3.555139,Fatal Instinct
10997,tt0106332,霸王别姬,4.875827,Farewell My Concubine
50463,tt0109783,The Favor,1.344876,The Favor
10443,tt0106881,Fearless,9.284624,Fearless
20239,tt0106880,Fear of a Black Hat,0.985441,Fear of a Black Hat
16297,tt0111732,With Honors,2.969003,With Honors
18551,tt0106926,Flesh and Bone,1.896869,Flesh and Bone
25440,tt0111712,Widows' Peak,0.409427,Widows' Peak
9024,tt0106941,For Love or Money,8.468869,For Love or Money
37233,tt0106918,The Firm,9.678367,The Firm
1634,tt0106965,Free Willy,5.990572,Free Willy
13815,tt0109842,Fresh,3.970215,Fresh
5503,tt0106977,The Fugitive,10.08937,The Fugitive
