,budget,gross,name,released,runtime,score,votes,year,isprofit,profitability_ratio,profitability_ratio_bucket,id,imdb_id,original_title,popularity,title,year_released
12,15000000,8620929,Manhunter,15.08.1986 00:00,120,7.2,54000,1986,0,-0.4252714,-40,11454,tt0091474,Manhunter,0.338943,Manhunter,1986
13,10000000,7433663,Maximum Overdrive,25.07.1986 00:00,98,5.4,24881,1986,0,-0.2566337,-30,9980,tt0091499,Maximum Overdrive,6.614078,Maximum Overdrive,1986
14,25000000,38747385,Little Shop of Horrors,19.12.1986 00:00,94,6.9,53327,1986,1,0.5498954,50,10776,tt0091419,Little Shop of Horrors,7.409179,Little Shop of Horrors,1986
15,2700000,3500000,The Wraith,21.11.1986 00:00,93,5.9,11635,1986,1,0.296296296,30,10017,tt0092240,The Wraith,7.657918,The Wraith,1986
16,35000000,16295774,Howard the Duck,1.08.1986 00:00,110,4.6,36020,1986,0,-0.534406457,-50,10658,tt0091225,Howard the Duck,10.722672,Howard the Duck,1986
17,2000000,13167232,Critters,11.04.1986 00:00,82,6,25517,1986,1,5.583616,560,3980,tt0090887,Critters,10.113807,Critters,1986
18,11000000,91258000,Back to School,13.06.1986 00:00,96,6.6,23120,1986,1,7.296181818,730,15596,tt0090685,Back to School,6.669879,Back to School,1986
19,4700000,8025872,The Texas Chainsaw Massacre 2,22.08.1986 00:00,89,5.6,21253,1986,1,0.70763234,70,16337,tt0092076,The Texas Chainsaw Massacre 2,9.501011,The Texas Chainsaw Massacre 2,1986
20,15000000,42724017,Heartbreak Ridge,5.12.1986 00:00,130,6.8,32954,1986,1,1.8482678,180,10015,tt0091187,Heartbreak Ridge,7.390012,Heartbreak Ridge,1986
21,25000000,109713132,Star Trek IV: The Voyage Home,26.11.1986 00:00,119,7.3,66366,1986,1,3.38852528,340,168,tt0092007,Star Trek IV: The Voyage Home,12.596956,Star Trek IV: The Voyage Home,1986
22,25000000,79817937,The Golden Child,12.12.1986 00:00,94,5.9,42997,1986,1,2.19271748,220,10136,tt0091129,The Golden Child,8.236472,The Golden Child,1986
23,1900000,4600000,River's Edge,8.05.1987 00:00,99,7.1,12862,1986,1,1.421052632,140,21309,tt0091860,River's Edge,4.482439,River's Edge,1987
24,25000000,39246734,¡Three Amigos!,12.12.1986 00:00,104,6.4,57406,1986,1,0.56986936,60,8388,tt0092086,¡Three Amigos!,6.377624,¡Three Amigos!,1986
25,13800000,52293982,The Color of Money,17.10.1986 00:00,119,7,62495,1986,1,2.789418986,280,11873,tt0090863,The Color of Money,11.613655,The Color of Money,1986
26,10000000,37499651,The Money Pit,26.03.1986 00:00,91,6.3,41278,1986,1,2.7499651,270,10466,tt0091541,The Money Pit,7.054864,The Money Pit,1986
27,25000000,14302779,The Mosquito Coast,26.11.1986 00:00,117,6.6,23076,1986,0,-0.42788884,-40,11120,tt0091557,The Mosquito Coast,6.224859,The Mosquito Coast,1986
28,10000000,4711220,King Kong Lives,19.12.1986 00:00,105,3.8,4401,1986,0,-0.528878,-50,31947,tt0091344,King Kong Lives,2.663294,King Kong Lives,1986
29,4500000,1261000,From Beyond,24.10.1986 00:00,86,6.7,16636,1986,0,-0.719777778,-70,14510,tt0091083,From Beyond,7.522655,From Beyond,1986
30,18000000,41382841,Peggy Sue Got Married,10.10.1986 00:00,103,6.3,28529,1986,1,1.299046722,130,10013,tt0091738,Peggy Sue Got Married,7.471655,Peggy Sue Got Married,1986
31,19000000,40996665,Poltergeist II: The Other Side,23.05.1986 00:00,91,5.7,20669,1986,1,1.157719211,120,11133,tt0091778,Poltergeist II: The Other Side,6.701138,Poltergeist II: The Other Side,1986
32,1100000,5450815,Troll,17.01.1986 00:00,82,4.3,7569,1986,1,3.955286364,400,33061,tt0092115,Troll,10.254424,Troll,1986
33,111000,609939,Henry: Portrait of a Serial Killer,7.09.1990 00:00,83,7,25367,1986,1,4.494945946,450,10692,tt0099763,Henry: Portrait of a Serial Killer,10.072668,Henry: Portrait of a Serial Killer,1990
34,18000000,9697739,SpaceCamp,6.06.1986 00:00,107,5.6,11484,1986,0,-0.461236722,-50,13766,tt0091993,SpaceCamp,6.41742,SpaceCamp,1986
35,6400000,40084041,Hannah and Her Sisters,14.03.1986 00:00,107,8,56988,1986,1,5.263131406,530,5143,tt0091167,Hannah and Her Sisters,9.57874,Hannah and Her Sisters,1986
36,14000000,38600000,The Great Mouse Detective,2.07.1986 00:00,74,7.2,36539,1986,1,1.757142857,180,9994,tt0091149,The Great Mouse Detective,11.183924,The Great Mouse Detective,1986
37,6000000,5849647,The Transformers: The Movie,8.08.1986 00:00,84,7.3,33609,1986,0,-0.025058833,0,1857,tt0092106,The Transformers: The Movie,6.759181,The Transformers: The Movie,1986
38,5000000,591366,Night of the Creeps,22.08.1986 00:00,88,6.8,16077,1986,0,-0.8817268,-90,15762,tt0091630,Night of the Creeps,5.460546,Night of the Creeps,1986
39,6000000,28607524,Hoosiers,27.02.1987 00:00,114,7.6,36604,1986,1,3.767920667,380,5693,tt0091217,Hoosiers,6.484495,Hoosiers,1987
40,6500000,2347000,At Close Range,18.04.1986 00:00,111,7,11607,1986,0,-0.638923077,-60,13715,tt0090670,At Close Range,10.092348,At Close Range,1986
41,20000000,25314289,Heartburn,25.07.1986 00:00,108,6.1,7570,1986,1,0.26571445,30,13818,tt0091188,Heartburn,16.071191,Heartburn,1986
42,15000000,1953732,The Clan of the Cave Bear,17.01.1986 00:00,98,5.3,5340,1986,0,-0.8697512,-90,13853,tt0090848,The Clan of the Cave Bear,10.750748,The Clan of the Cave Bear,1986
43,12000000,17768900,The Delta Force,14.02.1986 00:00,125,5.6,15819,1986,1,0.480741667,50,16113,tt0090927,The Delta Force,7.224683,The Delta Force,1986
44,18000000,36611610,Gung Ho,14.03.1986 00:00,112,6.2,9965,1986,1,1.033978333,100,13698,tt0091159,Gung Ho,6.853782,Gung Ho,1986
45,175000,7137502,She's Gotta Have It,8.08.1986 00:00,84,6.6,5257,1986,1,39.78572571,3979,27995,tt0091939,She's Gotta Have It,7.056652,She's Gotta Have It,1986
46,8700000,4865912,Band of the Hand,11.04.1986 00:00,109,6.3,2297,1986,0,-0.44069977,-40,33762,tt0090693,Band of the Hand,4.397712,Band of the Hand,1986
47,12000000,15945534,Armed and Dangerous,15.08.1986 00:00,88,5.6,9040,1986,1,0.3287945,30,2620,tt0090660,Armed and Dangerous,5.037671,Armed and Dangerous,1986
48,1100000,1436000,Down by Law,30.10.1986 00:00,107,7.8,39456,1986,1,0.305454545,30,1554,tt0090967,Down by Law,8.843551,Down by Law,1986
49,10000000,20603715,F/X,7.02.1986 00:00,109,6.7,14502,1986,1,1.0603715,110,9873,tt0089118,F/X,6.620556,F/X,1986
50,18000000,3900000,The Manhattan Project,13.06.1986 00:00,117,6.1,4666,1986,0,-0.783333333,-80,30194,tt0091472,The Manhattan Project,4.29831,The Manhattan Project,1986
51,25000000,1579260,Solarbabies,26.11.1986 00:00,94,4.8,3397,1986,0,-0.9368296,-90,36677,tt0091981,Solarbabies,1.278665,Solarbabies,1986
52,10000000,21458229,Tough Guys,3.10.1986 00:00,104,6.2,5584,1986,1,1.1458229,110,11038,tt0092105,Tough Guys,2.86084,Tough Guys,1986
53,12000000,7790931,The Best of Times,31.01.1986 00:00,104,5.9,5523,1986,0,-0.35075575,-40,30653,tt0090713,The Best of Times,5.655712,The Best of Times,1986
54,2000000,7369373,Witchboard,13.03.1987 00:00,98,5.7,4744,1986,1,2.6846865,270,17994,tt0090327,Witchboard,8.180575,Witchboard,1987
55,14000000,62134225,Down and Out in Beverly Hills,31.01.1986 00:00,103,6.1,13569,1986,1,3.438158929,340,9941,tt0090966,Down and Out in Beverly Hills,9.970485,Down and Out in Beverly Hills,1986
56,8500000,277646,Lady Jane,7.02.1986 00:00,136,7.2,5364,1986,0,-0.967335765,-100,21867,tt0091374,Lady Jane,1.991634,Lady Jane,1986
57,18000000,1305114,8 Million Ways to Die,25.04.1986 00:00,115,5.7,3607,1986,0,-0.927493667,-90,20858,tt0090568,8 Million Ways to Die,9.328747,8 Million Ways to Die,1986
58,8000000,11834302,Firewalker,21.11.1986 00:00,104,5,4752,1986,1,0.47928775,50,12715,tt0091055,Firewalker,3.150899,Firewalker,1986
59,3300000,4941117,Vamp,18.07.1986 00:00,93,5.9,3909,1986,1,0.497308182,50,34223,tt0092147,Vamp,4.119963,Vamp,1986
60,15000000,12308521,Club Paradise,11.07.1986 00:00,96,4.9,5049,1986,0,-0.179431933,-20,26555,tt0090856,Club Paradise,4.079853,Club Paradise,1986
61,40000000,49851591,Legal Eagles,20.06.1986 00:00,116,5.9,8374,1986,1,0.246289775,20,9930,tt0091396,Legal Eagles,12.798828,Legal Eagles,1986
62,13000000,8475466,Wise Guys,18.04.1986 00:00,100,5.6,4573,1986,0,-0.348041077,-30,31659,tt0092226,Wise Guys,1.884204,Wise Guys,1986
63,17000000,2315683,Shanghai Surprise,29.08.1986 00:00,97,3.1,4339,1986,0,-0.863783353,-90,58048,tt0091934,Shanghai Surprise,1.408849,Shanghai Surprise,1986
64,16000000,3800000,Power,31.01.1986 00:00,111,5.7,2287,1986,0,-0.7625,-80,46948,tt0091786,Power,1.828322,Power,1986
65,20000000,22905500,Crimes of the Heart,23.01.1987 00:00,105,6.4,3079,1986,1,0.145275,10,48259,tt0090886,Crimes of the Heart,2.524937,Crimes of the Heart,1987
66,6000000,9947631,Murphy's Law,18.04.1986 00:00,100,5.9,3561,1986,1,0.6579385,70,33055,tt0091575,Murphy's Law,2.722264,Murphy's Law,1986
67,18000000,11957943,Brighton Beach Memoirs,25.12.1986 00:00,108,6.9,2720,1986,0,-0.335669833,-30,32060,tt0090774,Brighton Beach Memoirs,2.563112,Brighton Beach Memoirs,1986
68,25000000,4007250,Tai-Pan,7.11.1986 00:00,127,5.5,1340,1986,0,-0.83971,-80,29584,tt0092042,Tai-Pan,2.456811,Tai-Pan,1986
69,14000000,18034150,"Jo Jo Dancer, Your Life Is Calling",2.05.1986 00:00,97,6.3,1288,1986,1,0.288153571,30,63510,tt0091295,"Jo Jo Dancer, Your Life Is Calling",0.109362,"Jo Jo Dancer, Your Life Is Calling",1986
70,3401376,3388020,Born American,29.08.1986 00:00,97,4.3,1509,1986,0,-0.003926646,0,103960,tt0091313,Born American,0.286981,Born American,1986
71,10000000,6947787,Blue City,2.05.1986 00:00,83,4.4,792,1986,0,-0.3052213,-30,83078,tt0090753,Blue City,0.310867,Blue City,1986
72,2000000,1301121,Native Son,12.12.1986 00:00,111,5.9,448,1986,0,-0.3494395,-30,108312,tt0091613,Native Son,0.910047,Native Son,1986
73,16000000,30857814,The Princess Bride,9.10.1987 00:00,98,8.1,320953,1987,1,0.928613375,90,2493,tt0093779,The Princess Bride,15.15267,The Princess Bride,1987
74,1000000,14564027,Hellraiser,18.09.1987 00:00,94,7,83209,1987,1,13.564027,1360,9003,tt0093177,Hellraiser,10.81305,Hellraiser,1987
75,30000000,46357676,Full Metal Jacket,10.07.1987 00:00,116,8.3,537826,1987,1,0.545255867,50,600,tt0093058,Full Metal Jacket,13.94148,Full Metal Jacket,1987
76,15000000,59735548,Predator,12.06.1987 00:00,107,7.8,313213,1987,1,2.982369867,300,106,tt0093773,Predator,18.495694,Predator,1987
77,27000000,38122105,The Running Man,13.11.1987 00:00,101,6.6,120345,1987,1,0.411929815,40,865,tt0093894,The Running Man,9.389976,The Running Man,1987
78,22700000,38119483,Spaceballs,24.06.1987 00:00,96,7.1,146748,1987,1,0.679272379,70,957,tt0094012,Spaceballs,9.10373,Spaceballs,1987
79,15000000,65207127,Lethal Weapon,6.03.1987 00:00,110,7.6,204328,1987,1,3.3471418,330,941,tt0093409,Lethal Weapon,13.183804,Lethal Weapon,1987
80,25000000,76270454,The Untouchables,3.06.1987 00:00,119,7.9,234254,1987,1,2.05081816,210,117,tt0094226,The Untouchables,11.062203,The Untouchables,1987
81,3600000,5923044,Evil Dead II,13.03.1987 00:00,84,7.8,123325,1987,1,0.64529,60,765,tt0092991,Evil Dead II,13.520764,Evil Dead II,1987
82,22000000,17336370,Masters of the Universe,7.08.1987 00:00,106,5.4,30370,1987,0,-0.211983182,-20,11649,tt0093507,Masters of the Universe,7.106954,Masters of the Universe,1987
83,12000000,3769990,The Monster Squad,14.08.1987 00:00,82,7.2,21420,1987,0,-0.685834167,-70,13509,tt0093560,The Monster Squad,7.075534,The Monster Squad,1987
84,14000000,156645693,Fatal Attraction,18.09.1987 00:00,119,6.9,60383,1987,1,10.18897807,1019,10998,tt0093010,Fatal Attraction,14.260779,Fatal Attraction,1987
85,30000000,51185897,The Living Daylights,31.07.1987 00:00,130,6.7,74272,1987,1,0.706196567,70,708,tt0093428,The Living Daylights,12.189038,The Living Daylights,1987
86,15000000,43848100,Wall Street,11.12.1987 00:00,126,7.4,126195,1987,1,1.923206667,190,10673,tt0094291,Wall Street,11.672701,Wall Street,1987
87,35000000,22238696,Empire of the Sun,25.12.1987 00:00,153,7.8,96566,1987,0,-0.364608686,-40,10110,tt0092965,Empire of the Sun,10.220906,Empire of the Sun,1987
88,22000000,63766510,The Witches of Eastwick,12.06.1987 00:00,118,6.5,51642,1987,1,1.898477727,190,6069,tt0094332,The Witches of Eastwick,13.031671,The Witches of Eastwick,1987
89,4500000,44793222,A Nightmare on Elm Street 3: Dream Warriors,27.02.1987 00:00,96,6.6,55414,1987,1,8.954049333,900,10072,tt0093629,A Nightmare on Elm Street 3: Dream Warriors,10.035081,A Nightmare on Elm Street 3: Dream Warriors,1987
90,23000000,20763013,Jaws: The Revenge,17.07.1987 00:00,89,2.9,33419,1987,0,-0.097260304,-10,580,tt0093300,Jaws: The Revenge,9.327986,Jaws: The Revenge,1987
91,25000000,16057580,Over the Top,13.02.1987 00:00,93,5.7,40916,1987,0,-0.3576968,-40,1825,tt0093692,Over the Top,8.431956,Over the Top,1987
92,6000000,22847564,Raising Arizona,17.04.1987 00:00,94,7.4,107669,1987,1,2.807927333,280,378,tt0093822,Raising Arizona,14.011415,Raising Arizona,1987
93,17000000,17185632,Angel Heart,6.03.1987 00:00,113,7.3,67453,1987,1,0.010919529,0,635,tt0092563,Angel Heart,7.290872,Angel Heart,1987
94,27000000,25893810,Innerspace,1.07.1987 00:00,120,6.8,45172,1987,0,-0.04097,0,2614,tt0093260,Innerspace,10.134408,Innerspace,1987
95,15000000,80640528,Moonstruck,15.01.1988 00:00,102,7.1,38600,1987,1,4.3760352,440,2039,tt0093565,Moonstruck,12.877291,Moonstruck,1988
96,28000000,153665000,Beverly Hills Cop II,20.05.1987 00:00,100,6.5,90969,1987,1,4.488035714,450,96,tt0092644,Beverly Hills Cop II,9.200336,Beverly Hills Cop II,1987
97,23000000,43984230,The Last Emperor,15.04.1988 00:00,163,7.8,76408,1987,1,0.912357826,90,746,tt0093389,The Last Emperor,11.076971,The Last Emperor,1988
98,13000000,123922370,"Good Morning, Vietnam",15.01.1988 00:00,121,7.3,106924,1987,1,8.53249,850,801,tt0093105,"Good Morning, Vietnam",9.023282,"Good Morning, Vietnam",1988
99,2600000,3130592,Maurice,18.09.1987 00:00,140,7.7,11837,1987,1,0.204073846,20,26371,tt0093512,Maurice,5.778465,Maurice,1987
100,3000000,14182492,Prince of Darkness,23.10.1987 00:00,102,6.7,28064,1987,1,3.727497333,370,8852,tt0093777,Prince of Darkness,8.587231,Prince of Darkness,1987
101,6500000,54215416,La Bamba,24.07.1987 00:00,108,6.8,22839,1987,1,7.340833231,730,16620,tt0093378,La Bamba,6.476534,La Bamba,1987
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
103,20000000,51249404,Broadcast News,25.12.1987 00:00,133,7.2,22802,1987,1,1.5624702,160,12626,tt0092699,Broadcast News,8.627019,Broadcast News,1987
104,17000000,15681020,Superman IV: The Quest for Peace,24.07.1987 00:00,90,3.6,35866,1987,0,-0.077587059,-10,11411,tt0094074,Superman IV: The Quest for Peace,7.990679,Superman IV: The Quest for Peace,1987
105,3500000,14000000,Creepshow 2,1.05.1987 00:00,92,6,17500,1987,1,3,300,16288,tt0092796,Creepshow 2,9.330087,Creepshow 2,1987
106,3000000,7888703,Teen Wolf Too,20.11.1987 00:00,95,3.2,8905,1987,1,1.629567667,160,15582,tt0094118,Teen Wolf Too,4.604439,Teen Wolf Too,1987
107,12000000,40050884,Roxanne,19.06.1987 00:00,107,6.6,34794,1987,1,2.337573667,229,11584,tt0093886,Roxanne,11.394307,Roxanne,1987
108,20000000,57387516,Dragnet,26.06.1987 00:00,106,5.9,27387,1987,1,1.8693758,190,10023,tt0092925,Dragnet,7.907938,Dragnet,1987
109,1000000,1576615,The Garbage Pail Kids Movie,22.08.1987 00:00,100,2.7,6348,1987,1,0.576615,60,14443,tt0093072,The Garbage Pail Kids Movie,3.47192,The Garbage Pail Kids Movie,1987
110,14000000,57915972,Throw Momma from the Train,11.12.1987 00:00,88,6.2,28550,1987,1,3.136855143,310,11896,tt0094142,Throw Momma from the Train,6.573364,Throw Momma from the Train,1987
111,3000000,3221568,Barfly,16.10.1987 00:00,100,7.3,15647,1987,1,0.073856,10,10937,tt0092618,Barfly,15.170192,Barfly,1987
112,6000000,3685862,Three O'Clock High,9.10.1987 00:00,97,7.2,8970,1987,0,-0.385689667,-40,13339,tt0094138,Three O'Clock High,3.552005,Three O'Clock High,1987
113,15000000,13290368,The Pick-up Artist,18.09.1987 00:00,81,5.2,5348,1987,0,-0.113975467,-10,17258,tt0093737,The Pick-up Artist,3.799983,The Pick-up Artist,1987
114,16000000,14792779,Radio Days,30.01.1987 00:00,88,7.6,26467,1987,0,-0.075451313,-10,30890,tt0093818,Radio Days,8.782912,Radio Days,1987
115,3000000,23509382,Ernest Goes to Camp,22.05.1987 00:00,92,5.5,9526,1987,1,6.836460667,680,18935,tt0092974,Ernest Goes to Camp,5.712291,Ernest Goes to Camp,1987
116,17000000,10278549,Someone to Watch Over Me,9.10.1987 00:00,106,6.1,7854,1987,0,-0.395379471,-40,31650,tt0094008,Someone to Watch Over Me,3.50111,Someone to Watch Over Me,1987
117,29000000,5899797,Cry Freedom,6.11.1987 00:00,157,7.5,10692,1987,0,-0.796558724,-80,12506,tt0092804,Cry Freedom,3.519881,Cry Freedom,1987
118,6000000,12423831,The Fourth Protocol,28.08.1987 00:00,119,6.5,7532,1987,1,1.0706385,110,4918,tt0093044,The Fourth Protocol,3.246823,The Fourth Protocol,1987
119,27000000,7393346,Ironweed,12.02.1988 00:00,143,6.8,6874,1987,0,-0.72617237,-70,40962,tt0093277,Ironweed,2.601933,Ironweed,1988
120,5000000,6880310,Death Wish 4: The Crackdown,6.11.1987 00:00,99,5.3,6770,1987,1,0.376062,40,26263,tt0092857,Death Wish 4: The Crackdown,4.566325,Death Wish 4: The Crackdown,1987
121,4000000,800000,The Barbarians,20.03.1987 00:00,87,4.9,2538,1987,0,-0.8,-80,27551,tt0092615,The Barbarians,1.489798,The Barbarians,1987
122,55000000,14375181,Ishtar,15.05.1987 00:00,107,4.2,9094,1987,0,-0.738633073,-70,12704,tt0093278,Ishtar,3.986985,Ishtar,1987
123,100000,5228617,Hollywood Shuffle,20.03.1987 00:00,78,7,3009,1987,1,51.28617,5130,34101,tt0093200,Hollywood Shuffle,6.502861,Hollywood Shuffle,1987
124,22000000,11307844,Extreme Prejudice,24.04.1987 00:00,96,6.6,4924,1987,0,-0.486007091,-50,20287,tt0092997,Extreme Prejudice,6.407061,Extreme Prejudice,1987
125,350000,4000000,American Ninja 2: The Confrontation,1.05.1987 00:00,90,4.8,6565,1987,1,10.42857143,1040,25678,tt0092548,American Ninja 2: The Confrontation,4.237511,American Ninja 2: The Confrontation,1987
126,4000000,1680358,Matewan,30.06.1988 00:00,135,7.9,6198,1987,0,-0.5799105,-60,24276,tt0093509,Matewan,3.350126,Matewan,1988
127,24000000,4916871,Leonard Part 6,18.12.1987 00:00,85,2.2,7387,1987,0,-0.795130375,-80,24828,tt0093405,Leonard Part 6,3.47537,Leonard Part 6,1987
128,5000000,1119112,Street Smart,20.03.1987 00:00,97,6.4,2096,1987,0,-0.7761776,-80,60631,tt0094056,Street Smart,7.721588,Street Smart,1987
129,9000000,5406879,The Sicilian,23.10.1987 00:00,115,5.3,3889,1987,0,-0.399235667,-40,31945,tt0093966,The Sicilian,5.979288,The Sicilian,1987
130,7000000,7019441,Hiding Out,6.11.1987 00:00,98,6.4,2584,1987,1,0.002777286,0,26156,tt0093186,Hiding Out,2.026942,Hiding Out,1987
131,10000000,3060858,Malone,1.05.1987 00:00,92,5.6,1959,1987,0,-0.6939142,-70,27342,tt0093483,Malone,4.904109,Malone,1987
132,6000000,1432687,A Prayer for the Dying,11.09.1987 00:00,107,6.4,3731,1987,0,-0.761218833,-80,33851,tt0093771,A Prayer for the Dying,2.527521,A Prayer for the Dying,1987
133,5300000,3107551,White Mischief,6.05.1988 00:00,107,6.3,2171,1987,0,-0.413669623,-40,60041,tt0094317,White Mischief,7.312595,White Mischief,1988
134,3520000,562187,Steel Dawn,31.03.1988 00:00,100,5,3860,1987,0,-0.840287784,-80,27786,tt0094033,Steel Dawn,2.605644,Steel Dawn,1988
135,25000000,30950002,Nuts,11.12.1987 00:00,116,6.7,4996,1987,1,0.23800008,20,40634,tt0093660,Nuts,2.258245,Nuts,1987
136,11000000,25411386,Tin Men,13.03.1987 00:00,112,6.5,6960,1987,1,1.310126,130,10896,tt0094155,Tin Men,6.477975,Tin Men,1987
137,3000000,9868521,Maid to Order,31.07.1987 00:00,93,5.5,2786,1987,1,2.289507,229,2608,tt0093476,Maid to Order,1.542276,Maid to Order,1987
138,1000000,210200,Straight to Hell,26.06.1987 00:00,100,5.8,1924,1987,0,-0.7898,-80,9698,tt0094048,Straight to Hell,1.044389,Straight to Hell,1987
139,12000000,5669831,Nadine,7.08.1987 00:00,83,5.5,3267,1987,0,-0.527514083,-50,61178,tt0093596,Nadine,7.569698,Nadine,1987
140,1100000,1355728,From a Whisper to a Scream,4.09.1987 00:00,99,6,1489,1987,1,0.23248,20,39895,tt0091671,From a Whisper to a Scream,1.392022,From a Whisper to a Scream,1987
141,5000000,858250,Tough Guys Don't Dance,18.09.1987 00:00,110,4.8,1025,1987,0,-0.82835,-80,78146,tt0094169,Tough Guys Don't Dance,0.957019,Tough Guys Don't Dance,1987
142,14000000,20240502,Critical Condition,16.01.1987 00:00,100,5.2,2453,1987,1,0.445750143,40,31563,tt0092798,Critical Condition,2.451513,Critical Condition,1987
143,12000000,2325444,Weeds,16.10.1987 00:00,115,6,717,1987,0,-0.806213,-80,96333,tt0094304,Weeds,0.11729,Weeds,1987
144,15000000,73707461,Beetlejuice,30.03.1988 00:00,92,7.5,206997,1988,1,3.913830733,390,4011,tt0094721,Beetlejuice,10.627364,Beetlejuice,1988
145,39000000,128152300,Coming to America,29.06.1988 00:00,116,7,130485,1988,1,2.28595641,229,9602,tt0094898,Coming to America,7.830087,Coming to America,1988
146,28000000,83008852,Die Hard,20.07.1988 00:00,131,8.2,647000,1988,1,1.964601857,200,562,tt0095016,Die Hard,16.640522,Die Hard,1988
147,35000000,57269863,Willow,20.05.1988 00:00,126,7.3,86056,1988,1,0.6362818,60,847,tt0096446,Willow,9.918312,Willow,1988
148,3000000,1108462,Heathers,31.03.1989 00:00,103,7.3,67238,1988,0,-0.630512667,-60,2640,tt0097493,Heathers,13.311827,Heathers,1989
149,25000000,172825435,Rain Man,16.12.1988 00:00,133,8,408473,1988,1,5.9130174,590,380,tt0095953,Rain Man,11.267467,Rain Man,1988
150,4000000,13008928,They Live,4.11.1988 00:00,94,7.3,83379,1988,1,2.252232,229,8337,tt0096256,They Live,11.292364,They Live,1988
151,70000000,156452370,Who Framed Roger Rabbit,22.06.1988 00:00,104,7.7,153513,1988,1,1.235033857,120,856,tt0096438,Who Framed Roger Rabbit,16.78596,Who Framed Roger Rabbit,1988
152,18000000,114968774,Big,3.06.1988 00:00,104,7.3,164257,1988,1,5.387154111,540,2280,tt0094737,Big,9.562292,Big,1988
153,3500000,4385516,Pumpkinhead,13.01.1989 00:00,86,6.2,15572,1988,1,0.253004571,30,26515,tt0095925,Pumpkinhead,11.841506,Pumpkinhead,1989
154,7500000,63493712,A Fish Called Wanda,5.08.1988 00:00,108,7.6,114144,1988,1,7.465828267,750,623,tt0095159,A Fish Called Wanda,11.400353,A Fish Called Wanda,1988
155,2000000,15625095,Killer Klowns from Outer Space,27.05.1988 00:00,88,6.1,25440,1988,1,6.8125475,680,16296,tt0095444,Killer Klowns from Outer Space,6.906831,Killer Klowns from Outer Space,1988
156,30000000,38413606,Midnight Run,20.07.1988 00:00,126,7.6,58318,1988,1,0.280453533,30,9013,tt0095631,Midnight Run,5.564321,Midnight Run,1988
157,3000000,11090735,Hellbound: Hellraiser II,23.12.1988 00:00,97,6.5,33241,1988,1,2.696911667,270,9064,tt0095294,Hellbound: Hellraiser II,8.541732,Hellbound: Hellraiser II,1988
158,15000000,34603943,Mississippi Burning,27.01.1989 00:00,128,7.8,70539,1988,1,1.306929533,130,1632,tt0095647,Mississippi Burning,13.971865,Mississippi Burning,1989
159,12000000,78041829,The Naked Gun: From the Files of Police Squad!,2.12.1988 00:00,85,7.6,124515,1988,1,5.50348575,550,37136,tt0095705,The Naked Gun: From the Files of Police Squad!,15.698222,The Naked Gun: From the Files of Police Squad!,1988
160,1100000,11806119,Bloodsport,29.04.1988 00:00,92,6.8,63368,1988,1,9.732835455,969,11690,tt0092675,Bloodsport,8.822276,Bloodsport,1988
161,28000000,64000000,Working Girl,21.12.1988 00:00,113,6.7,44277,1988,1,1.285714286,130,3525,tt0096463,Working Girl,8.318954,Working Girl,1988
