,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,popularity,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released
1773,12600000,Summit Entertainment,USA,Other,Horror,15417771,Wrong Turn,R,30.05.2003 00:00,84,6.1,Eliza Dushku,93636,Alan B. McElroy,2003,1,0.223632619,20,FALSE,9902,tt0295700,Wrong Turn,"Chris crashes into a carload of other young people, and the group of stranded motorists is soon lost in the woods of West Virginia, where they're hunted by three cannibalistic mountain men who are grossly disfigured by generations of inbreeding.",14.079718,It's the last one you'll ever take.,Wrong Turn,"Horror, Thriller",en,"DE, US","life and death, death of a friend, parts of dead body",2003
1774,150000000,Warner Bros.,USA,Other,Action,281492479,The Matrix Reloaded,R,15.05.2003 00:00,138,7.2,Keanu Reeves,446954,Lilly Wachowski,2003,1,0.876616527,90,FALSE,604,tt0234215,The Matrix Reloaded,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",16.229317,Free your mind.,The Matrix Reloaded,"Adventure, Action, Thriller, Science Fiction",en,"AU, US","saving the world, artificial intelligence, man vs machine, martial arts, kung fu, underground world, dream, hero, fight, computer virus, key, future, plato, precognition, rave, dying and death, virtual reality, dystopia, computer, faith, world religion, truth, mission, cyberpunk, woman director, gnosticism",2003
1775,20000000,Walt Disney Pictures,USA,Other,Adventure,67406573,Holes,PG,18.04.2003 00:00,117,7.1,Shia LaBeouf,63052,Louis Sachar,2003,1,2.37032865,240,FALSE,8326,tt0311289,Holes,"Stanley's family is cursed with bad luck. Unfairly sentenced to months of detention at Camp Green Lake, he and his campmates are forced by the warden to dig holes in order to build character. What they don't know is that they are digging holes in order to search for a lost treasure hidden somewhere in the camp.",17.193267,Some secrets are too big to keep hidden.,Holes,"Adventure, Family, Drama, Comedy",en,US,"curse, suitor, false accusations, reference to annabel lee, digging, baseball player, mountain climbing",2003
1776,70000000,Columbia Pictures Corporation,USA,Tim Burton,Adventure,66257002,Big Fish,PG-13,9.01.2004 00:00,125,8,Ewan McGregor,369336,Daniel Wallace,2003,0,-0.0534714,-10,FALSE,587,tt0319061,Big Fish,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",14.739983,An adventure as big as life itself.,Big Fish,"Adventure, Fantasy, Drama",en,US,"circus, father son relationship, witch, fish, fishing, love of one's life, leech, story teller, apoplectic stroke, fair, mermaid, cancer, relationship, youth, gentle giant",2004
1777,78000000,Other,USA,Other,Action,431881,Daredevil,PG-13,14.02.2003 00:00,103,5.3,Ben Affleck,185444,Mark Steven Johnson,2003,0,-0.994463064,-100,FALSE,9480,tt0287978,Daredevil,"He dwells in a world of eternal night, but the blackness is filled with sounds and scents, tastes and textures that most cannot perceive. Although attorney Matt Murdock is blind, his other four senses function with superhuman sharpness. By day, Murdock represents the downtrodden. At night he is Daredevil, a masked vigilante stalking the dark streets of the city, a relentless avenger of justice.",11.415558,A Guardian Devil,Daredevil,"Fantasy, Action, Crime, Science Fiction, Thriller","en, it, el",US,"blindness and impaired vision, narration, marvel comic, superhero, daredevil, hazardous waste, mob hit, duringcreditsstinger",2003
1778,140000000,Warner Bros.,USA,Other,Action,111110575,The Last Samurai,R,5.12.2003 00:00,154,7.7,Tom Cruise,340268,John Logan,2003,0,-0.206353036,-20,FALSE,616,tt0325710,The Last Samurai,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.",19.582325,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",The Last Samurai,"Drama, Action, War, History","en, ja","JP, US, NZ","japan, war crimes, sense of guilt, swordplay, general, samurai, war veteran, katana, sword, arms deal, homeland, emperor, language barrier, self-discovery, mountain village, foreign legion, mercenary, campaign, commercial agreement, insurgence, leader, war strategy, gettysburg, loss of husband, slaughter, soldier, alcoholic, u.s. soldier, japanese army, 19th century, war trauma",2003
1779,35000000,Paramount Pictures,USA,Richard Linklater,Comedy,81261177,School of Rock,PG-13,3.10.2003 00:00,108,7.1,Jack Black,224330,Mike White,2003,1,1.321747914,130,FALSE,1584,tt0332379,School of Rock,"Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fourth-grade substitute teacher at a private school, where he secretly begins teaching his students the finer points of rock 'n' roll. The school's hard-nosed principal is rightly suspicious of Finn's activities. But Finn's roommate remains in the dark about what he's doing.",17.95142,He just landed the gig of his life: 5th grade.,School of Rock,"Comedy, Music",en,"DE, US","rock and roll, rock, high school, music band",2003
1780,200000000,Other,USA,Other,Action,150371112,Terminator 3: Rise of the Machines,R,2.07.2003 00:00,109,6.3,Arnold Schwarzenegger,326064,James Cameron,2003,0,-0.24814444,-20,FALSE,296,tt0181852,Terminator 3: Rise of the Machines,"It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the now-adult Connor … just like he promised.",20.818907,The Machines Will Rise.,Terminator 3: Rise of the Machines,"Action, Thriller, Science Fiction",en,"DE, GB, US","saving the world, artificial intelligence, man vs machine, cyborg, killer robot, sun glasses, leather jacket, nanotechnology, rocket launcher, firemen, veterinarian, fire engine, dystopia, psychiatrist",2003
1781,30000000,Columbia Pictures Corporation,USA,Other,Mystery,52159536,Identity,R,25.04.2003 00:00,90,7.3,John Cusack,192146,Michael Cooney,2003,1,0.7386512,70,FALSE,2832,tt0309698,Identity,"Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.",17.955897,The secret lies within.,Identity,"Mystery, Thriller",en,US,"prostitute, detective, nevada, prisoner, rain, motel, weather, multiple character, ex-cop, stranded, murder, serial killer, scream, storm, psychiatrist, convict, psychopathy, thunderstorm, rainstorm, split personality, mental disorders, murder mystery, dissociative identity disorder, isolated place",2003
1782,30000000,New Line Cinema,USA,Other,Action,82622655,Freddy vs. Jason,R,15.08.2003 00:00,97,5.8,Robert Englund,95076,Wes Craven,2003,1,1.7540885,180,FALSE,6466,tt0329101,Freddy vs. Jason,"Evil dream-demon Freddy Krueger devises a plan to manipulate the unstoppable Jason Vorhees into hacking up the teenagers of Elm Street in an effort to make people remember the name Freddy Krueger, thus freeing him from limbo.",14.015739,Evil Will Battle Evil,Freddy vs. Jason,Horror,en,"CA, IT, US","murder, marijuana, teenager, bad dream",2003
1783,24000000,DreamWorks,USA,Other,Comedy,75585093,Old School,R,21.02.2003 00:00,88,7.2,Luke Wilson,193885,Court Crandall,2003,1,2.149378875,210,FALSE,11635,tt0302886,Old School,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,16.195894,"All the fun of college, none of the education.",Old School,Comedy,en,US,"sex doll, streaking, mouth to mouth resuscitation",2003
1784,76000000,Universal Pictures,USA,Other,Action,127154901,2 Fast 2 Furious,PG-13,6.06.2003 00:00,107,5.9,Paul Walker,211309,Gary Scott Thompson,2003,1,0.673090803,70,FALSE,584,tt0322259,2 Fast 2 Furious,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",2.32462,How Fast Do You Want It?,2 Fast 2 Furious,"Action, Crime, Thriller","en, es",US,"miami, car race, sports car, los angeles, car, automobile racing",2003
1785,78000000,Other,USA,Other,Action,66465204,The League of Extraordinary Gentlemen,PG-13,11.07.2003 00:00,110,5.8,Sean Connery,148712,Alan Moore,2003,0,-0.147882,-10,FALSE,8698,tt0311429,The League of Extraordinary Gentlemen,"To prevent a world war from breaking out, famous characters from Victorian literature band together to do battle against a cunning villain.",10.488765,The power of seven become a league of one.,The League of Extraordinary Gentlemen,"Fantasy, Action, Thriller, Science Fiction","en, de, it","CZ, DE, GB, US","saving the world, vampire, bite, men, invisible man, captain nemo, allan quatermain, venezia, immortal",2003
1786,7000000,Other,USA,Other,Horror,12634962,House of 1000 Corpses,R,11.04.2003 00:00,89,6,Sid Haig,64612,Rob Zombie,2003,1,0.804994571,80,FALSE,2662,tt0251736,House of 1000 Corpses,Two teenage couples traveling across the backwoods of Texas searching for urban legends of serial killers end up as prisoners of a bizarre and sadistic backwater family of serial killers.,11.00913,You'll never get out alive.,House of 1000 Corpses,Horror,en,US,"upper class, halloween, psychopath, urban legend, youth, satanic ritual",2003
1787,95000000,Paramount Pictures,USA,Other,Action,65660196,Lara Croft Tomb Raider: The Cradle of Life,PG-13,25.07.2003 00:00,117,5.5,Angelina Jolie,110166,Dean Georgaris,2003,0,-0.308840042,-30,FALSE,1996,tt0325703,Lara Croft Tomb Raider: The Cradle of Life,"Lara Croft ventures to an underwater temple in search of the mythological Pandora's Box but, after securing it, it is promptly stolen by the villainous leader of a Chinese crime syndicate. Lara must recover the box before the syndicate's evil mastermind uses it to construct a weapon of catastrophic capabilities.",13.076349,Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box,Lara Croft Tomb Raider: The Cradle of Life,"Action, Adventure, Fantasy, Thriller","en, zh","US, DE, JP, GB","riddle, treasure, medallion, kenia, alexander the great, pandora's box, chinese mafia, treasure hunt, hong kong, archaeologist, based on video game, archeology ",2003
1788,79000000,Miramax,Other,Other,Adventure,95636509,Cold Mountain,R,25.12.2003 00:00,154,7.2,Jude Law,124413,Charles Frazier,2003,1,0.210588722,20,FALSE,2289,tt0159365,Cold Mountain,"In this classic story of love and devotion set against the backdrop of the American Civil War, a wounded Confederate soldier named W.P. Inman deserts his unit and travels across the South, aiming to return to his young wife, Ada, who he left behind to tend their farm. As Inman makes his perilous journey home, Ada struggles to keep their home intact with the assistance of Ruby, a mysterious drifter sent to help her by a kindly neighbor.",9.645543,Find the strength. Find the courage. No matter what it takes... find the way home.,Cold Mountain,Drama,en,"US, GB, RO, IT","loss of lover, loss of family, deserter, loss of father, love of one's life",2003
1789,81000000,Other,USA,Other,Comedy,242829261,Bruce Almighty,PG-13,23.05.2003 00:00,101,6.7,Jim Carrey,319425,Steve Koren,2003,1,1.997892111,200,FALSE,310,tt0315327,Bruce Almighty,"Bruce Nolan toils as a ""human interest"" television reporter in Buffalo, N.Y. Despite his high ratings and the love of his beautiful girlfriend, Grace, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God -- and the Almighty responds, endowing Bruce with all of His divine powers.",15.947524,In Bruce we trust,Bruce Almighty,"Fantasy, Comedy",en,US,"christianity, moon, responsability, moses, street gang, lovesickness, journalism, new love, faith, prayer, god, car crash",2003
1790,150000000,Twentieth Century Fox Film Corporation,USA,Other,Action,93927920,Master and Commander: The Far Side of the World,PG-13,14.11.2003 00:00,138,7.4,Russell Crowe,178098,Patrick O'Brian,2003,0,-0.373813867,-40,FALSE,8619,tt0311113,Master and Commander: The Far Side of the World,"After an abrupt and violent encounter with a French warship inflicts severe damage upon his ship, a captain of the British Royal Navy begins a chase over two oceans to capture or destroy the enemy, though he must weigh his commitment to duty and ferocious pursuit of glory against the safety of his devoted crew, including the ship's thoughtful surgeon, his best friend.",8.693298,The courage to do the impossible lies in the hearts of men.,Master and Commander: The Far Side of the World,Adventure,"fr, pt, en",US,"naturalist, frigate, self surgery, sea battle, weevil",2003
1791,22000000,Touchstone Pictures,USA,Other,Drama,58331254,Open Range,R,15.08.2003 00:00,139,7.5,Kevin Costner,57419,Lauran Paine,2003,1,1.651420636,170,FALSE,2055,tt0316356,Open Range,A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.,16.532577,No place to run. No reason to hide.,Open Range,Western,en,US,"horse, beef, ranger",2003
1792,85000000,Columbia Pictures Corporation,USA,Other,Action,47726342,The Rundown,PG-13,26.09.2003 00:00,104,6.7,Dwayne Johnson,87321,R.J. Stewart,2003,0,-0.438513624,-40,FALSE,10159,tt0327850,The Rundown,"When Travis, the mouthy son of a criminal, disappears in the Amazon in search of a treasured artifact, his father sends in Beck, who becomes Travis's rival for the affections of Mariana, a mysterious Brazilian woman. With his steely disposition, Beck is a man of few words -- but it takes him all the discipline he can muster to work with Travis to nab a tyrant who's after the same treasure.",8.304835,cut to the chase,The Rundown,"Adventure, Action, Comedy, Thriller","pt, en",US,"hunter, bounty, bounty hunter, fight, amazon, treasure hunt, jungle",2003
1793,33000000,New Line Cinema,USA,Other,Comedy,173398518,Elf,PG,7.11.2003 00:00,97,6.9,Will Ferrell,162013,David Berenbaum,2003,1,4.254500545,430,FALSE,10719,tt0319343,Elf,"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic publisher.",8.754132,"This holiday, discover your inner elf.",Elf,"Comedy, Family, Fantasy",en,"US, DE","holiday, elves, santa claus, looking for  birth parents, romance, north pole, christmas",2003
1794,50000000,Other,USA,Other,Comedy,105813373,How to Lose a Guy in 10 Days,PG-13,7.02.2003 00:00,116,6.4,Kate Hudson,172078,Michele Alexander,2003,1,1.11626746,110,FALSE,9919,tt0251127,How to Lose a Guy in 10 Days,"An advice columnist, Andie Anderson (Kate Hudson), tries pushing the boundaries of what she can write about in her new piece about how to get a man to leave you in 10 days. Her editor, Lana (Bebe Neuwirth), loves it, and Andie goes off to find a man she can use for the experiment. Enter executive Ben Berry (Matthew McConaughey), who is so confident in his romantic prowess that he thinks he can make any woman fall in love with him in 10 days. When Andie and Ben meet, their plans backfire.",5.188107,One of them is lying. So is the other.,How to Lose a Guy in 10 Days,"Comedy, Romance",en,"DE, US","new york, bet, journalist, therapist, advertising expert, relationship",2003
1795,120000000,Columbia Pictures Corporation,USA,Other,Action,100830111,Charlie's Angels: Full Throttle,PG-13,27.06.2003 00:00,106,4.8,Drew Barrymore,105990,Ivan Goff,2003,0,-0.159749075,-20,FALSE,9471,tt0305357,Charlie's Angels: Full Throttle,"The Angels are charged with finding a pair of missing rings that are encoded with the personal information of members of the Witness Protection Program. As informants are killed, the ladies target a rogue agent who might be responsible.",7.821116,This summer the Angels are back.,Charlie's Angels: Full Throttle,"Action, Adventure, Comedy","en, zh, es",US,"robbery, secret identity, secret agent",2003
1796,130000000,Columbia Pictures Corporation,USA,Other,Action,138608444,Bad Boys II,R,18.07.2003 00:00,147,6.6,Will Smith,190484,George Gallo,2003,1,0.0662188,10,FALSE,8961,tt0172156,Bad Boys II,"Out-of-control, trash-talking buddy cops Marcus Burnett and Mike Lowrey of the Miami Narcotics Task Force reunite, and bullets fly, cars crash and laughs explode as they pursue a whacked-out drug lord from the streets of Miami to the barrios of Cuba. But the real fireworks result when Marcus discovers that playboy Mike is secretly romancing Marcus’ sexy sister.",8.191436,"If you can't stand the heat, get out of Miami.",Bad Boys II,"Adventure, Action, Comedy, Thriller, Crime","en, es",US,"miami, ku klux klan, cuba, undercover, mexican standoff, ecstasy, guantánamo, slaughter, shootout, gunfight, bromance, gangster, violence, foot chase, interrogation, car chase, drug lord, exploding house, narcotics cop, illegal drugs, dea agent, buddy cop, criminal underworld, action hero, haitian gang, minefield",2003
1797,55000000,Universal Pictures,USA,Other,Comedy,104565114,American Wedding,R,1.08.2003 00:00,96,6.3,Jason Biggs,171577,Adam Herz,2003,1,0.901183891,90,FALSE,8273,tt0328828,American Wedding,"With high school a distant memory, Jim and Michelle are getting married -- and in a hurry, since Jim's grandmother is sick and wants to see him walk down the aisle -- prompting Stifler to throw the ultimate bachelor party. And Jim's dad is reliable as ever, doling out advice no one wants to hear.",14.397139,Forever hold your piece.,American Wedding,"Comedy, Romance",en,US,"handcuffs, sister sister relationship, spanner, blow job, stag night, wedding",2003
1798,30000000,New Line Cinema,USA,Other,Comedy,41407470,Secondhand Lions,PG,19.09.2003 00:00,111,7.6,Haley Joel Osment,45722,Tim McCanlies,2003,1,0.380249,40,FALSE,13156,tt0327137,Secondhand Lions,"""Secondhand Lions"" follows the comedic adventures of an introverted boy left on the doorstep of a pair of reluctant, eccentric great-uncles, whose exotic remembrances stir the boy's spirit and re-ignite the men's lives.",8.636608,,Secondhand Lions,"Comedy, Drama, Family",en,US,"texas, money, veteran",2003
1799,26000000,New Line Cinema,USA,Other,Horror,46961214,Final Destination 2,R,31.01.2003 00:00,90,6.2,A.J. Cook,129165,J. Mackye Gruber,2003,1,0.806200538,80,FALSE,9358,tt0309593,Final Destination 2,"When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.",12.638573,Death is like a boomerang. it keeps coming back,Final Destination 2,"Horror, Mystery",en,US,"ambulance, premonition, hospital",2003
1800,20000000,Other,USA,Other,Crime,16248701,21 Grams,R,16.01.2004 00:00,124,7.7,Sean Penn,200427,Guillermo Arriaga,2003,0,-0.18756495,-20,FALSE,470,tt0315733,21 Grams,"This is the story of three gentle persons: Paul Rivers an ailing mathematician lovelessly married to an English émigré, Christina Peck, an upper-middle-class suburban housewife, happily married and mother of two little girls, and Jack Jordan, an ex-convict who has found in his Christian faith the strength to raise a family. They will be brought together by a terrible accident that will change their lives. By the final frame, none of them will be the same as they will learn harsh truths about love, faith, courage, desire and guilt, and how chance can change our worlds irretrievably, forever.",6.372278,How much does life weigh?,21 Grams,"Drama, Crime, Thriller",en,US,"life and death, transplantation, suicide attempt, desperation, loss of family, ex-detainee, sadness, rage and hate, car crash",2004
1801,50000000,Universal Pictures,USA,Other,Crime,19593740,The Life of David Gale,R,21.02.2003 00:00,130,7.6,Kevin Spacey,94693,Charles Randolph,2003,0,-0.6081252,-60,FALSE,11615,tt0289992,The Life of David Gale,A man against capital punishment is accused of murdering a fellow activist and is sent to death row.,9.930326,The crime is clear. The truth is not.,The Life of David Gale,"Drama, Thriller, Crime","en, es","DE, GB, US","prison, journalist, texas, professor, death penalty, death row, interview, murder, reporter, intern, innocent, activist",2003
1802,15000000,DreamWorks,USA,Other,Drama,13005485,House of Sand and Fog,R,9.01.2004 00:00,126,7.6,Jennifer Connelly,58778,Andre Dubus III,2003,0,-0.132967667,-10,FALSE,11093,tt0315983,House of Sand and Fog,"Behrani, an Iranian immigrant buys a California bungalow, thinking he can fix it up, sell it again, and make enough money to send his son to college. However, the house is the legal property of former drug addict Kathy. After losing the house in an unfair legal dispute with the county, she is left with nowhere to go. Wanting her house back, she hires a lawyer and befriends a police officer. Neither Kathy nor Behrani have broken the law, so they find themselves involved in a difficult moral dilemma.",9.245145,Some dreams can't be shared.,House of Sand and Fog,Drama,"en, fa",US,"san francisco, immigrant, house, intimidation, iranian",2004
1803,17000000,Walt Disney Pictures,USA,Other,Adventure,42672630,The Lizzie McGuire Movie,PG,2.05.2003 00:00,94,5.4,Hilary Duff,30128,Susan Estelle Jansen,2003,1,1.510154706,150,FALSE,18736,tt0306841,The Lizzie McGuire Movie,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy.",6.730857,The only risk in taking an adventure is not taking it at all.,The Lizzie McGuire Movie,"Family, Comedy","it, en",US,,2003
1804,29000000,Columbia Pictures Corporation,USA,Other,Action,56359780,Once Upon a Time in Mexico,R,12.09.2003 00:00,102,6.4,Antonio Banderas,137276,Robert Rodriguez,2003,1,0.94344069,90,FALSE,1428,tt0285823,Once Upon a Time in Mexico,"Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general.",8.843365,The Time Has Come.,Once Upon a Time in Mexico,Action,"en, es",US,"corruption, cia",2003
